	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000244.1_1	QGNH01000244.1	QGNH01000244.1	1	123	371	-1	E											0	False	F
QGNH01000244.1_2	QGNH01000244.1	QGNH01000244.1	2	403	744	-1	E											0	False	F
QGNH01000244.1_3	QGNH01000244.1	QGNH01000244.1	3	737	952	-1	D							Nicotinamide mononucleotide transporter [PF04973.15]				0	False	F
QGNH01000244.1_4	QGNH01000244.1	QGNH01000244.1	4	940	1554	-1	D							AAA domain [PF13521.9]	VOG01752	sp|P24518|NADR_SALTY Trifunctional NAD biosynthesis/regulator protein NadR; Xh	Xh	0	False	F
QGNH01000244.1_5	QGNH01000244.1	QGNH01000244.1	5	1837	3942	1	D	YP_010664566.1	YP_010664566.1 portal protein [Erwinia phage Pavtok]	False	104.0	2.531e-21	0.202	Phage P22-like portal protein [PF16510.8]	VOG02069	sp|Q9T1S9|PORTL_BPAPS Portal protein; XhXpXrXs	Xp;Xr;Xs;Xh	0	False	VF
QGNH01000244.1_6	QGNH01000244.1	QGNH01000244.1	6	4081	4194	1	E											0	False	F
QGNH01000244.1_7	QGNH01000244.1	QGNH01000244.1	7	4490	4894	-1	E											0	False	F
QGNH01000244.1_8	QGNH01000244.1	QGNH01000244.1	8	5017	5211	1	E											0	False	
QGNH01000244.1_9	QGNH01000244.1	QGNH01000244.1	9	5226	5357	1	E											0	False	
QGNH01000244.1_10	QGNH01000244.1	QGNH01000244.1	10	5366	5545	1	E											0	False	
QGNH01000244.1_11	QGNH01000244.1	QGNH01000244.1	11	5545	5721	1	E											0	False	
QGNH01000244.1_12	QGNH01000244.1	QGNH01000244.1	12	5878	6396	1	E											0	False	
QGNH01000244.1_13	QGNH01000244.1	QGNH01000244.1	13	6500	6736	-1	E											0	False	
QGNH01000244.1_14	QGNH01000244.1	QGNH01000244.1	14	6739	6924	-1	E											0	False	
QGNH01000244.1_15	QGNH01000244.1	QGNH01000244.1	15	7292	8005	1	E											0	False	
QGNH01000244.1_16	QGNH01000244.1	QGNH01000244.1	16	8041	8604	1	E											0	False	
QGNH01000244.1_17	QGNH01000244.1	QGNH01000244.1	17	9153	9551	1	E											0	False	
QGNH01000244.1_18	QGNH01000244.1	QGNH01000244.1	18	9565	10542	1	E											0	False	
QGNH01000244.1_19	QGNH01000244.1	QGNH01000244.1	19	10942	11481	1	E											0	False	
QGNH01000244.1_20	QGNH01000244.1	QGNH01000244.1	20	11488	11946	1	E											0	False	
QGNH01000244.1_21	QGNH01000244.1	QGNH01000244.1	21	11953	13080	1	E											0	False	F
QGNH01000244.1_22	QGNH01000244.1	QGNH01000244.1	22	13145	15430	1	E											0	False	F
QGNH01000244.1_23	QGNH01000244.1	QGNH01000244.1	23	15430	15894	1	E											0	False	F
QGNH01000244.1_24	QGNH01000244.1	QGNH01000244.1	24	15938	17269	1	E											0	False	F
QGNH01000244.1_25	QGNH01000244.1	QGNH01000244.1	25	17280	18023	1	E											0	False	F
