	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001108.1_1	QGNH01001108.1	QGNH01001108.1	1	1	105	1	E											0	False	F
QGNH01001108.1_2	QGNH01001108.1	QGNH01001108.1	2	637	849	-1	E											0	False	F
QGNH01001108.1_3	QGNH01001108.1	QGNH01001108.1	3	863	1180	-1	E											0	False	F
QGNH01001108.1_4	QGNH01001108.1	QGNH01001108.1	4	1198	2826	-1	D	YP_009199270.1	YP_009199270.1 terminase large subunit [Streptomyces phage SF1]	True	0.477	472.0	3.692e-145	Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]	VOG00185	sp|O64206|VG13_BPMD2 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001108.1_5	QGNH01001108.1	QGNH01001108.1	5	2828	3019	-1	E											0	False	F
QGNH01001108.1_6	QGNH01001108.1	QGNH01001108.1	6	3362	3667	-1	E											0	False	F
QGNH01001108.1_7	QGNH01001108.1	QGNH01001108.1	7	3668	4543	-1	E											0	False	F
QGNH01001108.1_8	QGNH01001108.1	QGNH01001108.1	8	4546	4764	-1	E											0	False	F
QGNH01001108.1_9	QGNH01001108.1	QGNH01001108.1	9	4927	5268	-1	D	YP_010080469.1	YP_010080469.1 VRR-NUC domain-containing protein [Brevibacterium phage AGM1]	False	0.351	66.0	1.922e-12	VRR-NUC domain [PF08774.14]	VOG00231	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu	Xu	0	False	F
QGNH01001108.1_10	QGNH01001108.1	QGNH01001108.1	10	5265	5537	-1	E											0	False	F
QGNH01001108.1_11	QGNH01001108.1	QGNH01001108.1	11	5537	6775	-1	D	YP_009812678.1	YP_009812678.1 DNA primase [Microbacterium phage OneinaGillian]	False	0.228	72.0	7.1e-12	AAA domain [PF13481.9]; DnaB-like helicase C terminal domain [PF03796.18]	VOG00236	sp|P03692|HELIC_BPT7 DNA helicase/primase; XhXr	Xh;Xr	0	False	VF
QGNH01001108.1_12	QGNH01001108.1	QGNH01001108.1	12	6975	7130	-1	E											0	False	F
QGNH01001108.1_13	QGNH01001108.1	QGNH01001108.1	13	7401	8033	1	E											0	False	F
QGNH01001108.1_14	QGNH01001108.1	QGNH01001108.1	14	8030	9256	1	D	YP_005087082.1	YP_005087082.1 integrase [Rhodococcus phage REQ2]	False	0.246	113.0	6.018e-25	Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	False	VF
QGNH01001108.1_15	QGNH01001108.1	QGNH01001108.1	15	9505	10092	-1	D							Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]	VOG09790	sp|Q5UQM3|YR419_MIMIV Uncharacterized short-chain type dehydrogenase/reductase R419; Xh	Xh	0	False	MKF
