	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001088.1_1	QGNH01001088.1	QGNH01001088.1	1	1	87	-1	E															0	False	F
QGNH01001088.1_2	QGNH01001088.1	QGNH01001088.1	2	150	1193	-1	E															0	False	F
QGNH01001088.1_3	QGNH01001088.1	QGNH01001088.1	3	1190	1981	-1	E															0	False	F
QGNH01001088.1_4	QGNH01001088.1	QGNH01001088.1	4	1981	2403	-1	E															0	False	F
QGNH01001088.1_5	QGNH01001088.1	QGNH01001088.1	5	2421	2963	-1	D							Family of unknown function (DUF6445) [PF20043.2]								0	False	F
QGNH01001088.1_6	QGNH01001088.1	QGNH01001088.1	6	2960	3397	-1	E												VOG00089	sp|A0A0S0MX59|AT_BPPAM 5-NmdU N-acetyltransferase; XhXp	Xp;Xh	0	False	F
QGNH01001088.1_7	QGNH01001088.1	QGNH01001088.1	7	3397	3846	-1	E												VOG00907	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001088.1_8	QGNH01001088.1	QGNH01001088.1	8	3846	5327	-1	D	YP_009222582.1	YP_009222582.1 head closure Hc3 [Rhodoferax phage P26218]	False	0.297	212.0	3.799e-57	Phage stabilisation protein [PF11134.11]					VOG10156	sp|P26749|VG10_BPP22 Packaged DNA stabilization protein gp10; Xh	Xh	0	False	F
QGNH01001088.1_9	QGNH01001088.1	QGNH01001088.1	9	5334	6491	-1	E															0	False	F
QGNH01001088.1_10	QGNH01001088.1	QGNH01001088.1	10	6500	7249	-1	E	YP_009222583.1	YP_009222583.1 hypothetical protein AXJ08_gp33 [Rhodoferax phage P26218]	False	0.275	88.0	4.746e-18						VOG12454	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001088.1_11	QGNH01001088.1	QGNH01001088.1	11	7253	7543	-1	E															0	False	F
QGNH01001088.1_12	QGNH01001088.1	QGNH01001088.1	12	7540	8466	-1	D								GT105	GT105 Dol-P-beta-D-Man: protein alpha-D-mannosyltransferase (EC 2.4.1.109);	2.4.1.109	GT105.hmm				0	False	F
QGNH01001088.1_13	QGNH01001088.1	QGNH01001088.1	13	8466	8765	-1	E															0	False	F
QGNH01001088.1_14	QGNH01001088.1	QGNH01001088.1	14	8773	9297	-1	E															0	False	F
QGNH01001088.1_15	QGNH01001088.1	QGNH01001088.1	15	9314	10372	-1	D	YP_010676997.1	YP_010676997.1 major head protein [Shewanella phage X14]	False	0.239	95.0	1.535e-19	P22 coat protein - gene protein 5 [PF11651.11]					VOG00529	sp|P19727|CAPSB_BPT7 Minor capsid protein; XrXs	Xs;Xr	0	False	VF
