Name	Count
nan	907
Oxaloacetate to lysine	27
Cysteine and methionine	30
Acetoin biosynthesis III	2
(s,s)-butanediol biosynthesis	2
Meso-butanediol biosynthesis I	2
Superpathway of (R,R)-butanediol biosynthesis	4
Superpathway of 2,3-butanediol biosynthesis	3
Histidine	39
PEP	18
Peptidoglycan biosynthesis	27
Murein	5
Pyruvate fermentation to butanoate	7
Pyruvate fermentation to ethanol I	4
Pyruvate fermentation to ethanol II	3
Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	20
Superpathway of clostridium acetobutylicum acidogenic fermentation	18
Superpathway of clostridium acetobutylicum solventogenic fermentation	15
Pyruvate fermentation to acetate and lactate I	4
Pyruvate fermentation to acetate I	4
Pyruvate fermentation to acetate IV	4
Pyruvate fermentation to propionate II (acrylate pathway)	4
Assimilatory nitrate reduction	1
Denitrification	2
Sulfate reduction (assimilatory)	6
Pyruvate fermentation to lactate	7
(R)-acetoin biosynthesis I	2
(s)-acetoin biosynthesis	2
Meso-butanediol biosynthesis II	2
Pyruvate fermentation to acetone	8
Sulfoacetaldehyde degradation	2
Sulfolactate degradation	3
Pyruvate fermentation to acetate and lactate II	1
Pyruvate fermentation to acetate II	1
Pyruvate fermentation to acetate VII	1
Lipopolysaccharide biosynthesis	49
Maltose	4
Pyruvate to leucine	4
Pyruvate fermentation to acetate and alanine	1
Superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	2
Sulfate reduction (dissimilatory)	2
Sulfite oxidation	2
Sulfur disproportionation	2
Thiosulfate disproportionation	4
Sucrose	3
Oxaloacetate to aspartate and asparagine	8
Pyruvate fermentation to acetate V	2
Pyruvate fermentation to acetate VI	2
Glutamate	1
ABC-2 type and other transporters	17
Phosphate and amino acid transporters	16
Mineral and organic ion transporters	17
 metallic cation, iron-siderophore and vitamin b12 transporters	8
PEPtide and nickel transporters	13
Monosaccharide transporters	10
Oligosaccharide and polyol transporters	7
Sugar transporters	5
Nitrate/nitrite transporters	1
Organic acid transporters	14
Enzyme I and hpr	5
Lactose	2
Mucin type O-glycan biosynthesis	12
N-glycan biosynthesis	12
Drug transporters	10
Pyruvate fermentation to ethanol III	1
Sulfide oxidation III or sulfur oxidation I (sulfur dioxygenase)	1
Protein transporters	1
Unknown transporters	1
Metal transporters	1
