Name	Count
06_Amino acid utilization biosynthesis metabolism	372
01_Fermentation	196
20_Hydrolysis of polymers	58
08_Hydrocarbon degradation	22
10_TCA cycle	26
15_Methylotrophy	17
21_Cellular response to stress	190
19_Saccharide and derivated synthesis	114
07_Nucleic acid metabolism	109
02_Homoacetogenesis	27
16_Embden Meyerhof-Parnos (EMP)	28
17_Gluconeogenesis	13
13_Hydrogen metabolism	6
05_Fatty acid oxidation	36
11_Nitrogen cycle	14
14_Methanogenesis	6
18_Sulfur compounds metabolism	24
09_Carbohydrate Active enzyme - CAZy	36
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	3
12_Transporters	126
