Name	Count
Coenzyme transport and metabolism	132
Amino acid transport and metabolism	162
Inorganic ion transport and metabolism	128
Nucleotide transport and metabolism	72
Translation, ribosomal structure and biogenesis	207
Lipid transport and metabolism	74
Carbohydrate transport and metabolism	117
Energy production and conversion	165
Posttranslational modification, protein turnover, chaperones	112
Cell motility	58
Transcription	79
General function prediction only	158
Secondary metabolites biosynthesis, transport and catabolism	51
Replication, recombination and repair	95
Intracellular trafficking, secretion, and vesicular transport	67
Cell cycle control, cell division, chromosome partitioning	42
Signal transduction mechanisms	93
Defense mechanisms	60
Cell wall/membrane/envelope biogenesis	133
Mobilome: prophages, transposons	44
Function unknown	150
Cytoskeleton	2
Extracellular structures	17
RNA processing and modification	1
