Name	Count
nan	1298
Nitrate to ammonia	1
Nitrate to nitrite	2
ABC-2 type transporter [mD:m00254]	1
Branched-chain amino acid transporter [mD:m00237]	5
Uncharacterized ABC transporter [mD:m00258]	2
Iron(III) transporter [mD:m00190]	3
Iron complex transporter [mD:m00240]	3
Molybdate transporter [mD:m00189]	3
Polar amino acid transporter [mD:m00236]	3
PEPtides/nickel transporter [mD:m00239]	4
Phosphate transporter [mD:m00222]	4
Phosphonate transporter [mD:m00223]	3
Sulfate transporter [mD:m00185]	4
Sulfonate/nitrate/taurine transporter [mD:m00188]	1
Putative spermidine/putrescine transporter [mD:m00193]	1
Putative ABC transporter [mD:m00210]	3
D-methionine transporter [mD:m00238]	3
Heme transporter [mD:m00259]	4
Fucose:h+ symporter (Fhs) family [tc:2.A.1.7]	1
Oligosaccharide:h+ symporter (ohs) family [tc:2.A.1.5]	1
Nitrate/nitrite porter (nnp) family [tc:2.A.1.8]	1
Metabolite:h+ symporter (mhs) family [tc:2.A.1.6]	5
Fructose-specific II component [mD:m00273]	2
Phosphocarrier protein hpr	1
Nitrogen regulatory II component	1
Drug:h+ antiporter-1 (12 spanner) (DhA1) family [tc:2.A.1.2]	5
Drug:h+ antiporter-2 (14 spanner) (DhA2) family [tc:2.A.1.3]	2
Anion:cation symporter (Acs) family [tc:2.A.1.14]	4
Aromatic acid:h+ symporter (AAhs) family [tc:2.A.1.15]	3
Phenylproprionate permease (ppp) [tc:2.A.1.27]	1
Putative tungstate transporter [mD:m00186]	1
Vitamin b12 transporter [mD:m00241]	1
Lipopolysaccharide transporter [mD:m00320]	3
Purine transporter (AzgA) family [tc:2.A.1.40]	1
Sugar porter (sp) family [tc:2.A.1.1]	2
Oxalate:formate antiporter (oFA) family [tc:2.A.1.11]	1
Drug:h+ antiporter-3 (12 spanner) (DhA3) [tc:2.A.1.21]	1
Peptide-acetyl-coA transporter (pAt) [tc:2.A.1.25]	1
Unknown major facilitator-2 (UmF2) [tc:2.A.1.26]	1
Putative aromatic compound/drug exporter (AcDE) family [tc:2.A.1.32]	1
Acriflavin-sensitivity (Ynfm) family [tc:2.A.1.36]	1
Enterobactin (siderophore) exporter (Ents) family [tc:2.A.1.38]	1
Enzyme I	1
Lipopolysaccharide transporter [mD:m00250]	2
Lipooligosaccharide transporter [mD:m00252]	1
Lipoprotein-releasing transporter [mD:m00255]	2
Cell division transporter [mD:m00256]	2
Zinc transporter [mD:m00242]	3
Glutamate/aspartate transporter [mD:m00230]	4
Putative glutamine transporter [mD:m00228]	1
Cobalt transporter [mD:m00245]	1
Maltose/maltodextrin transporter [mD:m00194]	1
Sorbitol/mannitol transporter [mD:m00200]	3
Ribose transporter [mD:m00212]	3
Putrescine transporter [mD:m00300]	4
DiPEPtide transporter [mD:m00324]	5
Microcin c transporter [mD:m00349]	4
