	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_010147_NC_010147_1	NC_010147	NC_010147	1	9	1385	-1	C	K06400	site-specific DNA recombinase								Resolvase, N terminal domain [PF00239.24]; Recombinase [PF07508.16]					0
NC_010147_NC_010147_2	NC_010147	NC_010147	2	1443	1946	-1	E															0
NC_010147_NC_010147_3	NC_010147	NC_010147	3	1964	2425	-1	E															0
NC_010147_NC_010147_4	NC_010147	NC_010147	4	2438	2752	-1	C	K07727	putative transcriptional regulator								Cro/C1-type HTH DNA-binding domain [PF13443.9]; Helix-turn-helix domain [PF13560.9]; Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF12844.10]					0
NC_010147_NC_010147_5	NC_010147	NC_010147	5	2904	3140	1	E															0
NC_010147_NC_010147_6	NC_010147	NC_010147	6	3154	3930	1	D										Phage regulatory protein Rha (Phage_pRha) [PF09669.13]					0
NC_010147_NC_010147_7	NC_010147	NC_010147	7	3956	4399	1	E															0
NC_010147_NC_010147_8	NC_010147	NC_010147	8	4414	4554	1	E															0
NC_010147_NC_010147_9	NC_010147	NC_010147	9	4547	4756	-1	E															0
NC_010147_NC_010147_10	NC_010147	NC_010147	10	4813	5502	1	D										BRO family, N-terminal domain [PF02498.20]; ORF6C domain [PF10552.12]					0
NC_010147_NC_010147_11	NC_010147	NC_010147	11	5448	5615	1	E															0
NC_010147_NC_010147_12	NC_010147	NC_010147	12	5864	6124	1	D										Protein of unknown function (DUF1108) [PF06531.14]					0
NC_010147_NC_010147_13	NC_010147	NC_010147	13	6139	6618	1	D										Siphovirus Gp157 [PF05565.14]					0
NC_010147_NC_010147_14	NC_010147	NC_010147	14	6618	7391	1	D										AAA domain [PF13479.9]					0
NC_010147_NC_010147_15	NC_010147	NC_010147	15	7421	7939	1	E															0
NC_010147_NC_010147_16	NC_010147	NC_010147	16	7951	8625	1	D										Putative HNHc nuclease [PF16784.8]; Protein of unknown function (DUF968) [PF06147.14]					0
