	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_019456_1	NC_019456	NC_019456	1	2	193	1	E																								0	False	F
NC_019456_2	NC_019456	NC_019456	2	884	1054	1	E			YP_007002965.1	YP_007002965.1 hypothetical protein F367_gp21 [Lactobacillus phage JCL1032]	False	0.963	116.0	6.273e-31																0	False	F
NC_019456_3	NC_019456	NC_019456	3	1124	1621	1	D			YP_007002966.1	YP_007002966.1 terminase small subunit [Lactobacillus phage JCL1032]	False	0.918	319.0	2.574e-99								Phage terminase, small subunit [PF05119.15]					VOG00738	REFSEQ terminase small subunit; Xu	Xu	0	False	F
NC_019456_4	NC_019456	NC_019456	4	1599	2006	1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	YP_007002967.1	YP_007002967.1 HNH endonuclease [Lactobacillus phage JCL1032]	False	0.992	279.0	5.8880000000000004e-86								HNH endonuclease [PF01844.26]								1	False	F
NC_019456_5	NC_019456	NC_019456	5	2018	2488	1	D			YP_007002968.1	YP_007002968.1 terminase large subunit [Lactobacillus phage JCL1032]	False	0.992	321.0	4.738e-100								Terminase large subunit, ATPase domain [PF03354.18]					VOG04588	REFSEQ terminase large subunit; Xu	Xu	0	False	F
NC_019456_6	NC_019456	NC_019456	6	2694	4052	1	D			YP_007002968.1	YP_007002968.1 terminase large subunit [Lactobacillus phage JCL1032]	True	0.986	940.0	6.228e-309								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
NC_019456_7	NC_019456	NC_019456	7	4058	5365	1	D			YP_007002969.1	YP_007002969.1 portal protein [Lactobacillus phage JCL1032]	True	0.965	885.0	4.0210000000000005e-290								Phage portal protein [PF04860.15]					VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xh;Xp;Xr;Xs	0	False	VF
NC_019456_8	NC_019456	NC_019456	8	5325	6056	1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	YP_007002970.1	YP_007002970.1 head maturation protease [Lactobacillus phage JCL1032]	True	0.927	473.0	2.821e-151	MER0359780	S14	MER0359780 - family S14 unassigned peptidases () [S14.UPW]#S14#{peptidase unit: 15-190}~source ACB72549~	False	347.0	4.561e-107	0.934	Clp protease [PF00574.26]; Serine dehydrogenase proteinase [PF01972.19]					VOG07465	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xh;Xs	0	False	VP
NC_019456_9	NC_019456	NC_019456	9	6069	7241	1	E			YP_007002971.1	YP_007002971.1 major capsid protein [Lactobacillus phage JCL1032]	True	0.924	756.0	2.721e-246													VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	V
NC_019456_10	NC_019456	NC_019456	10	7219	7371	-1	E																								0	False	
NC_019456_11	NC_019456	NC_019456	11	7467	7826	1	E			YP_007002973.1	YP_007002973.1 head-tail connector protein [Lactobacillus phage JCL1032]	False	0.949	239.0	1.4140000000000001e-72													VOG00201	REFSEQ head-tail adaptor Ad1; Xu	Xu	0	False	
NC_019456_12	NC_019456	NC_019456	12	7816	8169	1	D			YP_007002974.1	YP_007002974.1 head closure protein [Lactobacillus phage JCL1032]	False	1.0	251.0	1.347e-76								Phage head-tail joining protein [PF05521.14]					VOG00080	sp|O48446|HCP16_BPSPP Head completion protein gp16; XpXrXs	Xp;Xr;Xs	0	False	V
NC_019456_13	NC_019456	NC_019456	13	8162	8761	1	E			YP_007002975.1	YP_007002975.1 hypothetical protein F367_gp11 [Lactobacillus phage JCL1032]	True	0.983	415.0	8.992e-132													VOG35989	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019456_14	NC_019456	NC_019456	14	8706	9140	1	D			YP_007002976.1	YP_007002976.1 tail protein [Lactobacillus phage JCL1032]	False	0.975	267.0	8.595e-82								Protein of unknown function (DUF806) [PF05657.14]					VOG02505	REFSEQ tail protein; Xu	Xu	0	False	
NC_019456_15	NC_019456	NC_019456	15	9155	9775	1	D			YP_007002977.1	YP_007002977.1 major tail protein [Lactobacillus phage JCL1032]	True	0.965	421.0	1.106e-133								Phage tail tube protein [PF04630.15]					VOG01008	sp|O48449|TUBE_BPSPP Tail tube protein gp17.1*; XpXrXs	Xp;Xr;Xs	0	False	V
NC_019456_16	NC_019456	NC_019456	16	9895	10359	1	E			YP_007002978.1	YP_007002978.1 hypothetical protein F367_gp08 [Lactobacillus phage JCL1032]	False	0.936	304.0	1.796e-94																0	False	
NC_019456_17	NC_019456	NC_019456	17	10521	12101	1	D			YP_007002980.1	YP_007002980.1 tail tape measure protein [Lactobacillus phage JCL1032]	False	0.874	938.0	1.731e-306								Phage-related minor tail protein [PF10145.12]								0	False	
NC_019456_18	NC_019456	NC_019456	18	12433	16449	1	D			YP_007002980.1	YP_007002980.1 tail tape measure protein [Lactobacillus phage JCL1032]	True	0.917	2566.0	0.0								Transglycosylase SLT domain [PF01464.23]					VOG00197	sp|O64220|VG26_BPMD2 Minor tail protein Gp26; Xu	Xu	0	False	
NC_019456_19	NC_019456	NC_019456	19	16517	18709	1	D			YP_007002981.1	YP_007002981.1 distal tail protein Dit [Lactobacillus phage JCL1032]	True	0.978	1506.0	0.0								Phage tail protein [PF05709.14]					VOG00298	sp|O48459|DIT_BPSPP Distal tail protein; XpXrXs	Xp;Xr;Xs	0	False	V
NC_019456_20	NC_019456	NC_019456	20	18724	21162	1	D			YP_007002982.1	YP_007002982.1 tail protein [Lactobacillus phage JCL1032]	True	0.984	1687.0	0.0								Prophage endopeptidase tail [PF06605.14]					VOG29972	REFSEQ tail fiber protein; host specificity; Xu	Xu	0	False	
NC_019456_21	NC_019456	NC_019456	21	21165	22589	1	D			YP_007002983.1	YP_007002983.1 tail protein [Lactobacillus phage JCL1032]	True	0.972	973.0	1.051e-319								gp58-like protein [PF07902.14]								0	False	
NC_019456_22	NC_019456	NC_019456	22	22669	22887	1	E			YP_007002984.1	YP_007002984.1 hypothetical protein F367_gp02 [Lactobacillus phage JCL1032]	False	0.925	142.0	1.17e-39													VOG02233	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_019456_23	NC_019456	NC_019456	23	22901	23044	1	E			YP_007002985.1	YP_007002985.1 hypothetical protein F367_gp01 [Lactobacillus phage JCL1032]	False	0.931	94.0	1.4889999999999998e-23																0	False	
NC_019456_24	NC_019456	NC_019456	24	23064	24488	1	D			YP_007002986.1	YP_007002986.1 tail fiber protein [Lactobacillus phage JCL1032]	True	0.965	964.0	1.075e-316								Collagen triple helix repeat (20 copies) [PF01391.21]					VOG00903	REFSEQ tail assembly protein; Xu	Xu	0	False	
NC_019456_25	NC_019456	NC_019456	25	24526	24837	1	E			YP_007002987.1	YP_007002987.1 hypothetical protein F367_gp24 [Lactobacillus phage JCL1032]	False	0.929	203.0	3.7629999999999996e-60																0	False	
NC_019456_26	NC_019456	NC_019456	26	24827	25024	1	D			YP_007002988.1	YP_007002988.1 hypothetical protein F367_gp25 [Lactobacillus phage JCL1032]	False	0.931	129.0	2.075e-35								Phage uncharacterised protein (Phage_XkdX) [PF09693.13]					VOG00187	sp|O31968|YOMP_BACSU SPbeta prophage-derived uncharacterized protein YomP; Xu	Xu	0	False	
NC_019456_27	NC_019456	NC_019456	27	24984	25406	1	E			YP_007002989.1	YP_007002989.1 holin [Lactobacillus phage JCL1032]	False	0.999	298.0	1.962e-92													VOG14164	REFSEQ holin; Xu	Xu	0	False	
NC_019456_28	NC_019456	NC_019456	28	25427	25750	1	E			YP_007002990.1	YP_007002990.1 hol-like chemotaxis [Lactobacillus phage JCL1032]	False	0.917	207.0	1.03e-61																0	False	
NC_019456_29	NC_019456	NC_019456	29	25754	26107	1	D			YP_007002991.1	YP_007002991.1 holin [Lactobacillus phage JCL1032]	False	0.879	216.0	1.599e-64								Bacteriophage holin of superfamily 6 (Holin_LLH) [PF09682.13]					VOG00690	REFSEQ holin; Xu	Xu	0	False	
NC_019456_30	NC_019456	NC_019456	30	26088	27281	1	C	K07273	lysozyme	YP_007002992.1	YP_007002992.1 endolysin [Lactobacillus phage JCL1032]	True	0.953	797.0	2.22e-260								Glycosyl hydrolases family 25 [PF01183.23]	GH25	GH25 lysozyme (EC 3.2.1.17)	3.2.1.17	GH25.hmm				0	False	
