	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_071076_NC_071076_1	NC_071076	NC_071076	1	108	560	1	C	K07474	phage terminase small subunit								Terminase small subunit [PF03592.19]					0
NC_071076_NC_071076_2	NC_071076	NC_071076	2	547	1218	1	D										Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Phage terminase large subunit [PF04466.16]					0
NC_071076_NC_071076_3	NC_071076	NC_071076	3	1492	2079	1	C	K06909	phage terminase large subunit								Terminase RNAseH like domain [PF17288.5]					0
NC_071076_NC_071076_4	NC_071076	NC_071076	4	2085	3593	1	D										Phage portal protein, SPP1 Gp6-like [PF05133.17]					0
NC_071076_NC_071076_5	NC_071076	NC_071076	5	3590	4483	1	D										Phage Mu protein F like protein [PF04233.17]					0
NC_071076_NC_071076_6	NC_071076	NC_071076	6	4671	5252	1	D										Domain of unknown function (DUF4355) [PF14265.9]					0
NC_071076_NC_071076_7	NC_071076	NC_071076	7	5273	5632	1	E															0
NC_071076_NC_071076_8	NC_071076	NC_071076	8	5650	6696	1	D										Phage major capsid protein E [PF03864.18]					0
NC_071076_NC_071076_9	NC_071076	NC_071076	9	6708	6869	1	E															0
NC_071076_NC_071076_10	NC_071076	NC_071076	10	6881	7222	1	E															0
NC_071076_NC_071076_11	NC_071076	NC_071076	11	7219	7533	1	E															0
NC_071076_NC_071076_12	NC_071076	NC_071076	12	7535	7879	1	E															0
NC_071076_NC_071076_13	NC_071076	NC_071076	13	7876	8262	1	D										Protein of unknown function (DUF3168) [PF11367.11]					0
NC_071076_NC_071076_14	NC_071076	NC_071076	14	8276	8785	1	E															0
NC_071076_NC_071076_15	NC_071076	NC_071076	15	8860	9213	1	D										Phage tail assembly chaperone protein, TAC [PF12363.11]					0
NC_071076_NC_071076_16	NC_071076	NC_071076	16	9276	9593	1	E															0
NC_071076_NC_071076_17	NC_071076	NC_071076	17	9583	13995	1	E															0
NC_071076_NC_071076_18	NC_071076	NC_071076	18	13995	15536	1	D										Phage tail protein [PF05709.14]					0
