	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000973.1_1	QGNH01000973.1	QGNH01000973.1	1	49	888	-1	E																		0	False	F
QGNH01000973.1_2	QGNH01000973.1	QGNH01000973.1	2	938	2110	-1	E																		0	False	F
QGNH01000973.1_3	QGNH01000973.1	QGNH01000973.1	3	2383	2823	-1	E																		0	False	F
QGNH01000973.1_4	QGNH01000973.1	QGNH01000973.1	4	3119	4129	-1	E																		0	False	F
QGNH01000973.1_5	QGNH01000973.1	QGNH01000973.1	5	4210	4737	-1	E																		0	False	F
QGNH01000973.1_6	QGNH01000973.1	QGNH01000973.1	6	4737	5033	-1	E																		0	False	F
QGNH01000973.1_7	QGNH01000973.1	QGNH01000973.1	7	5033	5209	-1	E																		0	False	
QGNH01000973.1_8	QGNH01000973.1	QGNH01000973.1	8	5303	7297	-1	D	YP_001039818.1	YP_001039818.1 major head protein [Vibrio phage VP882]	False	0.287	260.0	2.49e-71	MER0071166	S78	MER0071166 - family S78 unassigned peptidases (Leptothrix cholodnii) [S78.UPW]#S78#{peptidase unit: 51-155}~source ACB35250~	False	81.0	5.648e-14	0.394	Phage capsid family [PF05065.16]; Caudovirus prohead serine protease [PF04586.20]	VOG02241	sp|B0ZSF3|CAPSD_BPHA1 Major capsid protein; XhXs	Xs;Xh	0	False	VP
QGNH01000973.1_9	QGNH01000973.1	QGNH01000973.1	9	7287	8846	-1	D	YP_004421725.1	YP_004421725.1 portal protein [Synechococcus phage S-CBS3]	False	0.325	234.0	3.737e-64								Phage portal protein, lambda family [PF05136.16]	VOG01401	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xp;Xr;Xs	0	False	VF
QGNH01000973.1_10	QGNH01000973.1	QGNH01000973.1	10	8848	9465	-1	E	YP_001686739.1	YP_001686739.1 head-tail joining [Halomonas phage phiHAP-1]	False	0.292	74.0	5.229e-14									VOG00069	sp|Q7Y5D9|FIBL2_BPT5 Collar protein p132; XhXs	Xs;Xh	0	False	VF
QGNH01000973.1_11	QGNH01000973.1	QGNH01000973.1	11	9575	11509	-1	D	YP_009797490.1	YP_009797490.1 terminase large subunit [Faecalibacterium phage FP_Toutatis]	True	0.466	470.0	5.831e-143								Terminase large subunit gpA, endonuclease domain [PF20454.1]; Phage terminase large subunit gpA, ATPase domain [PF05876.15]	VOG00695	sp|P03708|TERL_LAMBD Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
QGNH01000973.1_12	QGNH01000973.1	QGNH01000973.1	12	11509	12042	-1	D														Phage DNA packaging protein Nu1 [PF07471.15]	VOG00371	sp|P03707|TERS_LAMBD Terminase small subunit; XhXr	Xh;Xr	0	False	VF
