KO Id	Name	Level	Count
	lvl1: Metabolism	1	1533
	lvl2: Amino acid metabolism	2	269
	lvl3: Glycine, serine and threonine metabolism [PATH:ko00260]	3	25
K00003	K00003: hom; homoserine dehydrogenase	Function	3
	lvl3: Cysteine and methionine metabolism [PATH:ko00270]	3	32
	lvl3: Lysine biosynthesis [PATH:ko00300]	3	13
	lvl2: Carbohydrate metabolism	2	351
	lvl3: Butanoate metabolism [PATH:ko00650]	3	28
K00004	K00004: BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	Function	1
	lvl3: Propanoate metabolism [PATH:ko00640]	3	35
K00005	K00005: gldA; glycerol dehydrogenase	Function	2
	lvl2: Lipid metabolism	2	86
	lvl3: Glycerolipid metabolism [PATH:ko00561]	3	17
	lvl3: Inositol phosphate metabolism [PATH:ko00562]	3	12
K00010	K00010: iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	Function	2
	lvl2: Biosynthesis of other secondary metabolites	2	56
	lvl3: Streptomycin biosynthesis [PATH:ko00521]	3	9
	lvl3: Pentose and glucuronate interconversions [PATH:ko00040]	3	9
K00012	K00012: UGDH, ugd; UDPglucose 6-dehydrogenase	Function	4
	lvl3: Ascorbate and aldarate metabolism [PATH:ko00053]	3	11
	lvl3: Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	3	26
	lvl2: Glycan biosynthesis and metabolism	2	70
	lvl3: O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	3	17
	lvl3: Histidine metabolism [PATH:ko00340]	3	20
K00013	K00013: hisD; histidinol dehydrogenase	Function	1
	lvl3: Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	3	21
K00014	K00014: aroE; shikimate dehydrogenase	Function	1
	lvl3: Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	3	33
K00018	K00018: hprA; glycerate dehydrogenase	Function	3
	lvl2: Energy metabolism	2	175
	lvl3: Methane metabolism [PATH:ko00680]	3	27
K00019	K00019: E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase	Function	2
	lvl3: Synthesis and degradation of ketone bodies [PATH:ko00072]	3	5
	lvl3: Valine, leucine and isoleucine degradation [PATH:ko00280]	3	26
K00020	K00020: HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	Function	1
K00023	K00023: phbB; acetoacetyl-CoA reductase	Function	2
	lvl3: Pyruvate metabolism [PATH:ko00620]	3	46
K00027	K00027: ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)	Function	2
	lvl1: Environmental Information Processing	1	273
	lvl2: Signal transduction	2	142
	lvl3: Two-component system [PATH:ko02020]	3	126
	lvl3: Citrate cycle (TCA cycle) [PATH:ko00020]	3	24
K00031	K00031: IDH1, IDH2, icd; isocitrate dehydrogenase	Function	5
	lvl3: Carbon fixation pathways in prokaryotes [PATH:ko00720]	3	27
	lvl2: Metabolism of other amino acids	2	57
	lvl3: Glutathione metabolism [PATH:ko00480]	3	18
	lvl1: Cellular Processes	1	228
	lvl2: Transport and catabolism	2	13
	lvl3: Peroxisome [PATH:ko04146]	3	12
	lvl1: Human Diseases	1	168
	lvl2: Cancer: overview	2	16
	lvl3: Central carbon metabolism in cancer [PATH:ko05230]	3	5
	lvl3: Pentose phosphate pathway [PATH:ko00030]	3	28
K00032	K00032: E1.1.1.43; phosphogluconate 2-dehydrogenase	Function	2
K00034	K00034: gdh; glucose 1-dehydrogenase	Function	1
K00036	K00036: G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	Function	5
	lvl2: Cardiovascular disease	2	20
	lvl3: Diabetic cardiomyopathy [PATH:ko05415]	3	12
	lvl1: Brite Hierarchies	1	1597
	lvl2: Protein families: signaling and cellular processes	2	658
	lvl3: Exosome [BR:ko04147]	3	38
K00042	K00042: garR, glxR; 2-hydroxy-3-oxopropionate reductase	Function	1
	lvl3: Fructose and mannose metabolism [PATH:ko00051]	3	23
K00045	K00045: E1.1.1.67, mtlK; mannitol 2-dehydrogenase	Function	1
	lvl1: Not Included in Pathway or Brite	1	504
	lvl2: Unclassified: metabolism	2	227
	lvl3: Enzymes with EC numbers	3	162
K00046	K00046: idnO; gluconate 5-dehydrogenase	Function	1
	lvl3: C5-Branched dibasic acid metabolism [PATH:ko00660]	3	9
K00052	K00052: leuB, IMDH; 3-isopropylmalate dehydrogenase	Function	2
	lvl3: Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	3	12
K00053	K00053: ilvC; ketol-acid reductoisomerase	Function	2
	lvl2: Metabolism of cofactors and vitamins	2	176
	lvl3: Pantothenate and CoA biosynthesis [PATH:ko00770]	3	15
	lvl3: Glycerophospholipid metabolism [PATH:ko00564]	3	19
K00057	K00057: gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)	Function	1
K00058	K00058: serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	Function	4
	lvl3: Fatty acid biosynthesis [PATH:ko00061]	3	14
K00059	K00059: fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase	Function	4
	lvl3: Biotin metabolism [PATH:ko00780]	3	12
	lvl3: Prodigiosin biosynthesis [PATH:ko00333]	3	4
	lvl2: Protein families: metabolism	2	301
	lvl3: Lipid biosynthesis proteins [BR:ko01004]	3	20
K00064	K00064: E1.1.1.122; D-threo-aldose 1-dehydrogenase	Function	2
K00066	K00066: algD; GDP-mannose 6-dehydrogenase	Function	3
K00067	K00067: rfbD, rmlD; dTDP-4-dehydrorhamnose reductase	Function	3
	lvl2: Metabolism of terpenoids and polyketides	2	46
	lvl3: Polyketide sugar unit biosynthesis [PATH:ko00523]	3	6
K00074	K00074: paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase	Function	3
	lvl3: Phenylalanine metabolism [PATH:ko00360]	3	16
	lvl2: Xenobiotics biodegradation and metabolism	2	156
	lvl3: Benzoate degradation [PATH:ko00362]	3	38
K00075	K00075: murB; UDP-N-acetylmuramate dehydrogenase	Function	3
	lvl3: Peptidoglycan biosynthesis [PATH:ko00550]	3	21
	lvl3: Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	3	36
K00077	K00077: panE, apbA; 2-dehydropantoate 2-reductase	Function	1
K00078	K00078: DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	Function	2
	lvl3: Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	3	4
K00086	K00086: dhaT; 1,3-propanediol dehydrogenase	Function	2
	lvl2: Nucleotide metabolism	2	91
	lvl3: Purine metabolism [PATH:ko00230]	3	60
K00088	K00088: IMPDH, guaB; IMP dehydrogenase	Function	3
	lvl3: Drug metabolism - other enzymes [PATH:ko00983]	3	9
K00091	K00091: E1.1.1.219; dihydroflavonol-4-reductase	Function	1
	lvl3: Vitamin B6 metabolism [PATH:ko00750]	3	7
K00097	K00097: pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase	Function	1
	lvl3: Terpenoid backbone biosynthesis [PATH:ko00900]	3	13
K00099	K00099: dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase	Function	1
K00104	K00104: glcD; glycolate oxidase	Function	1
K00113	K00113: glpC; glycerol-3-phosphate dehydrogenase subunit C	Function	1
K00116	K00116: mqo; malate dehydrogenase (quinone)	Function	2
	lvl3: Glycolysis / Gluconeogenesis [PATH:ko00010]	3	31
K00121	K00121: frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	Function	10
	lvl3: Fatty acid degradation [PATH:ko00071]	3	16
	lvl3: Tyrosine metabolism [PATH:ko00350]	3	16
	lvl3: Retinol metabolism [PATH:ko00830]	3	3
	lvl3: Chloroalkane and chloroalkene degradation [PATH:ko00625]	3	10
	lvl3: Naphthalene degradation [PATH:ko00626]	3	3
	lvl3: Drug metabolism - cytochrome P450 [PATH:ko00982]	3	4
K00131	K00131: gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)	Function	2
K00133	K00133: asd; aspartate-semialdehyde dehydrogenase	Function	4
	lvl3: Monobactam biosynthesis [PATH:ko00261]	3	8
K00134	K00134: GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	Function	9
	lvl3: Carbon fixation in photosynthetic organisms [PATH:ko00710]	3	13
	lvl3: HIF-1 signaling pathway [PATH:ko04066]	3	5
	lvl2: Infectious disease: bacterial	2	20
	lvl3: Pathogenic Escherichia coli infection [PATH:ko05130]	3	1
	lvl3: Salmonella infection [PATH:ko05132]	3	4
	lvl2: Neurodegenerative disease	2	55
	lvl3: Alzheimer disease [PATH:ko05010]	3	9
	lvl2: Protein families: genetic information processing	2	638
	lvl3: Membrane trafficking [BR:ko04131]	3	7
K00135	K00135: gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	Function	5
	lvl3: Alanine, aspartate and glutamate metabolism [PATH:ko00250]	3	24
	lvl3: Lysine degradation [PATH:ko00310]	3	10
	lvl3: Nicotinate and nicotinamide metabolism [PATH:ko00760]	3	21
K00138	K00138: aldB; aldehyde dehydrogenase	Function	2
K00140	K00140: mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	Function	4
	lvl3: beta-Alanine metabolism [PATH:ko00410]	3	10
	lvl3: Arginine biosynthesis [PATH:ko00220]	3	19
K00145	K00145: argC; N-acetyl-gamma-glutamyl-phosphate reductase	Function	1
	lvl3: Arginine and proline metabolism [PATH:ko00330]	3	23
K00147	K00147: proA; glutamate-5-semialdehyde dehydrogenase	Function	2
	lvl3: Carbapenem biosynthesis [PATH:ko00332]	3	2
K00148	K00148: fdhA; glutathione-independent formaldehyde dehydrogenase	Function	2
K00156	K00156: poxB; pyruvate dehydrogenase (quinone)	Function	1
K00161	K00161: PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	Function	7
	lvl1: Organismal Systems	1	56
	lvl2: Endocrine system	2	13
	lvl3: Glucagon signaling pathway [PATH:ko04922]	3	4
K00162	K00162: PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	Function	7
K00163	K00163: aceE; pyruvate dehydrogenase E1 component	Function	3
K00164	K00164: OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	Function	1
K00166	K00166: BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	Function	2
K00167	K00167: BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	Function	2
K00196	K00196: cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	Function	3
	lvl3: Nitrotoluene degradation [PATH:ko00633]	3	7
K00198	K00198: cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit	Function	3
K00208	K00208: fabI; enoyl-[acyl-carrier protein] reductase I	Function	4
K00215	K00215: dapB; 4-hydroxy-tetrahydrodipicolinate reductase	Function	2
	lvl3: Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]	3	9
K00216	K00216: entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	Function	1
	lvl3: Pyrimidine metabolism [PATH:ko00240]	3	31
K00226	K00226: pyrD; dihydroorotate dehydrogenase (fumarate)	Function	1
	lvl3: Porphyrin and chlorophyll metabolism [PATH:ko00860]	3	32
K00228	K00228: CPOX, hemF; coproporphyrinogen III oxidase	Function	1
K00230	K00230: hemG; menaquinone-dependent protoporphyrinogen oxidase	Function	1
K00234	K00234: SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit	Function	11
	lvl3: Oxidative phosphorylation [PATH:ko00190]	3	47
	lvl2: Environmental adaptation	2	14
	lvl3: Thermogenesis [PATH:ko04714]	3	10
	lvl3: Parkinson disease [PATH:ko05012]	3	8
	lvl3: Amyotrophic lateral sclerosis [PATH:ko05014]	3	10
	lvl3: Huntington disease [PATH:ko05016]	3	9
	lvl3: Prion disease [PATH:ko05020]	3	7
	lvl3: Pathways of neurodegeneration - multiple diseases [PATH:ko05022]	3	11
	lvl2: Endocrine and metabolic disease	2	11
	lvl3: Non-alcoholic fatty liver disease [PATH:ko04932]	3	5
K00235	K00235: SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit	Function	11
K00241	K00241: sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	Function	4
K00242	K00242: sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit	Function	4
	lvl2: Poorly characterized	2	156
	lvl3: Function unknown	3	117
K00243	K00243: K00243; uncharacterized protein	Function	1
K00248	K00248: ACADS, bcd; butyryl-CoA dehydrogenase	Function	5
K00252	K00252: GCDH, gcdH; glutaryl-CoA dehydrogenase	Function	4
	lvl3: Tryptophan metabolism [PATH:ko00380]	3	12
K00253	K00253: IVD, ivd; isovaleryl-CoA dehydrogenase	Function	1
K00254	K00254: DHODH, pyrD; dihydroorotate dehydrogenase	Function	1
K00259	K00259: ald; alanine dehydrogenase	Function	2
	lvl3: Taurine and hypotaurine metabolism [PATH:ko00430]	3	8
K00263	K00263: E1.4.1.9; leucine dehydrogenase	Function	2
	lvl3: Nitrogen metabolism [PATH:ko00910]	3	17
K00265	K00265: gltB; glutamate synthase (NADPH) large chain	Function	3
	lvl3: Peptidases and inhibitors [BR:ko01002]	3	71
K00266	K00266: gltD; glutamate synthase (NADPH) small chain	Function	2
K00274	K00274: MAO, aofH; monoamine oxidase	Function	14
	lvl3: Isoquinoline alkaloid biosynthesis [PATH:ko00950]	3	3
	lvl2: Nervous system	2	6
	lvl3: Dopaminergic synapse [PATH:ko04728]	3	1
	lvl3: Serotonergic synapse [PATH:ko04726]	3	2
	lvl2: Substance dependence	2	3
	lvl3: Cocaine addiction [PATH:ko05030]	3	1
	lvl3: Amphetamine addiction [PATH:ko05031]	3	1
	lvl3: Alcoholism [PATH:ko05034]	3	1
K00275	K00275: pdxH, PNPO; pyridoxamine 5'-phosphate oxidase	Function	1
K00278	K00278: nadB; L-aspartate oxidase	Function	2
K00281	K00281: GLDC, gcvP; glycine dehydrogenase	Function	2
K00285	K00285: dadA; D-amino-acid dehydrogenase	Function	1
K00286	K00286: proC; pyrroline-5-carboxylate reductase	Function	1
	lvl3: Folate biosynthesis [PATH:ko00790]	3	30
K00287	K00287: DHFR, folA; dihydrofolate reductase	Function	3
	lvl3: One carbon pool by folate [PATH:ko00670]	3	13
	lvl2: Drug resistance: antineoplastic	2	5
	lvl3: Antifolate resistance [PATH:ko01523]	3	4
K00297	K00297: metF, MTHFR; methylenetetrahydrofolate reductase (NADH)	Function	2
	lvl3: Sulfur metabolism [PATH:ko00920]	3	35
K00299	K00299: ssuE; FMN reductase	Function	2
	lvl3: Riboflavin metabolism [PATH:ko00740]	3	14
K00311	K00311: ETFDH; electron-transferring-flavoprotein dehydrogenase	Function	1
K00313	K00313: fixC; electron transfer flavoprotein-quinone oxidoreductase	Function	1
K00320	K00320: mer; 5,10-methylenetetrahydromethanopterin reductase	Function	1
K00322	K00322: sthA, udhA; NAD(P) transhydrogenase	Function	1
K00324	K00324: pntA; H+-translocating NAD(P) transhydrogenase subunit alpha	Function	1
K00325	K00325: pntB; H+-translocating NAD(P) transhydrogenase subunit beta	Function	1
K00330	K00330: nuoA; NADH-quinone oxidoreductase subunit A	Function	1
K00331	K00331: nuoB; NADH-quinone oxidoreductase subunit B	Function	1
K00334	K00334: nuoE; NADH-quinone oxidoreductase subunit E	Function	1
K00335	K00335: nuoF; NADH-quinone oxidoreductase subunit F	Function	1
K00336	K00336: nuoG; NADH-quinone oxidoreductase subunit G	Function	1
K00337	K00337: nuoH; NADH-quinone oxidoreductase subunit H	Function	1
K00338	K00338: nuoI; NADH-quinone oxidoreductase subunit I	Function	1
K00339	K00339: nuoJ; NADH-quinone oxidoreductase subunit J	Function	1
K00340	K00340: nuoK; NADH-quinone oxidoreductase subunit K	Function	1
K00341	K00341: nuoL; NADH-quinone oxidoreductase subunit L	Function	1
K00342	K00342: nuoM; NADH-quinone oxidoreductase subunit M	Function	1
K00343	K00343: nuoN; NADH-quinone oxidoreductase subunit N	Function	1
K00344	K00344: qor, CRYZ; NADPH:quinone reductase	Function	1
K00346	K00346: nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A	Function	1
K00347	K00347: nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B	Function	1
K00348	K00348: nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C	Function	1
K00349	K00349: nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D	Function	1
K00350	K00350: nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E	Function	1
K00351	K00351: nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F	Function	1
	lvl3: Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	3	15
K00355	K00355: NQO1; NAD(P)H dehydrogenase (quinone)	Function	4
	lvl3: Pathways in cancer [PATH:ko05200]	3	4
	lvl2: Cancer: specific types	2	4
	lvl3: Hepatocellular carcinoma [PATH:ko05225]	3	2
	lvl3: Fluid shear stress and atherosclerosis [PATH:ko05418]	3	5
K00362	K00362: nirB; nitrite reductase (NADH) large subunit	Function	1
K00372	K00372: nasA; assimilatory nitrate reductase catalytic subunit	Function	1
K00380	K00380: cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	Function	1
K00381	K00381: cysI; sulfite reductase (NADPH) hemoprotein beta-component	Function	1
K00382	K00382: DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	Function	10
K00383	K00383: GSR, gor; glutathione reductase (NADPH)	Function	3
	lvl3: Thyroid hormone synthesis [PATH:ko04918]	3	2
	lvl3: General function prediction only	3	39
K00389	K00389: yidH; putative membrane protein	Function	1
K00404	K00404: ccoN; cytochrome c oxidase cbb3-type subunit I	Function	2
K00405	K00405: ccoO; cytochrome c oxidase cbb3-type subunit II	Function	2
K00406	K00406: ccoP; cytochrome c oxidase cbb3-type subunit III	Function	2
K00407	K00407: ccoQ; cytochrome c oxidase cbb3-type subunit IV	Function	2
K00411	K00411: UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit	Function	12
	lvl2: Circulatory system	2	3
	lvl3: Cardiac muscle contraction [PATH:ko04260]	3	3
K00412	K00412: CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	Function	13
	lvl3: Mitochondrial biogenesis [BR:ko03029]	3	38
K00413	K00413: CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit	Function	12
K00424	K00424: cydX; cytochrome bd-I ubiquinol oxidase subunit X	Function	2
K00425	K00425: cydA; cytochrome bd ubiquinol oxidase subunit I	Function	2
K00426	K00426: cydB; cytochrome bd ubiquinol oxidase subunit II	Function	2
K00428	K00428: E1.11.1.5; cytochrome c peroxidase	Function	1
	lvl3: Arachidonic acid metabolism [PATH:ko00590]	3	2
K00432	K00432: gpx, btuE, bsaA; glutathione peroxidase	Function	6
K00433	K00433: cpo; non-heme chloroperoxidase	Function	1
K00446	K00446: dmpB, xylE; catechol 2,3-dioxygenase	Function	4
	lvl3: Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]	3	11
	lvl3: Xylene degradation [PATH:ko00622]	3	13
	lvl3: Styrene degradation [PATH:ko00643]	3	6
K00448	K00448: pcaG; protocatechuate 3,4-dioxygenase, alpha subunit	Function	2
	lvl3: Polycyclic aromatic hydrocarbon degradation [PATH:ko00624]	3	3
K00449	K00449: pcaH; protocatechuate 3,4-dioxygenase, beta subunit	Function	2
K00451	K00451: HGD, hmgA; homogentisate 1,2-dioxygenase	Function	2
K00457	K00457: HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase	Function	4
K00459	K00459: ncd2, npd; nitronate monooxygenase	Function	1
K00477	K00477: PHYH; phytanoyl-CoA hydroxylase	Function	1
K00481	K00481: pobA; p-hydroxybenzoate 3-monooxygenase	Function	1
K00500	K00500: phhA, PAH; phenylalanine-4-hydroxylase	Function	3
K00523	K00523: ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3	Function	2
K00525	K00525: E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain	Function	3
	lvl3: DNA repair and recombination proteins [BR:ko03400]	3	78
K00526	K00526: E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain	Function	3
K00529	K00529: hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component	Function	2
K00531	K00531: anfG; nitrogenase delta subunit	Function	2
K00537	K00537: arsC; arsenate reductase (glutaredoxin)	Function	1
K00548	K00548: metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase	Function	3
	lvl3: Selenocompound metabolism [PATH:ko00450]	3	10
K00549	K00549: metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	Function	2
	lvl3: Transfer RNA biogenesis [BR:ko03016]	3	86
K00554	K00554: trmD; tRNA (guanine37-N1)-methyltransferase	Function	1
K00557	K00557: trmA; tRNA (uracil-5-)-methyltransferase	Function	1
K00560	K00560: thyA, TYMS; thymidylate synthase	Function	3
	lvl3: Ribosome biogenesis [BR:ko03009]	3	64
K00563	K00563: rlmA1; 23S rRNA (guanine745-N1)-methyltransferase	Function	1
K00564	K00564: rsmC; 16S rRNA (guanine1207-N2)-methyltransferase	Function	1
	lvl1: Genetic Information Processing	1	211
	lvl2: Folding, sorting and degradation	2	53
	lvl3: Sulfur relay system [PATH:ko04122]	3	18
K00566	K00566: mnmA, trmU; tRNA-uridine 2-sulfurtransferase	Function	2
K00567	K00567: ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase	Function	1
K00568	K00568: ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase	Function	1
K00569	K00569: TPMT, tpmT; thiopurine S-methyltransferase	Function	1
K00573	K00573: E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase	Function	1
K00574	K00574: cfa; cyclopropane-fatty-acyl-phospholipid synthase	Function	1
K00575	K00575: cheR; chemotaxis protein methyltransferase CheR	Function	3
	lvl2: Cell motility	2	58
	lvl3: Bacterial chemotaxis [PATH:ko02030]	3	16
	lvl3: Bacterial motility proteins [BR:ko02035]	3	70
	lvl3: Phenylpropanoid biosynthesis [PATH:ko00940]	3	3
K00588	K00588: E2.1.1.104; caffeoyl-CoA O-methyltransferase	Function	3
	lvl3: Stilbenoid, diarylheptanoid and gingerol biosynthesis [PATH:ko00945]	3	1
	lvl3: Flavonoid biosynthesis [PATH:ko00941]	3	1
K00600	K00600: glyA, SHMT; glycine hydroxymethyltransferase	Function	6
	lvl3: Cyanoamino acid metabolism [PATH:ko00460]	3	3
K00602	K00602: purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	Function	4
K00604	K00604: MTFMT, fmt; methionyl-tRNA formyltransferase	Function	2
	lvl2: Translation	2	82
	lvl3: Aminoacyl-tRNA biosynthesis [PATH:ko00970]	3	25
K00605	K00605: gcvT, AMT; aminomethyltransferase	Function	3
