	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001801.1_1	QGNH01001801.1	QGNH01001801.1	1	3	98	-1	E											0	False	F
QGNH01001801.1_2	QGNH01001801.1	QGNH01001801.1	2	221	823	-1	E											0	False	F
QGNH01001801.1_3	QGNH01001801.1	QGNH01001801.1	3	936	1898	-1	E											0	False	F
QGNH01001801.1_4	QGNH01001801.1	QGNH01001801.1	4	1895	2329	-1	E											0	False	F
QGNH01001801.1_5	QGNH01001801.1	QGNH01001801.1	5	2333	2533	-1	E											0	False	F
QGNH01001801.1_6	QGNH01001801.1	QGNH01001801.1	6	2530	2694	-1	E											0	False	F
QGNH01001801.1_7	QGNH01001801.1	QGNH01001801.1	7	2691	3224	-1	E											0	False	F
QGNH01001801.1_8	QGNH01001801.1	QGNH01001801.1	8	3244	4302	-1	E											0	False	F
QGNH01001801.1_9	QGNH01001801.1	QGNH01001801.1	9	4293	4508	-1	E											0	False	F
QGNH01001801.1_10	QGNH01001801.1	QGNH01001801.1	10	4505	6922	-1	E											0	False	F
QGNH01001801.1_11	QGNH01001801.1	QGNH01001801.1	11	7188	8834	-1	D	YP_007007737.1	YP_007007737.1 terminase large subunit [Aeromonas phage vB_AsaM-56]	False	222.0	9.941e-60	0.295	Terminase RNaseH-like domain [PF17289.5]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	VF
QGNH01001801.1_12	QGNH01001801.1	QGNH01001801.1	12	8831	9469	-1	E											0	False	F
QGNH01001801.1_13	QGNH01001801.1	QGNH01001801.1	13	9436	9678	-1	E											0	False	F
QGNH01001801.1_14	QGNH01001801.1	QGNH01001801.1	14	9675	9908	-1	E											0	False	F
QGNH01001801.1_15	QGNH01001801.1	QGNH01001801.1	15	9908	10852	-1	E											0	False	F
QGNH01001801.1_16	QGNH01001801.1	QGNH01001801.1	16	10860	10964	-1	E											0	False	F
