	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001754.1_1	QGNH01001754.1	QGNH01001754.1	1	100	321	-1	E											0	False	F
QGNH01001754.1_2	QGNH01001754.1	QGNH01001754.1	2	426	1487	-1	E											0	False	F
QGNH01001754.1_3	QGNH01001754.1	QGNH01001754.1	3	1453	2763	-1	E											0	False	F
QGNH01001754.1_4	QGNH01001754.1	QGNH01001754.1	4	2760	3167	-1	D							Phage portal protein [PF04860.15]				0	False	F
QGNH01001754.1_5	QGNH01001754.1	QGNH01001754.1	5	3650	3814	1	E											0	False	F
QGNH01001754.1_6	QGNH01001754.1	QGNH01001754.1	6	4093	4908	-1	D							Protein of unknown function (DUF3037) [PF11236.11]				0	False	F
QGNH01001754.1_7	QGNH01001754.1	QGNH01001754.1	7	5077	5904	-1	D							HipA-like kinase [PF20613.1]				0	False	
QGNH01001754.1_8	QGNH01001754.1	QGNH01001754.1	8	6080	7582	-1	D	YP_009908404.1	YP_009908404.1 terminase [Stx2-converting phage Stx2a_F451]	False	135.0	1.546e-31	0.221	Terminase RNaseH-like domain [PF17289.5]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001754.1_9	QGNH01001754.1	QGNH01001754.1	9	7710	11177	-1	E											0	False	F
QGNH01001754.1_10	QGNH01001754.1	QGNH01001754.1	10	11264	11938	-1	E											0	False	F
