	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_053504_1	NC_053504	NC_053504	1	84	473	1	E			YP_010012459.1	YP_010012459.1 hypothetical protein J4T93_gp001 [Mycobacterium phage Lumos]	False	0.971	266.0	1.078e-81													VOG06178	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_053504_2	NC_053504	NC_053504	2	481	852	1	E			YP_010012460.1	YP_010012460.1 terminase small subunit [Mycobacterium phage Lumos]	False	0.933	243.0	9.994e-74													VOG08207	REFSEQ terminase small subunit; Xu	Xu	0	False	F
NC_053504_3	NC_053504	NC_053504	3	860	1048	1	E			YP_010012461.1	YP_010012461.1 hypothetical protein J4T93_gp003 [Mycobacterium phage Lumos]	False	1.0	134.0	2.898e-37													VOG01677	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_053504_4	NC_053504	NC_053504	4	1190	2755	1	D			YP_010012463.1	YP_010012463.1 terminase large subunit [Mycobacterium phage Lumos]	True	0.975	1072.0	0.0								Terminase large subunit, endonuclease domain [PF20441.1]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
NC_053504_5	NC_053504	NC_053504	5	2756	4399	1	D			YP_010012464.1	YP_010012464.1 portal protein [Mycobacterium phage Lumos]	True	0.963	1109.0	0.0								Phage portal protein, SPP1 Gp6-like [PF05133.17]					VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xr;Xp;Xs	0	False	VF
NC_053504_6	NC_053504	NC_053504	6	4416	5486	1	E			YP_010012465.1	YP_010012465.1 head maturation protease [Mycobacterium phage Lumos]	True	0.936	700.0	1.098e-227													VOG00912	sp|O64208|VG15_BPMD2 Gene 15 protein; Xu	Xu	0	False	F
NC_053504_7	NC_053504	NC_053504	7	5542	6141	1	D			YP_010012466.1	YP_010012466.1 head scaffolding protein [Mycobacterium phage Lumos]	True	0.899	375.0	4.498e-118								Domain of unknown function (DUF4355) [PF14265.9]								0	False	
NC_053504_8	NC_053504	NC_053504	8	6200	7360	1	D			YP_010012467.1	YP_010012467.1 major head protein [Mycobacterium phage Lumos]	True	0.926	750.0	3.492e-244								P22 coat protein - gene protein 5 [PF11651.11]					VOG00529	sp|P19727|CAPSB_BPT7 Minor capsid protein; XrXs	Xr;Xs	0	False	V
NC_053504_9	NC_053504	NC_053504	9	7371	7847	1	E			YP_010012468.1	YP_010012468.1 head-tail adaptor Ad1 [Mycobacterium phage Lumos]	False	0.972	326.0	8.615e-102													VOG00419	sp|Q05225|VG19_BPML5 Gene 19 protein; Xu	Xu	0	False	
NC_053504_10	NC_053504	NC_053504	10	7844	8182	1	E			YP_010012469.1	YP_010012469.1 head-tail adaptor [Mycobacterium phage Lumos]	False	1.0	241.0	3.896e-73													VOG02016	REFSEQ head-tail adaptor; Xu	Xu	0	False	
NC_053504_11	NC_053504	NC_053504	11	8182	8598	1	E			YP_010012470.1	YP_010012470.1 head-tail connector protein [Mycobacterium phage Lumos]	False	0.988	290.0	9.844e-90													VOG08208	REFSEQ head-tail connector protein; Xu	Xu	0	False	
NC_053504_12	NC_053504	NC_053504	12	8608	9093	1	E			YP_009197008.1	YP_009197008.1 tail terminator [Mycobacterium phage Snenia]	False	1.0	348.0	1.531e-109													VOG00096	sp|O64216|VG22_BPMD2 Gene 22 protein; Xu	Xu	0	False	
NC_053504_13	NC_053504	NC_053504	13	9123	10025	1	D			YP_009197009.1	YP_009197009.1 major tail protein [Mycobacterium phage Snenia]	True	0.948	599.0	8.712000000000001e-194								Bacterial Ig-like domain (group 2) [PF02368.21]					VOG00135	sp|Q05229|VG23_BPML5 Major tail protein Gp23; Xs	Xs	0	False	V
NC_053504_14	NC_053504	NC_053504	14	10124	10399	1	E			YP_009197010.1	YP_009197010.1 tail assembly chaperone [Mycobacterium phage Snenia]	False	0.967	188.0	3.447e-55																0	False	
NC_053504_15	NC_053504	NC_053504	15	10431	10946	1	E			YP_009197011.1	YP_009197011.1 tail assembly chaperone [Mycobacterium phage Snenia]	True	1.0	371.0	3.815e-117													VOG00515	sp|O64219|TAP25_BPMD2 Tail assembly protein Gp25; XrXs	Xr;Xs	0	False	V
NC_053504_16	NC_053504	NC_053504	16	10975	16398	1	E			YP_010012475.1	YP_010012475.1 tail length tape measure protein [Mycobacterium phage Lumos]	True	0.927	3504.0	0.0													VOG06223	REFSEQ tail length tape measure protein; Xu	Xu	0	False	
NC_053504_17	NC_053504	NC_053504	17	16487	17377	1	E			YP_009197013.1	YP_009197013.1 minor tail protein [Mycobacterium phage Snenia]	True	1.0	642.0	1.185e-208																0	False	
NC_053504_18	NC_053504	NC_053504	18	17370	19133	1	E			YP_009197014.1	YP_009197014.1 minor tail protein [Mycobacterium phage Snenia]	True	0.995	1235.0	0.0													VOG02068	sp|Q05235|VG28_BPML5 Minor tail protein Gp28; Xu	Xu	0	False	
NC_053504_19	NC_053504	NC_053504	19	19272	19721	1	D			YP_009197015.1	YP_009197015.1 minor tail protein [Mycobacterium phage Snenia]	False	0.956	302.0	1.288e-93								Protein of unknown function (DUF2744) [PF10910.11]					VOG01373	sp|O64223|VG29_BPMD2 Gene 29 protein; Xu	Xu	0	False	
