	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_028660_NC_028660_1	NC_028660	NC_028660	1	2	1585	-1	E															0
NC_028660_NC_028660_2	NC_028660	NC_028660	2	1566	2372	-1	E															0
NC_028660_NC_028660_3	NC_028660	NC_028660	3	2665	3216	-1	D										Phage regulatory protein Rha (Phage_pRha) [PF09669.13]; ORF11CD3 domain [PF10549.12]					0
NC_028660_NC_028660_4	NC_028660	NC_028660	4	3419	3847	-1	C	K14744	prophage endopeptidase [EC:3.4.-.-]	MER0001304	X19	MER0001304 - murein endopeptidase (bacteriophage) () [X19.001]#X19#{peptidase unit: 1-153}~source ENPP_LAMBD~	False	0.455	119.0	6.975e-30	Bacteriophage Rz lysis protein [PF03245.16]					0
NC_028660_NC_028660_5	NC_028660	NC_028660	5	3859	3993	-1	E															0
NC_028660_NC_028660_6	NC_028660	NC_028660	6	4008	4577	-1	D										P22_AR N-terminal domain [PF10547.12]; ORF11CD3 domain [PF10549.12]					0
NC_028660_NC_028660_7	NC_028660	NC_028660	7	4850	5383	-1	C	K01185	lysozyme [EC:3.2.1.17]								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_028660_NC_028660_8	NC_028660	NC_028660	8	5388	5603	-1	D										Bacteriophage P21 holin S [PF04971.15]					0
NC_028660_NC_028660_9	NC_028660	NC_028660	9	5681	5926	-1	D										Protein of unknown function (DUF826) [PF05696.14]					0
NC_028660_NC_028660_10	NC_028660	NC_028660	10	6283	6828	-1	D										Family of unknown function (DUF6645) [PF20350.1]					0
NC_028660_NC_028660_11	NC_028660	NC_028660	11	6833	8218	-1	D										Carbohydrate esterase, sialic acid-specific acetylesterase [PF03629.21]; Domain of unknown function (DUF1737) [PF08410.13]					0
NC_028660_NC_028660_12	NC_028660	NC_028660	12	8705	8974	-1	C	K11007	shiga toxin subunit B								Shiga-like toxin beta subunit [PF02258.19]					0
NC_028660_NC_028660_13	NC_028660	NC_028660	13	8986	9945	-1	C	K11006	shiga toxin subunit A								Ribosome inactivating protein [PF00161.22]					0
NC_028660_NC_028660_14	NC_028660	NC_028660	14	10730	11182	-1	D										Phage antitermination protein Q [PF06530.15]					0
NC_028660_NC_028660_15	NC_028660	NC_028660	15	11173	11355	-1	D										Phage NinH protein [PF06322.14]					0
NC_028660_NC_028660_16	NC_028660	NC_028660	16	11352	11702	-1	D										Bacteriophage Lambda NinG protein [PF05766.15]					0
NC_028660_NC_028660_17	NC_028660	NC_028660	17	11719	11922	-1	D										Bacteriophage Lambda NinG protein [PF05766.15]					0
NC_028660_NC_028660_18	NC_028660	NC_028660	18	11930	12379	-1	D										Protein of unknown function (DUF1367) [PF07105.14]					0
NC_028660_NC_028660_19	NC_028660	NC_028660	19	12530	13351	-1	D										Toprim domain [PF13362.9]; Zinc-binding domain of primase-helicase [PF08273.15]					0
