	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_028796_NC_028796_1	NC_028796	NC_028796	1	55	432	1	E											0
NC_028796_NC_028796_2	NC_028796	NC_028796	2	401	2080	1	D										Terminase large subunit, ATPase domain [PF03354.18]; Terminase large subunit, endonuclease domain [PF20441.1]	0
NC_028796_NC_028796_3	NC_028796	NC_028796	3	2097	3524	1	D										Protein of unknown function (DUF935) [PF06074.15]	0
NC_028796_NC_028796_4	NC_028796	NC_028796	4	3515	4858	1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	MER1015658	S14	MER1015658 - family S14 non-peptidase homologues () [S14.UNW]#S14#{peptidase unit: 86-221}~source W0LIJ6~	False	262.0	1.842e-74	0.915	Clp protease [PF00574.26]; Serine dehydrogenase proteinase [PF01972.19]	0
NC_028796_NC_028796_5	NC_028796	NC_028796	5	4861	5226	1	D										Uncharacterized conserved protein (DUF2190) [PF09956.12]	0
NC_028796_NC_028796_6	NC_028796	NC_028796	6	5268	6224	1	E											0
NC_028796_NC_028796_7	NC_028796	NC_028796	7	6224	6577	1	E											0
NC_028796_NC_028796_8	NC_028796	NC_028796	8	6581	6943	1	E											0
NC_028796_NC_028796_9	NC_028796	NC_028796	9	6943	7293	1	E											0
NC_028796_NC_028796_10	NC_028796	NC_028796	10	7308	7601	1	E											0
NC_028796_NC_028796_11	NC_028796	NC_028796	11	7601	7975	1	E											0
NC_028796_NC_028796_12	NC_028796	NC_028796	12	7972	8409	1	E											0
NC_028796_NC_028796_13	NC_028796	NC_028796	13	8501	9499	1	E											0
NC_028796_NC_028796_14	NC_028796	NC_028796	14	9613	10200	1	E											0
NC_028796_NC_028796_15	NC_028796	NC_028796	15	10301	10519	1	E											0
NC_028796_NC_028796_16	NC_028796	NC_028796	16	10531	14337	1	D										Transglycosylase-like domain [PF06737.17]; Phage-related minor tail protein [PF10145.12]	0
NC_028796_NC_028796_17	NC_028796	NC_028796	17	14334	16079	1	E											0
NC_028796_NC_028796_18	NC_028796	NC_028796	18	16079	17815	1	E											0
NC_028796_NC_028796_19	NC_028796	NC_028796	19	17840	18733	1	E											0
NC_028796_NC_028796_20	NC_028796	NC_028796	20	18734	21115	1	E											0
NC_028796_NC_028796_21	NC_028796	NC_028796	21	21124	21447	1	E											0
NC_028796_NC_028796_22	NC_028796	NC_028796	22	21448	22485	1	E											0
NC_028796_NC_028796_23	NC_028796	NC_028796	23	22513	23016	1	E											0
NC_028796_NC_028796_24	NC_028796	NC_028796	24	23074	23436	1	E											0
NC_028796_NC_028796_25	NC_028796	NC_028796	25	23436	23615	1	E											0
NC_028796_NC_028796_26	NC_028796	NC_028796	26	23684	24628	1	D										D-alanyl-D-alanine carboxypeptidase [PF13539.9]; Putative peptidoglycan binding domain [PF01471.21]	0
NC_028796_NC_028796_27	NC_028796	NC_028796	27	24625	25836	1	E											0
NC_028796_NC_028796_28	NC_028796	NC_028796	28	26051	26269	1	E											0
NC_028796_NC_028796_29	NC_028796	NC_028796	29	26266	26739	1	E											0
NC_028796_NC_028796_30	NC_028796	NC_028796	30	26736	27137	1	E											0
NC_028796_NC_028796_31	NC_028796	NC_028796	31	27137	27232	1	E											0
NC_028796_NC_028796_32	NC_028796	NC_028796	32	27306	27914	-1	D										Protein of unknown function (DUF732) [PF05305.17]	0
NC_028796_NC_028796_33	NC_028796	NC_028796	33	27957	28847	-1	D										Phage integrase family [PF00589.25]	0
NC_028796_NC_028796_34	NC_028796	NC_028796	34	28987	29388	-1	D										Bacteriophage CI repressor helix-turn-helix domain [PF07022.16]; Helix-turn-helix domain [PF13560.9]	0
