	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001446.1_1	QGNH01001446.1	QGNH01001446.1	1	1	195	1	E													0	False	F
QGNH01001446.1_2	QGNH01001446.1	QGNH01001446.1	2	491	769	1	E													0	False	F
QGNH01001446.1_3	QGNH01001446.1	QGNH01001446.1	3	770	934	1	E													0	False	F
QGNH01001446.1_4	QGNH01001446.1	QGNH01001446.1	4	1051	1218	1	E													0	False	F
QGNH01001446.1_5	QGNH01001446.1	QGNH01001446.1	5	1296	1643	1	E													0	False	F
QGNH01001446.1_6	QGNH01001446.1	QGNH01001446.1	6	1647	1925	1	E													0	False	F
QGNH01001446.1_7	QGNH01001446.1	QGNH01001446.1	7	1918	2409	1	E													0	False	F
QGNH01001446.1_8	QGNH01001446.1	QGNH01001446.1	8	2419	3441	1	E													0	False	F
QGNH01001446.1_9	QGNH01001446.1	QGNH01001446.1	9	3441	3665	1	E													0	False	F
QGNH01001446.1_10	QGNH01001446.1	QGNH01001446.1	10	3662	4564	1	C	K06909	phage terminase large subunit							Phage terminase large subunit [PF04466.16]				0	False	F
QGNH01001446.1_11	QGNH01001446.1	QGNH01001446.1	11	4684	5139	1	E													0	False	F
QGNH01001446.1_12	QGNH01001446.1	QGNH01001446.1	12	5114	5398	1	E													0	False	
QGNH01001446.1_13	QGNH01001446.1	QGNH01001446.1	13	5388	7292	1	E													0	False	
QGNH01001446.1_14	QGNH01001446.1	QGNH01001446.1	14	7318	7545	1	E													0	False	
QGNH01001446.1_15	QGNH01001446.1	QGNH01001446.1	15	7545	7754	1	E													0	False	
QGNH01001446.1_16	QGNH01001446.1	QGNH01001446.1	16	7729	10155	1	E													0	False	
QGNH01001446.1_17	QGNH01001446.1	QGNH01001446.1	17	10171	10614	1	E													0	False	
QGNH01001446.1_18	QGNH01001446.1	QGNH01001446.1	18	10614	10802	1	E													0	False	
QGNH01001446.1_19	QGNH01001446.1	QGNH01001446.1	19	10799	11029	1	E													0	False	
QGNH01001446.1_20	QGNH01001446.1	QGNH01001446.1	20	11071	11829	1	E													0	False	
QGNH01001446.1_21	QGNH01001446.1	QGNH01001446.1	21	11839	12099	1	E													0	False	
QGNH01001446.1_22	QGNH01001446.1	QGNH01001446.1	22	12176	13318	1	E			NP_203462.1	NP_203462.1 major head protein [Myxococcus phage Mx8]	False	63.0	2.973e-09	0.185		VOG11300	REFSEQ major head protein; Xu	Xu	0	False	
QGNH01001446.1_23	QGNH01001446.1	QGNH01001446.1	23	13318	13947	1	E													0	False	
QGNH01001446.1_24	QGNH01001446.1	QGNH01001446.1	24	14019	14807	1	E													0	False	
QGNH01001446.1_25	QGNH01001446.1	QGNH01001446.1	25	14791	15333	1	D									Methyltransferase domain [PF13489.9]				0	False	
QGNH01001446.1_26	QGNH01001446.1	QGNH01001446.1	26	15330	15665	1	E													0	False	
QGNH01001446.1_27	QGNH01001446.1	QGNH01001446.1	27	15662	16636	1	E													0	False	
QGNH01001446.1_28	QGNH01001446.1	QGNH01001446.1	28	16654	17340	1	E													0	False	
QGNH01001446.1_29	QGNH01001446.1	QGNH01001446.1	29	17347	20328	1	E													0	False	F
QGNH01001446.1_30	QGNH01001446.1	QGNH01001446.1	30	20334	20888	1	E													0	False	F
QGNH01001446.1_31	QGNH01001446.1	QGNH01001446.1	31	20888	21613	1	E													0	False	F
QGNH01001446.1_32	QGNH01001446.1	QGNH01001446.1	32	21613	23055	1	E													0	False	F
QGNH01001446.1_33	QGNH01001446.1	QGNH01001446.1	33	23055	24152	1	E													0	False	F
QGNH01001446.1_34	QGNH01001446.1	QGNH01001446.1	34	24253	24393	-1	E													0	False	F
QGNH01001446.1_35	QGNH01001446.1	QGNH01001446.1	35	24390	25043	-1	D									Protein of unknown function (DUF3987) [PF13148.9]				0	False	F
