	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000075.1_1	QGNH01000075.1	QGNH01000075.1	1	50	292	-1	E													0	False	F
QGNH01000075.1_2	QGNH01000075.1	QGNH01000075.1	2	408	662	-1	E													0	False	F
QGNH01000075.1_3	QGNH01000075.1	QGNH01000075.1	3	736	1263	-1	E													0	False	F
QGNH01000075.1_4	QGNH01000075.1	QGNH01000075.1	4	1260	1736	-1	C	K07458	DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]							REase_MTES_1575 [PF18741.4]; Protein of unknown function (DUF559) [PF04480.15]				0	False	F
QGNH01000075.1_5	QGNH01000075.1	QGNH01000075.1	5	1742	2521	-1	E													0	False	F
QGNH01000075.1_6	QGNH01000075.1	QGNH01000075.1	6	2523	3761	-1	E													0	False	F
QGNH01000075.1_7	QGNH01000075.1	QGNH01000075.1	7	3774	5255	-1	E													0	False	F
QGNH01000075.1_8	QGNH01000075.1	QGNH01000075.1	8	5248	7227	-1	E													0	False	
QGNH01000075.1_9	QGNH01000075.1	QGNH01000075.1	9	7232	7756	-1	E													0	False	
QGNH01000075.1_10	QGNH01000075.1	QGNH01000075.1	10	7757	9292	-1	E			YP_001429655.1	YP_001429655.1 virion structural protein [Bacillus phage 0305phi8-36]	False	68.0	1.414e-10	0.334					0	False	
QGNH01000075.1_11	QGNH01000075.1	QGNH01000075.1	11	9292	10734	-1	E													0	False	
QGNH01000075.1_12	QGNH01000075.1	QGNH01000075.1	12	10762	13422	-1	E													0	False	F
QGNH01000075.1_13	QGNH01000075.1	QGNH01000075.1	13	13429	14049	-1	E													0	False	F
QGNH01000075.1_14	QGNH01000075.1	QGNH01000075.1	14	14052	15659	-1	D									Phage integrase family [PF00589.25]				0	False	F
QGNH01000075.1_15	QGNH01000075.1	QGNH01000075.1	15	15847	16449	-1	E													0	False	F
