GCA_014297435.1 s__PL-Br10-U2g16 sp014297435
GCA_020056025.1 s__JAGVIO01 sp020056025
GCF_000217995.1 s__Methanosalsum zhilinae
GCA_021654395.1 s__ARM-1 sp021654395
GCA_902763685.1 s__Methanomethylophilus sp902763685
GCF_021184045.1 s__Methanococcoides orientis
GCA_902771225.1 s__Methanobrevibacter_A sp900319535
GCA_003663225.1 s__QMZP01 sp003663225
GCF_000147875.1 s__Methanolacinia petrolearia
GCA_022758935.1 s__Nitrosarchaeum sp022758935
GCA_016783545.1 s__BS750m-G24 sp016783545
GCA_021792045.1 s__JAKAYB01 sp021792045
GCF_900116205.1 s__Halostagnicola kamekurae
GCA_002779595.1 s__CG07-land sp002779595
GCA_002010195.1 s__Archaeoglobus_A sp002010195
GCF_020614375.1 s__Haladaptatus sp020614375
GCA_003158115.1 s__Methanobacterium_B sp003158115
GCA_023474385.1 s__JAMCYB01 sp023474385
GCA_002687075.1 s__MGIIa-L1 sp002687075
GCA_003141335.1 s__Methanoregula sp003141335
GCA_902782945.1 s__Methanosphaera sp900322125
GCA_003551125.1 s__B1Sed10-29 sp003551125
GCA_008297865.1 s__VBQI01 sp008297865
GCA_023254365.1 s__Poseidonia sp023254365
GCF_013267195.1 s__Halorubrum salinarum
GCA_021157445.1 s__Thermococcus_A sp021157445
GCA_001875425.1 s__UBA102 sp001875425
GCA_013390745.1 s__Nitrosopelagicus sp013390745
GCA_002497905.1 s__MGIIb-N2 sp002497905
GCA_016200025.1 s__UBA183 sp016200025
GCA_902384935.1 s__Norongarragalina meridionalis
GCA_003021755.1 s__Halomicroarcula sp003021755
GCA_002254385.1 s__EX4484-6 sp002254385
GCA_023955635.1 s__Methanosarcina barkeri_C
GCA_023487205.1 s__JAMDBT01 sp023487205
GCA_016931175.1 s__CG07-land sp016931175
GCA_016215465.1 s__Nitrosotenuis sp016215465
GCA_015523125.1 s__JAADDK01 sp015523125
GCA_003662995.1 s__B5-G16 sp003662995
GCA_002697705.1 s__MGIIa-L1 sp002697705
GCA_002495235.1 s__UBA287 sp002495235
GCA_004347865.1 s__WYZ-LMO2 sp004347865
GCA_016933095.1 s__SM23-78 sp016933095
GCA_016203305.1 s__SURF-65 sp016203305
GCA_016187745.1 s__JACPJC01 sp016187745
GCA_023266955.1 s__JAHFOH01 sp023266955
GCA_021785735.1 s__JAKAFX01 sp021785735
GCA_006954405.1 s__Methanarcanum hacksteinii
GCA_017601345.1 s__JAAOZP01 sp017601345
GCA_002839545.1 s__Methanoperedens_A sp002839545
GCA_016180665.1 s__JACPAS01 sp016180665
GCA_016177025.1 s__JACOWB01 sp016177025
GCF_004102725.1 s__Methanoculleus_A taiwanensis
GCA_021806345.1 s__Cuniculiplasma sp021806345
GCF_002025255.2 s__Halolamina sp002025255
