	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000871.1_1	QGNH01000871.1	QGNH01000871.1	1	3	260	1	E																		0	False	F
QGNH01000871.1_2	QGNH01000871.1	QGNH01000871.1	2	244	1320	1	E																		0	False	F
QGNH01000871.1_3	QGNH01000871.1	QGNH01000871.1	3	1317	1847	1	E																		0	False	F
QGNH01000871.1_4	QGNH01000871.1	QGNH01000871.1	4	1805	2632	1	E																		0	False	F
QGNH01000871.1_5	QGNH01000871.1	QGNH01000871.1	5	2736	4496	1	D	YP_010114608.1	YP_010114608.1 terminase large subunit [Flavobacterium phage vB_FspM_immuto_2-6A]	False	0.31	248.0	4.801e-68								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase large subunit, ATPase domain [PF03354.18]	VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xh;Xr	0	False	VF
QGNH01000871.1_6	QGNH01000871.1	QGNH01000871.1	6	4550	7879	1	D	YP_010114609.1	YP_010114609.1 capsid assembly protein [Flavobacterium phage vB_FspM_immuto_2-6A]	False	0.415	202.0	8.962999999999999e-51	MER0194189	N10	MER0194189 - family N10 unassigned peptide lyases (Synechocystis sp. PCC6803) [N10.UPW]#N10#{peptidase unit: 437-618, 822-872}~source BAA17720~	False	0.382	125.0	3.597e-27	Bacteriophage T4-like portal protein (Gp20) [PF07230.14]; Intein splicing domain [PF14890.9]; Pretoxin HINT domain [PF07591.14]	VOG00778	sp|E1XTG6|PORTL_BPSAV Portal protein; XhXpXrXs	Xh;Xp;Xs;Xr	0	False	VF
QGNH01000871.1_7	QGNH01000871.1	QGNH01000871.1	7	7923	8696	1	E																		0	False	
QGNH01000871.1_8	QGNH01000871.1	QGNH01000871.1	8	8718	8951	1	E																		0	False	
QGNH01000871.1_9	QGNH01000871.1	QGNH01000871.1	9	8953	9291	1	E																		0	False	
QGNH01000871.1_10	QGNH01000871.1	QGNH01000871.1	10	9385	9828	1	E																		0	False	
QGNH01000871.1_11	QGNH01000871.1	QGNH01000871.1	11	9907	10629	1	D	YP_010114613.1	YP_010114613.1 prohead core protein serine protease [Flavobacterium phage vB_FspM_immuto_2-6A]	False	0.436	114.0	4.153e-27	MER1151973	S77	MER1151973 - family S77 (general) (Wuchereria bancrofti) [S77.UPW]#S77#{peptidase unit: 3-146}~source WBA_0000940501~	False	0.449	122.0	1.551e-29	Prohead core protein serine protease [PF03420.16]				0	False	P
QGNH01000871.1_12	QGNH01000871.1	QGNH01000871.1	12	10739	11986	1	E																		0	False	F
QGNH01000871.1_13	QGNH01000871.1	QGNH01000871.1	13	12003	13883	1	D	YP_010114617.1	YP_010114617.1 major capsid protein [Flavobacterium phage vB_FspM_immuto_2-6A]	False	0.265	223.0	2.223e-59								Major capsid protein Gp23 [PF07068.14]	VOG00452	sp|P04535|CAPSH_BPT4 Major capsid protein; XhXs	Xh;Xs	0	False	VF
QGNH01000871.1_14	QGNH01000871.1	QGNH01000871.1	14	14051	15793	1	E	YP_009664235.1	YP_009664235.1 homing endonuclease [Bacillus phage PBS1]	False	0.404	258.0	1.4810000000000002e-71									VOG00102	REFSEQ homing endonuclease; Xu	Xu	0	False	F
QGNH01000871.1_15	QGNH01000871.1	QGNH01000871.1	15	15892	16113	1	E																		0	False	F
