Target Name	ID	EC value	E-Value (sequence)	Score (domain)
CP001157.1_872116_873405_-	COG0001		8.3e-246	815.7
CP001157.1_4682057_4683091_-	COG0002		6.7e-152	502.4
CP001157.1_4846081_4847397_-	COG0004		8e-179	592.2
CP001157.1_1434607_1435344_+	COG0005		4.2e-92	306.2
CP001157.1_4807301_4808635_-	COG0006		1.1e-122	407.0
CP001157.1_2329960_2330697_-	COG0007		2.6e-109	363.7
CP001157.1_1999742_2001223_+	COG0008		1e-167	556.8
CP001157.1_2353884_2355551_+	COG0008		1.3e-119	397.9
CP001157.1_4297587_4298483_+	COG0008		2.6e-101	336.7
CP001157.1_1535779_1536348_+	COG0009		4.2e-75	250.9
CP001157.1_22722_23279_+	COG0009		1.3e-70	235.9
CP001157.1_4189118_4190218_+	COG0012		2e-180	596.3
CP001157.1_3519549_3522173_-	COG0013		0	1321.1
CP001157.1_792525_793790_+	COG0014		3.2e-209	692.7
CP001157.1_2122461_2123819_-	COG0015		4.8e-163	540.7
CP001157.1_3864073_3865425_-	COG0015		1.1e-155	515.7
CP001157.1_2922224_2923594_+	COG0015		5.3e-152	504.3
CP001157.1_2037568_2038584_+	COG0016		2.7e-176	584.7
CP001157.1_4605050_4606846_+	COG0018		3.2e-198	656.6
CP001157.1_4839780_4841027_+	COG0019		3.3e-179	593.2
CP001157.1_1195702_1196865_+	COG0019		1.6e-113	377.2
CP001157.1_876759_877943_-	COG0019		4.1e-74	247.2
CP001157.1_3942211_3942966_-	COG0020		3.2e-129	428.7
CP001157.1_535100_537097_+	COG0021		0	1126.5
CP001157.1_2213022_2215052_+	COG0021		0	1111.3
CP001157.1_2806765_2808795_-	COG0021		0	1091.7
CP001157.1_4207051_4208070_+	COG0022		6.1e-167	553.9
CP001157.1_1025934_1026920_+	COG0022		3.7e-158	525.6
CP001157.1_4692714_4693685_-	COG0022		3e-145	482.2
CP001157.1_668227_668598_+	COG0023		1.6e-42	142.3
CP001157.1_3946593_3947375_+	COG0024		4.8e-138	456.2
CP001157.1_3951395_3953032_-	COG0025		3.1e-147	488.7
CP001157.1_3287924_3289195_+	COG0025		1.3e-115	384.9
CP001157.1_121234_122319_+	COG0026		5.8e-150	497.0
CP001157.1_4008402_4009583_-	COG0027		2.2e-220	728.5
CP001157.1_4283900_4285741_-	COG0028		2.8e-241	799.0
CP001157.1_804043_806127_+	COG0028		1.1e-172	572.8
CP001157.1_1328583_1330199_-	COG0029		6.2e-264	875.0
