	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_007497_NC_007497_1	NC_007497	NC_007497	1	123	512	-1	E															0
NC_007497_NC_007497_2	NC_007497	NC_007497	2	730	1320	-1	E															0
NC_007497_NC_007497_3	NC_007497	NC_007497	3	1366	1614	-1	E															0
NC_007497_NC_007497_4	NC_007497	NC_007497	4	1611	1949	-1	E															0
NC_007497_NC_007497_5	NC_007497	NC_007497	5	1946	2389	-1	D										Putative nuclease YbcO [PF07102.15]					1
NC_007497_NC_007497_6	NC_007497	NC_007497	6	2386	2967	-1	D										Bacterial regulatory protein, arsR family [PF01022.23]					0
NC_007497_NC_007497_7	NC_007497	NC_007497	7	2964	3434	-1	E															0
NC_007497_NC_007497_8	NC_007497	NC_007497	8	3434	3997	-1	D										Protein of unknown function (DUF1064) [PF06356.14]; Phage endonuclease I [PF05367.14]					0
NC_007497_NC_007497_9	NC_007497	NC_007497	9	3994	4170	-1	E															0
NC_007497_NC_007497_10	NC_007497	NC_007497	10	4167	4814	-1	D										Domain of unknown function (DUF6475) [PF20081.2]					0
NC_007497_NC_007497_11	NC_007497	NC_007497	11	4811	5617	-1	D										Helix-turn-helix domain [PF13730.9]					0
NC_007497_NC_007497_12	NC_007497	NC_007497	12	5614	5712	-1	E															0
NC_007497_NC_007497_13	NC_007497	NC_007497	13	5723	5899	-1	E															0
NC_007497_NC_007497_14	NC_007497	NC_007497	14	5899	6345	-1	D										Phage regulatory protein CII (CP76) [PF06892.14]					0
NC_007497_NC_007497_15	NC_007497	NC_007497	15	6534	6770	1	E															0
NC_007497_NC_007497_16	NC_007497	NC_007497	16	6813	7004	-1	E															0
NC_007497_NC_007497_17	NC_007497	NC_007497	17	7050	7388	-1	E															0
NC_007497_NC_007497_18	NC_007497	NC_007497	18	7463	7834	1	D										Hypothetical protein (DUF2513) [PF10711.12]					0
NC_007497_NC_007497_19	NC_007497	NC_007497	19	7766	8080	-1	E															0
NC_007497_NC_007497_20	NC_007497	NC_007497	20	8347	8814	1	D										Bacteriophage CI repressor helix-turn-helix domain [PF07022.16]; Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Cro/C1-type HTH DNA-binding domain [PF13443.9]					0
NC_007497_NC_007497_21	NC_007497	NC_007497	21	8750	9082	-1	E															0
NC_007497_NC_007497_22	NC_007497	NC_007497	22	9420	9956	1	E															0
NC_007497_NC_007497_23	NC_007497	NC_007497	23	9980	10147	1	E															0
NC_007497_NC_007497_24	NC_007497	NC_007497	24	10367	10705	-1	E															0
NC_007497_NC_007497_25	NC_007497	NC_007497	25	10946	11359	1	E															0
NC_007497_NC_007497_26	NC_007497	NC_007497	26	11989	12165	1	E															0
NC_007497_NC_007497_27	NC_007497	NC_007497	27	12275	12616	-1	E															0
NC_007497_NC_007497_28	NC_007497	NC_007497	28	13277	14023	1	E															0
NC_007497_NC_007497_29	NC_007497	NC_007497	29	14052	14396	1	E															0
NC_007497_NC_007497_30	NC_007497	NC_007497	30	14444	14719	1	E															0
NC_007497_NC_007497_31	NC_007497	NC_007497	31	14716	15033	1	E															0
NC_007497_NC_007497_32	NC_007497	NC_007497	32	15033	15347	1	E															0
NC_007497_NC_007497_33	NC_007497	NC_007497	33	15347	15568	1	E															0
NC_007497_NC_007497_34	NC_007497	NC_007497	34	15556	15678	1	E															0
NC_007497_NC_007497_35	NC_007497	NC_007497	35	15918	16397	1	D										DNA N-6-adenine-methyltransferase (Dam) [PF05869.14]					0
NC_007497_NC_007497_36	NC_007497	NC_007497	36	16416	16766	1	E															0
NC_007497_NC_007497_37	NC_007497	NC_007497	37	16763	17947	1	E															0
NC_007497_NC_007497_38	NC_007497	NC_007497	38	17944	18483	1	D										HNH endonuclease [PF13392.9]; NUMOD4 motif [PF07463.14]					0
NC_007497_NC_007497_39	NC_007497	NC_007497	39	18502	18762	1	E															0
NC_007497_NC_007497_40	NC_007497	NC_007497	40	18763	19206	1	E															0
NC_007497_NC_007497_41	NC_007497	NC_007497	41	19203	19622	1	E															0
NC_007497_NC_007497_42	NC_007497	NC_007497	42	19619	19765	1	E															0
NC_007497_NC_007497_43	NC_007497	NC_007497	43	19762	20049	1	E															0
NC_007497_NC_007497_44	NC_007497	NC_007497	44	20206	21888	1	C	K06400	site-specific DNA recombinase								Recombinase [PF07508.16]					0
NC_007497_NC_007497_45	NC_007497	NC_007497	45	21898	22098	-1	E															0
NC_007497_NC_007497_46	NC_007497	NC_007497	46	22172	23038	-1	E															0
NC_007497_NC_007497_47	NC_007497	NC_007497	47	23101	23607	-1	D										Protein of unknown function (DUF2514) [PF10721.12]					0
NC_007497_NC_007497_48	NC_007497	NC_007497	48	23589	24086	-1	C	K01185	lysozyme [EC:3.2.1.17]								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_007497_NC_007497_49	NC_007497	NC_007497	49	24079	24318	-1	D										Bacteriophage holin family, superfamily II-like [PF16082.8]; Bacteriophage holin family HP1 [PF16080.8]					0
NC_007497_NC_007497_50	NC_007497	NC_007497	50	24332	25048	-1	E															0
NC_007497_NC_007497_51	NC_007497	NC_007497	51	25048	25356	-1	E															0
NC_007497_NC_007497_52	NC_007497	NC_007497	52	25356	28658	-1	D										Domain of unknown function (DUF1983) [PF09327.14]; Putative phage tail protein [PF13550.9]					0
NC_007497_NC_007497_53	NC_007497	NC_007497	53	28655	29218	-1	D										Bacteriophage lambda tail assembly protein I [PF06805.15]					0
NC_007497_NC_007497_54	NC_007497	NC_007497	54	29215	29967	-1	D			MER0171932	C40	MER0171932 - family C40 unassigned peptidases () [C40.UPW]#C40#{peptidase unit: 123-219}~source YP_355399~	False	1.0	217.0	5.631e-62	Prokaryotic homologs of the JAB domain [PF14464.9]; NlpC/P60 family [PF00877.22]					0
NC_007497_NC_007497_55	NC_007497	NC_007497	55	30016	30699	-1	D										Phage minor tail protein L [PF05100.15]					0
NC_007497_NC_007497_56	NC_007497	NC_007497	56	30742	31749	-1	E															0
NC_007497_NC_007497_57	NC_007497	NC_007497	57	31758	32096	-1	D										Phage minor tail protein [PF05939.16]					0
NC_007497_NC_007497_58	NC_007497	NC_007497	58	32096	36238	-1	C	K21449	trimeric autotransporter adhesin								Tape measure protein [PF20155.2]; Lambda phage tail tape-measure protein (Tape_meas_lam_C) [PF09718.13]					0
