	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001277.1_1	QGNH01001277.1	QGNH01001277.1	1	1	213	-1	E																				0	False	F
QGNH01001277.1_2	QGNH01001277.1	QGNH01001277.1	2	215	634	-1	E																				0	False	F
QGNH01001277.1_3	QGNH01001277.1	QGNH01001277.1	3	757	1008	1	C	K06218	mRNA interferase RelE/StbE																		0	False	F
QGNH01001277.1_4	QGNH01001277.1	QGNH01001277.1	4	1010	1396	1	D																Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Cro/C1-type HTH DNA-binding domain [PF13443.9]				0	False	F
QGNH01001277.1_5	QGNH01001277.1	QGNH01001277.1	5	1413	2087	-1	D																Lipase (class 3) [PF01764.28]				0	False	F
QGNH01001277.1_6	QGNH01001277.1	QGNH01001277.1	6	2094	2735	-1	E																				0	False	F
QGNH01001277.1_7	QGNH01001277.1	QGNH01001277.1	7	2857	3159	-1	E			YP_010671071.1	YP_010671071.1 hypothetical protein PQC16_gp355 [Rhizobium phage RHph_TM30]	False	0.84	143.0	1.778e-39									VOG33514	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001277.1_8	QGNH01001277.1	QGNH01001277.1	8	3229	4086	-1	D			YP_009788281.1	YP_009788281.1 endolysin [Streptomyces phage Raleigh]	False	0.243	71.0	3.788e-12								Putative peptidoglycan binding domain [PF01471.21]				0	False	F
QGNH01001277.1_9	QGNH01001277.1	QGNH01001277.1	9	4083	4205	-1	E																				0	False	F
QGNH01001277.1_10	QGNH01001277.1	QGNH01001277.1	10	4213	4734	-1	D																CHAP domain [PF05257.19]				0	False	F
QGNH01001277.1_11	QGNH01001277.1	QGNH01001277.1	11	4873	5013	1	E																				0	False	F
QGNH01001277.1_12	QGNH01001277.1	QGNH01001277.1	12	5015	5440	-1	E																				0	False	
QGNH01001277.1_13	QGNH01001277.1	QGNH01001277.1	13	5437	6585	-1	E																				0	False	
QGNH01001277.1_14	QGNH01001277.1	QGNH01001277.1	14	6601	7227	-1	E																				0	False	
QGNH01001277.1_15	QGNH01001277.1	QGNH01001277.1	15	7229	8377	-1	E			YP_008129863.1	YP_008129863.1 tail fiber protein [Rhizobium phage RR1-B]	False	0.303	136.0	6.03e-33												0	False	
QGNH01001277.1_16	QGNH01001277.1	QGNH01001277.1	16	8389	9045	-1	E																				0	False	
QGNH01001277.1_17	QGNH01001277.1	QGNH01001277.1	17	9140	10291	-1	D			YP_009099586.1	YP_009099586.1 baseplate protein [Rhizobium phage vB_RleM_PPF1]	False	0.22	101.0	2.891e-21								Baseplate J-like protein [PF04865.17]	VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xs;Xh	0	False	V
QGNH01001277.1_18	QGNH01001277.1	QGNH01001277.1	18	10308	11276	-1	E																				0	False	
QGNH01001277.1_19	QGNH01001277.1	QGNH01001277.1	19	11288	11923	-1	D			YP_009099585.1	YP_009099585.1 baseplate wedge subunit [Rhizobium phage vB_RleM_PPF1]	False	0.335	90.0	2.751e-19								Phage protein GP46 [PF07409.15]	VOG03480	sp|P44239|VG46_HAEIN Mu-like prophage FluMu protein gp46; Xu	Xu	0	False	
QGNH01001277.1_20	QGNH01001277.1	QGNH01001277.1	20	11923	12732	-1	E																				0	False	
QGNH01001277.1_21	QGNH01001277.1	QGNH01001277.1	21	12740	13243	-1	D			YP_008130167.1	YP_008130167.1 baseplate assembly protein [Rhizobium phage RR1-A]	False	0.4	106.0	3.2990000000000003e-25								Bacteriophage Mu Gp45 spike protein [PF06890.15]				0	False	
QGNH01001277.1_22	QGNH01001277.1	QGNH01001277.1	22	13240	14322	-1	E			YP_009099582.1	YP_009099582.1 baseplate hub [Rhizobium phage vB_RleM_PPF1]	False	0.251	110.0	1.621e-24									VOG02312	sp|P08558|BP44_BPMU Baseplate hub protein gp44; XhXpXrXs	Xr;Xs;Xp;Xh	0	False	V
QGNH01001277.1_23	QGNH01001277.1	QGNH01001277.1	23	14325	14798	-1	D			YP_009099580.1	YP_009099580.1 Gpu-like tail protein [Rhizobium phage vB_RleM_PPF1]	False	0.408	87.0	4.207e-19								DNA circularisation protein N-terminus [PF07157.15]				0	False	
QGNH01001277.1_24	QGNH01001277.1	QGNH01001277.1	24	14798	16804	-1	E			YP_010037896.1	YP_010037896.1 putative tail protein [Ralstonia phage phiRSP]	False	0.19	74.0	3.463e-12												0	False	
QGNH01001277.1_25	QGNH01001277.1	QGNH01001277.1	25	16908	17270	-1	E																				0	False	
QGNH01001277.1_26	QGNH01001277.1	QGNH01001277.1	26	17552	17944	-1	E																				0	False	
QGNH01001277.1_27	QGNH01001277.1	QGNH01001277.1	27	18068	19603	-1	E			YP_009099576.1	YP_009099576.1 tail sheath [Rhizobium phage vB_RleM_PPF1]	True	0.411	359.0	5.327e-107									VOG03536	sp|P44233|VPL_HAEIN Mu-like prophage FluMu tail sheath protein; Xu	Xu	0	False	
QGNH01001277.1_28	QGNH01001277.1	QGNH01001277.1	28	19664	19891	-1	E																				0	False	
QGNH01001277.1_29	QGNH01001277.1	QGNH01001277.1	29	19999	20835	-1	E																	VOG27954	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001277.1_30	QGNH01001277.1	QGNH01001277.1	30	20926	21345	-1	E																				0	False	
QGNH01001277.1_31	QGNH01001277.1	QGNH01001277.1	31	21349	21687	-1	E																				0	False	
QGNH01001277.1_32	QGNH01001277.1	QGNH01001277.1	32	21768	22841	-1	D			YP_009639189.1	YP_009639189.1 major head protein [Xylella phage Salvo]	False	0.422	245.0	3.986e-70								Phage major capsid protein E [PF03864.18]	VOG01069	sp|D6RRG1|CAPSD_BPKPP Major capsid protein; XhXs	Xs;Xh	0	False	V
QGNH01001277.1_33	QGNH01001277.1	QGNH01001277.1	33	22948	23889	-1	D																Bacteriophage lambda head decoration protein D [PF02924.17]				0	False	
QGNH01001277.1_34	QGNH01001277.1	QGNH01001277.1	34	24017	25672	-1	D			YP_009909497.1	YP_009909497.1 Phage capsid and scaffold [Escherichia phage 1H12]	False	0.359	166.0	1.9049999999999998e-41	MER0083020	S49A	MER0083020 - subfamily S49A unassigned non-peptidase homologues (Rhodobacter sphaeroides) [S49.UNA]#S49A#{peptidase unit: 78-289}~source YP_001166320~	False	0.508	203.0	4.0149999999999998e-53	Peptidase family S49 [PF01343.21]; Clp protease [PF00574.26]	VOG28640	REFSEQ head maturation protease; Xu	Xu	0	False	P
QGNH01001277.1_35	QGNH01001277.1	QGNH01001277.1	35	25774	27471	-1	D			YP_010000198.1	YP_010000198.1 portal protein [Pectobacterium phage MA11]	False	0.331	259.0	3.9740000000000003e-72								Phage portal protein, lambda family [PF05136.16]	VOG01401	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xr;Xs;Xp	0	False	V
QGNH01001277.1_36	QGNH01001277.1	QGNH01001277.1	36	27471	27683	-1	D																gpW [PF02831.18]				0	False	
QGNH01001277.1_37	QGNH01001277.1	QGNH01001277.1	37	27680	27913	-1	E																				0	False	
QGNH01001277.1_38	QGNH01001277.1	QGNH01001277.1	38	28086	30161	-1	D			YP_009099565.1	YP_009099565.1 terminase large subunit [Rhizobium phage vB_RleM_PPF1]	True	0.548	639.0	2.901e-200								Terminase large subunit gpA, endonuclease domain [PF20454.1]; Phage terminase large subunit gpA, ATPase domain [PF05876.15]	VOG00695	sp|P03708|TERL_LAMBD Terminase, large subunit; XhXr	Xr;Xh	0	False	V
QGNH01001277.1_39	QGNH01001277.1	QGNH01001277.1	39	30158	30757	-1	E			YP_009099564.1	YP_009099564.1 hypothetical protein PPF1_01 [Rhizobium phage vB_RleM_PPF1]	False	0.318	90.0	1.92e-19									VOG03474	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001277.1_40	QGNH01001277.1	QGNH01001277.1	40	30847	31428	-1	E																				0	False	
QGNH01001277.1_41	QGNH01001277.1	QGNH01001277.1	41	31425	31748	-1	E																				0	False	
QGNH01001277.1_42	QGNH01001277.1	QGNH01001277.1	42	31815	32567	-1	D																Transcription termination factor nusG [PF02357.22]				0	False	
QGNH01001277.1_43	QGNH01001277.1	QGNH01001277.1	43	32613	33674	-1	E																				0	False	
QGNH01001277.1_44	QGNH01001277.1	QGNH01001277.1	44	33671	33964	-1	E																				0	False	
QGNH01001277.1_45	QGNH01001277.1	QGNH01001277.1	45	33954	34163	-1	E																				0	False	
QGNH01001277.1_46	QGNH01001277.1	QGNH01001277.1	46	34160	35026	-1	C	K06223	DNA adenine methylase [EC:2.1.1.72]	YP_009785478.1	YP_009785478.1 DNA methyltransferase [Caulobacter phage Sansa]	False	0.569	305.0	5.434e-92								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]	VOG03703	REFSEQ DNA methyltransferase; Xu	Xu	0	False	
QGNH01001277.1_47	QGNH01001277.1	QGNH01001277.1	47	35023	35331	-1	E																				0	False	
QGNH01001277.1_48	QGNH01001277.1	QGNH01001277.1	48	35328	35591	-1	E																				0	False	
QGNH01001277.1_49	QGNH01001277.1	QGNH01001277.1	49	35588	35818	-1	D																Helix-turn-helix domain [PF13560.9]				0	False	
QGNH01001277.1_50	QGNH01001277.1	QGNH01001277.1	50	35858	36157	-1	E																				0	False	
QGNH01001277.1_51	QGNH01001277.1	QGNH01001277.1	51	36171	36644	-1	E																				0	False	
QGNH01001277.1_52	QGNH01001277.1	QGNH01001277.1	52	36641	38065	-1	D			YP_009997120.1	YP_009997120.1 DNA methyltransferase [Synechococcus virus S-ESS1]	False	0.414	163.0	7.032e-41								MT-A70 [PF05063.17]	VOG03909	sp|P43641|MTMU_MYCSP Type II methyltransferase M.MunI; XhXp	Xp;Xh	0	False	
QGNH01001277.1_53	QGNH01001277.1	QGNH01001277.1	53	38035	38259	-1	E																				0	False	
QGNH01001277.1_54	QGNH01001277.1	QGNH01001277.1	54	38256	39065	-1	E																				0	False	
QGNH01001277.1_55	QGNH01001277.1	QGNH01001277.1	55	39103	39459	-1	E																				0	False	
QGNH01001277.1_56	QGNH01001277.1	QGNH01001277.1	56	39453	40073	-1	C	K06952	5'-nucleotidase [EC:3.1.3.89]														5'-deoxynucleotidase YfbR-like [PF12917.10]	VOG02646	sp|P76514|YFDR_ECOLI Uncharacterized protein YfdR; Xu	Xu	0	False	
QGNH01001277.1_57	QGNH01001277.1	QGNH01001277.1	57	40066	40443	-1	E																				0	False	
QGNH01001277.1_58	QGNH01001277.1	QGNH01001277.1	58	40695	41036	-1	E																				0	False	
QGNH01001277.1_59	QGNH01001277.1	QGNH01001277.1	59	41033	41302	-1	D																Helix-turn-helix domain [PF13744.9]; Helix-turn-helix domain [PF13560.9]				0	False	
QGNH01001277.1_60	QGNH01001277.1	QGNH01001277.1	60	41374	42057	1	D									MER0153670	S24	MER0153670 - family S24 unassigned peptidases (Methylobacterium nodulans) [S24.UPW]#S24#{peptidase unit: 86-196}~source ACL58485~	False	0.418	68.0	1.545e-11					0	False	P
QGNH01001277.1_61	QGNH01001277.1	QGNH01001277.1	61	42483	43091	1	E																				0	False	
QGNH01001277.1_62	QGNH01001277.1	QGNH01001277.1	62	43088	43540	1	E																				0	False	
QGNH01001277.1_63	QGNH01001277.1	QGNH01001277.1	63	43537	43713	1	E																				0	False	
