	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
KC292023_KC292023.1_1	KC292023	KC292023.1	1	1	198	1	E				0
KC292023_KC292023.1_2	KC292023	KC292023.1	2	195	380	1	E				0
KC292023_KC292023.1_3	KC292023	KC292023.1	3	377	493	1	E				0
KC292023_KC292023.1_4	KC292023	KC292023.1	4	614	862	1	E				0
KC292023_KC292023.1_5	KC292023	KC292023.1	5	855	1487	1	E				0
KC292023_KC292023.1_6	KC292023	KC292023.1	6	1484	1807	1	E				0
KC292023_KC292023.1_7	KC292023	KC292023.1	7	1849	2388	1	E				0
KC292023_KC292023.1_8	KC292023	KC292023.1	8	2563	2877	1	E				0
KC292023_KC292023.1_9	KC292023	KC292023.1	9	3118	3690	1	E				0
KC292023_KC292023.1_10	KC292023	KC292023.1	10	3687	4262	1	E				0
KC292023_KC292023.1_11	KC292023	KC292023.1	11	4259	4570	1	E				0
KC292023_KC292023.1_12	KC292023	KC292023.1	12	4567	5283	1	E				0
KC292023_KC292023.1_13	KC292023	KC292023.1	13	5280	5504	1	E				0
KC292023_KC292023.1_14	KC292023	KC292023.1	14	5501	5731	1	E				0
KC292023_KC292023.1_15	KC292023	KC292023.1	15	5724	5960	1	E				0
KC292023_KC292023.1_16	KC292023	KC292023.1	16	5953	6102	1	E				0
KC292023_KC292023.1_17	KC292023	KC292023.1	17	6099	6497	1	E				0
KC292023_KC292023.1_18	KC292023	KC292023.1	18	6494	7036	1	E				0
KC292023_KC292023.1_19	KC292023	KC292023.1	19	7079	7579	1	E				0
KC292023_KC292023.1_20	KC292023	KC292023.1	20	7579	8919	1	E				0
KC292023_KC292023.1_21	KC292023	KC292023.1	21	8916	9197	1	E				0
KC292023_KC292023.1_22	KC292023	KC292023.1	22	9249	9446	1	E				0
KC292023_KC292023.1_23	KC292023	KC292023.1	23	9446	9580	1	E				0
KC292023_KC292023.1_24	KC292023	KC292023.1	24	9583	9741	1	E				0
KC292023_KC292023.1_25	KC292023	KC292023.1	25	9788	10003	1	E				0
KC292023_KC292023.1_26	KC292023	KC292023.1	26	10427	12916	1	E				0
KC292023_KC292023.1_27	KC292023	KC292023.1	27	12963	13097	1	E				0
KC292023_KC292023.1_28	KC292023	KC292023.1	28	13090	13452	1	E				0
KC292023_KC292023.1_29	KC292023	KC292023.1	29	13445	13618	1	E				0
KC292023_KC292023.1_30	KC292023	KC292023.1	30	13693	14040	1	E				0
KC292023_KC292023.1_31	KC292023	KC292023.1	31	14190	14387	1	E				0
KC292023_KC292023.1_32	KC292023	KC292023.1	32	14387	15970	1	E				0
KC292023_KC292023.1_33	KC292023	KC292023.1	33	16035	16442	1	E				0
KC292023_KC292023.1_34	KC292023	KC292023.1	34	16442	17701	1	E				0
KC292023_KC292023.1_35	KC292023	KC292023.1	35	17783	18406	1	E				0
KC292023_KC292023.1_36	KC292023	KC292023.1	36	18403	18786	1	E				0
KC292023_KC292023.1_37	KC292023	KC292023.1	37	18876	19409	1	E				0
KC292023_KC292023.1_38	KC292023	KC292023.1	38	19453	19698	1	E				0
KC292023_KC292023.1_39	KC292023	KC292023.1	39	19862	20077	1	E				0
KC292023_KC292023.1_40	KC292023	KC292023.1	40	20074	20307	1	E				0
KC292023_KC292023.1_41	KC292023	KC292023.1	41	20350	21825	1	E				0
KC292023_KC292023.1_42	KC292023	KC292023.1	42	21970	22158	1	E				0
KC292023_KC292023.1_43	KC292023	KC292023.1	43	22199	22624	1	E				0
KC292023_KC292023.1_44	KC292023	KC292023.1	44	22624	23043	1	E				0
KC292023_KC292023.1_45	KC292023	KC292023.1	45	23096	23236	1	E				0
KC292023_KC292023.1_46	KC292023	KC292023.1	46	23314	23610	1	E				0
KC292023_KC292023.1_47	KC292023	KC292023.1	47	23612	23866	1	E				0
KC292023_KC292023.1_48	KC292023	KC292023.1	48	23859	24128	1	E				0
KC292023_KC292023.1_49	KC292023	KC292023.1	49	24165	24377	1	E				0
KC292023_KC292023.1_50	KC292023	KC292023.1	50	24593	25102	1	E				0
KC292023_KC292023.1_51	KC292023	KC292023.1	51	25136	25522	1	E				0
KC292023_KC292023.1_52	KC292023	KC292023.1	52	25525	25845	1	E				0
KC292023_KC292023.1_53	KC292023	KC292023.1	53	25845	26378	1	E				0
KC292023_KC292023.1_54	KC292023	KC292023.1	54	26375	26587	1	E				0
KC292023_KC292023.1_55	KC292023	KC292023.1	55	26696	27019	1	E				0
KC292023_KC292023.1_56	KC292023	KC292023.1	56	27057	27527	1	E				0
KC292023_KC292023.1_57	KC292023	KC292023.1	57	27531	27998	1	E				0
KC292023_KC292023.1_58	KC292023	KC292023.1	58	27967	28140	1	E				0
KC292023_KC292023.1_59	KC292023	KC292023.1	59	28182	28475	1	E				0
KC292023_KC292023.1_60	KC292023	KC292023.1	60	28517	28729	1	E				0
KC292023_KC292023.1_61	KC292023	KC292023.1	61	28819	29784	1	E				0
KC292023_KC292023.1_62	KC292023	KC292023.1	62	29785	30636	1	E				0
KC292023_KC292023.1_63	KC292023	KC292023.1	63	30687	31139	1	E				0
KC292023_KC292023.1_64	KC292023	KC292023.1	64	31142	32074	1	E				0
KC292023_KC292023.1_65	KC292023	KC292023.1	65	32078	35350	1	E				0
KC292023_KC292023.1_66	KC292023	KC292023.1	66	35347	35646	-1	C	K06218	mRNA interferase RelE/StbE		0
KC292023_KC292023.1_67	KC292023	KC292023.1	67	35603	35722	-1	E				0
