	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000061.1_1	QGNH01000061.1	QGNH01000061.1	1	3	746	1	E												VOG00510	sp|O64262|VG69_BPMD2 Gene 69 protein; Xu	Xu	0	False	F
QGNH01000061.1_2	QGNH01000061.1	QGNH01000061.1	2	748	1173	1	E												VOG00231	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu	Xu	0	False	F
QGNH01000061.1_3	QGNH01000061.1	QGNH01000061.1	3	1250	1504	1	E															0	False	F
QGNH01000061.1_4	QGNH01000061.1	QGNH01000061.1	4	1545	2090	1	E															0	False	F
QGNH01000061.1_5	QGNH01000061.1	QGNH01000061.1	5	2059	2235	1	E															0	False	F
QGNH01000061.1_6	QGNH01000061.1	QGNH01000061.1	6	2232	2387	1	E															0	False	F
QGNH01000061.1_7	QGNH01000061.1	QGNH01000061.1	7	2384	3913	1	D	YP_239310.1	YP_239310.1 possible DNA helicase [Xanthomonas phage Xp15]	False	0.352	267.0	1.259e-75	SNF2-related domain [PF00176.26]; Type III restriction enzyme, res subunit [PF04851.18]					VOG00205	sp|Q9T1Q7|VP41_BPAPS Putative protein p41; Xu	Xu	0	False	F
QGNH01000061.1_8	QGNH01000061.1	QGNH01000061.1	8	4120	4509	1	E															0	False	F
QGNH01000061.1_9	QGNH01000061.1	QGNH01000061.1	9	4705	5622	1	E	YP_239308.1	YP_239308.1 hypothetical protein XPXV15_gp40 [Xanthomonas phage Xp15]	False	0.274	84.0	2.945e-16						VOG04801	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000061.1_10	QGNH01000061.1	QGNH01000061.1	10	5799	5963	1	D							Histone H1-like protein Hc1 [PF07432.16]								0	False	
QGNH01000061.1_11	QGNH01000061.1	QGNH01000061.1	11	6011	6319	1	E															0	False	
QGNH01000061.1_12	QGNH01000061.1	QGNH01000061.1	12	6365	9151	1	D							Domain of unknown function (DUF927) [PF06048.14]								0	False	F
QGNH01000061.1_13	QGNH01000061.1	QGNH01000061.1	13	9148	9594	1	E															0	False	F
QGNH01000061.1_14	QGNH01000061.1	QGNH01000061.1	14	9630	10139	-1	E															0	False	F
QGNH01000061.1_15	QGNH01000061.1	QGNH01000061.1	15	10136	10447	-1	E															0	False	F
QGNH01000061.1_16	QGNH01000061.1	QGNH01000061.1	16	10486	10629	-1	E															0	False	F
QGNH01000061.1_17	QGNH01000061.1	QGNH01000061.1	17	10788	11345	-1	D							Glycosyl hydrolase 108 [PF05838.15]	GH108	GH108 N-acetylmuramidase (EC 3.2.1.17)	3.2.1.17	GH108.hmm	VOG04462	REFSEQ endolysin; Xu	Xu	0	False	F
QGNH01000061.1_18	QGNH01000061.1	QGNH01000061.1	18	11359	12360	-1	E	YP_010356982.1	YP_010356982.1 virion structural protein [Cellulophaga phage Ingeline_1]	False	0.338	65.0	5.096e-10									0	False	F
