	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000291.1_1	QGNH01000291.1	QGNH01000291.1	1	1	618	1	E											0	False	F
QGNH01000291.1_2	QGNH01000291.1	QGNH01000291.1	2	1234	2067	1	E											0	False	F
QGNH01000291.1_3	QGNH01000291.1	QGNH01000291.1	3	2144	3658	1	D	YP_008320314.1	YP_008320314.1 terminase large subunit [Puniceispirillum phage HMO-2011]	False	158.0	5.992e-39	0.258	Phage terminase large subunit [PF04466.16]	VOG00705	REFSEQ terminase large subunit; Xu	Xu	0	False	F
QGNH01000291.1_4	QGNH01000291.1	QGNH01000291.1	4	3655	5931	1	E											0	False	F
QGNH01000291.1_5	QGNH01000291.1	QGNH01000291.1	5	5950	6231	1	E											0	False	
QGNH01000291.1_6	QGNH01000291.1	QGNH01000291.1	6	6215	6718	1	E											0	False	
QGNH01000291.1_7	QGNH01000291.1	QGNH01000291.1	7	6728	7615	1	E											0	False	
QGNH01000291.1_8	QGNH01000291.1	QGNH01000291.1	8	7840	8247	1	E											0	False	
QGNH01000291.1_9	QGNH01000291.1	QGNH01000291.1	9	8257	8895	1	E											0	False	
QGNH01000291.1_10	QGNH01000291.1	QGNH01000291.1	10	8911	9831	1	E											0	False	F
QGNH01000291.1_11	QGNH01000291.1	QGNH01000291.1	11	9844	10839	1	E											0	False	F
QGNH01000291.1_12	QGNH01000291.1	QGNH01000291.1	12	10917	11147	1	E											0	False	F
QGNH01000291.1_13	QGNH01000291.1	QGNH01000291.1	13	11144	11827	1	E											0	False	F
QGNH01000291.1_14	QGNH01000291.1	QGNH01000291.1	14	11827	12540	1	E											0	False	F
QGNH01000291.1_15	QGNH01000291.1	QGNH01000291.1	15	12544	14124	1	D							Phage stabilisation protein [PF11134.11]	VOG10156	sp|P26749|VG10_BPP22 Packaged DNA stabilization protein gp10; Xh	Xh	0	False	F
QGNH01000291.1_16	QGNH01000291.1	QGNH01000291.1	16	14128	14556	1	E											0	False	F
