	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_021062_NC_021062_1	NC_021062	NC_021062	1	2	112	1	E								0
NC_021062_NC_021062_2	NC_021062	NC_021062	2	331	441	1	E								0
NC_021062_NC_021062_3	NC_021062	NC_021062	3	869	1351	1	E								0
NC_021062_NC_021062_4	NC_021062	NC_021062	4	1351	1554	1	E								0
NC_021062_NC_021062_5	NC_021062	NC_021062	5	1679	1954	1	E								0
NC_021062_NC_021062_6	NC_021062	NC_021062	6	1938	2237	1	E								0
NC_021062_NC_021062_7	NC_021062	NC_021062	7	2366	2902	1	E								0
NC_021062_NC_021062_8	NC_021062	NC_021062	8	2899	3603	1	D			2OG-Fe(II) oxygenase superfamily [PF13640.9]					0
NC_021062_NC_021062_9	NC_021062	NC_021062	9	3607	3861	1	E								0
NC_021062_NC_021062_10	NC_021062	NC_021062	10	3861	4133	1	E								0
NC_021062_NC_021062_11	NC_021062	NC_021062	11	4248	6902	1	C	K21313	Escherichia phage RNA polymerase [EC:2.7.7.6]	DNA-dependent RNA polymerase [PF00940.22]; DNA-directed RNA polymerase N-terminal [PF14700.9]					0
NC_021062_NC_021062_12	NC_021062	NC_021062	12	6966	7157	1	E								0
NC_021062_NC_021062_13	NC_021062	NC_021062	13	7154	7426	1	E								0
NC_021062_NC_021062_14	NC_021062	NC_021062	14	7426	8409	1	D			DNA ligase C-terminal domain [PF17879.4]; ATP dependent DNA ligase domain [PF01068.24]					0
NC_021062_NC_021062_15	NC_021062	NC_021062	15	8488	8934	1	E								0
NC_021062_NC_021062_16	NC_021062	NC_021062	16	9180	9860	1	E								0
NC_021062_NC_021062_17	NC_021062	NC_021062	17	9857	9994	1	D			RNA polymerase inhibitor [PF16857.8]					0
NC_021062_NC_021062_18	NC_021062	NC_021062	18	9991	10362	1	E								0
NC_021062_NC_021062_19	NC_021062	NC_021062	19	10436	11128	1	C	K25280	Escherichia phage single-stranded DNA-binding protein						0
NC_021062_NC_021062_20	NC_021062	NC_021062	20	11131	11568	1	C	K21525	Escherichia phage endonuclease I [EC:3.1.21.2]	Phage endonuclease I [PF05367.14]					0
NC_021062_NC_021062_21	NC_021062	NC_021062	21	11580	12041	1	C	K01447	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	N-acetylmuramoyl-L-alanine amidase [PF01510.28]					0
NC_021062_NC_021062_22	NC_021062	NC_021062	22	12108	12644	1	E								0
NC_021062_NC_021062_23	NC_021062	NC_021062	23	12648	14339	1	C	K21502	Escherichia phage DNA primase/helicase [EC:2.7.7.- 5.6.2.3]	DnaB-like helicase C terminal domain [PF03796.18]; Toprim-like [PF13155.9]; KaiC [PF06745.16]					0
NC_021062_NC_021062_24	NC_021062	NC_021062	24	14342	14560	1	E								0
