	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MG550112.1_1	MG550112	MG550112.1	1	1	531	1	E			YP_010355883.1	YP_010355883.1 terminase small subunit [Haloferax tailed virus 1]	True	0.967	350.0	6.479e-110		VOG00189	REFSEQ terminase small subunit; Xu	Xu	0	False	F
MG550112.1_2	MG550112	MG550112.1	2	553	1887	1	E			YP_010355884.1	YP_010355884.1 terminase large subunit [Haloferax tailed virus 1]	True	1.0	953.0	2.454e-313		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
MG550112.1_3	MG550112	MG550112.1	3	2053	2322	1	E			YP_010355886.1	YP_010355886.1 Zn-finger protein [Haloferax tailed virus 1]	False	1.0	198.0	1.151e-58		VOG01083	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MG550112.1_4	MG550112	MG550112.1	4	2420	2599	1	E			YP_010355887.1	YP_010355887.1 hypothetical protein M1M17_gp05 [Haloferax tailed virus 1]	False	1.0	128.0	3.955e-35					0	False	F
MG550112.1_5	MG550112	MG550112.1	5	2697	2843	1	E			YP_008059540.1	YP_008059540.1 hypothetical protein M196_gp51 [Halorubrum tailed virus 4]	False	0.713	64.0	3.571e-13					0	False	F
MG550112.1_6	MG550112	MG550112.1	6	2843	3073	1	E			YP_010355888.1	YP_010355888.1 hypothetical protein M1M17_gp06 [Haloferax tailed virus 1]	False	0.955	155.0	4.15e-44					0	False	F
MG550112.1_7	MG550112	MG550112.1	7	3070	3171	1	E			YP_010355889.1	YP_010355889.1 hypothetical protein M1M17_gp07 [Haloferax tailed virus 1]	False	0.983	71.0	9.775e-16					0	False	F
MG550112.1_8	MG550112	MG550112.1	8	3159	3317	1	E			YP_010355890.1	YP_010355890.1 Ada-like Zn-binding domain protein [Haloferax tailed virus 1]	False	1.0	119.0	4.038e-32					0	False	F
MG550112.1_9	MG550112	MG550112.1	9	3310	3543	1	E			YP_010355891.1	YP_010355891.1 Ada-like Zn-binding domain protein [Haloferax tailed virus 1]	False	0.987	163.0	7.776e-47					0	False	F
MG550112.1_10	MG550112	MG550112.1	10	3540	3668	1	D			YP_010355892.1	YP_010355892.1 C4 zinc finger domain [Haloferax tailed virus 1]	False	1.0	100.0	9.776e-26	Nudix N-terminal [PF14803.9]				0	False	F
MG550112.1_11	MG550112	MG550112.1	11	3665	3793	1	E			YP_010355893.1	YP_010355893.1 C4 zinc finger domain [Haloferax tailed virus 1]	False	1.0	96.0	2.3369999999999998e-24					0	False	F
MG550112.1_12	MG550112	MG550112.1	12	3798	3971	1	E			YP_010355894.1	YP_010355894.1 hypothetical protein M1M17_gp12 [Haloferax tailed virus 1]	False	0.997	112.0	1.574e-29					0	False	F
MG550112.1_13	MG550112	MG550112.1	13	4009	4128	1	E													0	False	F
MG550112.1_14	MG550112	MG550112.1	14	4128	6155	1	E			YP_010355895.1	YP_010355895.1 portal protein [Haloferax tailed virus 1]	True	0.969	1379.0	0.0		VOG14639	REFSEQ portal protein; Xu	Xu	0	False	F
MG550112.1_15	MG550112	MG550112.1	15	6192	6380	1	E			YP_010355896.1	YP_010355896.1 hypothetical protein M1M17_gp14 [Haloferax tailed virus 1]	False	0.904	119.0	4.916e-32		VOG14641	REFSEQ hypothetical protein; Xu	Xu	0	False	
MG550112.1_16	MG550112	MG550112.1	16	6816	7106	1	E			YP_010355898.1	YP_010355898.1 hypothetical protein M1M17_gp16 [Haloferax tailed virus 1]	False	1.0	216.0	5.733e-65					0	False	
MG550112.1_17	MG550112	MG550112.1	17	7106	8548	1	E			YP_010355899.1	YP_010355899.1 P2 gpO-like scaffolding/protease protein [Haloferax tailed virus 1]	True	0.911	915.0	1.304e-299		VOG14642	REFSEQ hypothetical protein; Xu	Xu	0	False	
MG550112.1_18	MG550112	MG550112.1	18	8617	9030	1	E			YP_010355900.1	YP_010355900.1 capsid stabilization protein [Haloferax tailed virus 1]	False	0.923	267.0	8.431e-82		VOG00395	REFSEQ head scaffolding protein; Xu	Xu	0	False	
MG550112.1_19	MG550112	MG550112.1	19	9030	10286	1	E			YP_010355901.1	YP_010355901.1 HK97 gp5-like major capsid protein [Haloferax tailed virus 1]	True	0.958	799.0	1.22e-260		VOG14637	REFSEQ major capsid protein; Xu	Xu	0	False	
MG550112.1_20	MG550112	MG550112.1	20	10332	11588	1	E			YP_010355902.1	YP_010355902.1 hypothetical protein M1M17_gp20 [Haloferax tailed virus 1]	True	0.962	848.0	1.322e-277					0	False	
