Target Name	KO ID	EC value	E-Value (sequence)	Score (domain)
NZ_CP030760.1_1373	K00001,K00002	1.1.1.1	8.4e-26	89.3
NZ_CP030760.1_485	K00001,K00002	1.1.1.1	1.5e-39	131.2
NZ_CP030760.1_942	K00001,K00002	1.1.1.1	2.3e-38	126.5
NZ_CP030761.1_246	K00001,K00002	1.1.1.1	4.6e-36	120.1
NZ_CP030760.1_2745	K00001,K00002	1.1.1.1	9e-34	115.5
NZ_CP030761.1_571	K00001,K00121	1.1.1.1	3e-39	84.7
NZ_CP030762.1_166	K00001,K00121	1.1.1.1	5e-32	70.5
NZ_CP030760.1_3571	K00001,K00121	1.1.1.1	2.2e-33	62.5
NZ_CP030760.1_3571	K00001,K00121	1.1.1.1	2.2e-33	53.6
NZ_CP030761.1_571	K00001,K00121	1.1.1.1	2.5e-34	51.9
NZ_CP030761.1_663	K00001,K00344	1.1.1.1	4.2e-31	76.4
NZ_CP030761.1_663	K00001,K00344	1.1.1.1	1.5e-17	59.1
NZ_CP030760.1_4283	K00001,K00344	1.1.1.1	1.6e-15	55.4
NZ_CP030760.1_1545	K00001,K00344	1.1.1.1	4e-21	55.1
NZ_CP030762.1_166	K00001,K00344	1.1.1.1	1.5e-16	46.8
NZ_CP030764.1_274	K00001,K01629	1.1.1.1	3.3e-47	158.3
NZ_CP030760.1_2417	K00001,K01629	1.1.1.1	5.3e-34	116.0
NZ_CP030764.1_274	K00001,K01629	1.1.1.1	3.6e-44	109.5
NZ_CP030760.1_2150	K00001,K01629	1.1.1.1	2e-31	107.4
NZ_CP030764.1_407	K00001,K01629	1.1.1.1	3.4e-31	106.7
NZ_CP030762.1_87	K00001,K04072	1.1.1.1	9.2e-66	220.4
NZ_CP030762.1_31	K00001,K04072	1.1.1.1	3.9e-61	205.1
NZ_CP030761.1_803	K00001,K04072	1.1.1.1	7.9e-61	204.1
NZ_CP030760.1_1477	K00001,K04072	1.1.1.1	2.4e-57	192.8
NZ_CP030763.1_119	K00001,K04072	1.1.1.1	1.1e-54	183.9
NZ_CP030761.1_658	K00001,K13953,K00100,K00540	1.1.1.1
	3.5e-57	67.9
NZ_CP030760.1_1342	K00001,K13953,K00100,K00540	1.1.1.1
	8.6e-27	65.7
NZ_CP030761.1_663	K00001,K13953,K00100,K00540	1.1.1.1
	2.5e-41	39.1
NZ_CP030761.1_658	K00001,K13953,K00100,K00540	1.1.1.1
	3.5e-57	118.9
NZ_CP030761.1_663	K00001,K13953,K00100,K00540	1.1.1.1
	2.5e-41	101.3
NZ_CP030761.1_663	K00001,K13953,K00344	1.1.1.1	2.8e-39	72.0
NZ_CP030760.1_1342	K00001,K13953,K00344	1.1.1.1	1.1e-33	66.2
NZ_CP030761.1_663	K00001,K13953,K00344	1.1.1.1	2.8e-39	63.4
NZ_CP030763.1_420	K00001,K13953,K00344	1.1.1.1	1.5e-27	59.1
NZ_CP030760.1_1342	K00001,K13953,K00344	1.1.1.1	1.1e-33	49.2
NZ_CP030761.1_663	K00001,K13953,K01568	1.1.1.1	2.4e-47	86.5
NZ_CP030761.1_663	K00001,K13953,K01568	1.1.1.1	2.4e-47	74.2
NZ_CP030760.1_1342	K00001,K13953,K01568	1.1.1.1	1.6e-22	63.7
NZ_CP030760.1_4283	K00001,K13953,K01568	1.1.1.1	2.2e-25	54.5
NZ_CP030760.1_4283	K00001,K13953,K01568	1.1.1.1	2.2e-25	35.2
NZ_CP030761.1_663	K00001,K13953	1.1.1.1
	7.1e-46	87.1
NZ_CP030760.1_4283	K00001,K13953	1.1.1.1
	2e-76	139.7
NZ_CP030761.1_663	K00001,K13953	1.1.1.1
	8.3e-73	137.2
NZ_CP030760.1_4283	K00001,K13953	1.1.1.1
	2e-76	120.6
NZ_CP030761.1_663	K00001,K13953	1.1.1.1
	8.3e-73	110.4
NZ_CP030762.1_87	K00001,K13954	1.1.1.1
	2.3e-103	344.4
NZ_CP030760.1_1477	K00001,K13954	1.1.1.1
	6.6e-75	250.8
NZ_CP030762.1_31	K00001,K13954	1.1.1.1
	1e-72	243.6
NZ_CP030761.1_803	K00001,K13954	1.1.1.1
	3.9e-64	215.4
NZ_CP030763.1_119	K00001,K13954	1.1.1.1
	3.2e-54	182.8
NZ_CP030760.1_1477	K00001	1.1.1.1
	1e-234	776.5
NZ_CP030761.1_1026	K00001	1.1.1.1
	2.6e-45	150.8
NZ_CP030760.1_1477	K00001	1.1.1.1
	9e-44	148.2
NZ_CP030760.1_965	K00001	1.1.1.1
	6.5e-45	114.4
NZ_CP030761.1_1026	K00001	1.1.1.1
	3e-30	102.3
NZ_CP030760.1_2491	K00003,K00928,K12524	1.1.1.3	7.3e-26	70.5
NZ_CP030760.1_364	K00003,K00928,K12524	1.1.1.3	1.5e-29	101.4
NZ_CP030760.1_364	K00003,K00928	1.1.1.3	7e-59	198.5
NZ_CP030760.1_2491	K00003,K00928	1.1.1.3	4.6e-33	113.2
NZ_CP030760.1_364	K00003	1.1.1.3
	2.7e-139	418.7
NZ_CP030760.1_364	K00003	1.1.1.3
	1.3e-82	275.5
NZ_CP030760.1_364	K00003	1.1.1.3
	1.1e-78	263.2
NZ_CP030760.1_942	K00003	1.1.1.3
	1.8e-06	25.8
NZ_CP030760.1_364	K00003	1.1.1.3
	4.1e-42	143.0
NZ_CP030760.1_3571	K00004	1.1.1.4	4.6e-33	66.1
NZ_CP030760.1_3571	K00004	1.1.1.4	1.1e-22	39.0
