ID	GIC31_complete	JQGI01_HUD	RW2_complete	S17	SH31	gsA_SM152B	gsB_3841	gsC_SM41	gsD_SM51	gsE_BIHB1217
K00001	0	0	0	0	0	1	1	1	1	1
K00003	0	0	0	0	0	1	1	1	1	1
K00004	0	0	0	0	1	0	0	1	1	1
K00012	1	1	1	1	1	1	1	1	1	1
K00013	1	1	1	1	1	1	1	1	1	1
K00014	1	1	1	1	1	1	1	1	1	1
K00016	1	1	1	1	1	0	0	0	0	0
K00020	1	1	1	1	1	1	1	1	1	1
K00023	0	0	0	0	0	1	1	1	1	1
K00024	1	1	1	1	1	1	1	1	1	1
K00031	0	0	0	0	0	1	1	1	1	1
K00033	1	1	1	1	1	1	1	1	1	1
K00035	0	0	0	0	0	1	1	1	1	1
K00036	0	1	0	0	0	1	1	1	1	1
K00039	0	0	0	0	0	1	1	1	1	1
K00040	0	0	0	0	0	1	1	1	1	1
K00043	0	0	0	0	0	1	1	1	1	1
K00052	0	0	0	0	0	1	1	1	1	1
K00053	0	0	0	0	0	1	1	1	1	1
K00055	0	0	0	0	0	1	1	1	1	1
K00058	1	1	1	1	1	1	1	1	1	1
K00060	1	1	1	1	1	1	1	1	1	1
K00065	0	0	0	0	0	1	1	1	1	1
K00073	0	0	0	0	0	0	0	0	0	1
K00075	1	1	1	1	1	1	1	1	1	1
K00087	0	1	0	0	0	0	1	0	0	1
K00088	1	1	1	1	1	1	1	1	1	1
K00108	0	1	0	0	0	1	1	1	1	1
K00121	0	0	0	0	0	1	1	1	1	1
K00123	0	0	0	0	0	1	1	1	1	1
K00124	0	1	1	1	0	0	0	0	0	0
K00126	0	0	0	0	0	1	1	1	1	1
K00127	0	0	0	0	0	1	1	1	1	1
K00128	0	0	0	0	0	1	1	1	1	1
K00130	0	1	0	0	0	1	1	1	1	1
K00132	0	1	0	0	0	0	0	0	0	0
K00133	1	1	1	1	1	1	1	1	1	1
K00134	1	1	1	1	1	1	1	1	1	1
K00135	1	1	1	1	1	1	1	1	1	1
K00137	0	0	0	0	0	1	1	1	1	1
K00138	1	1	1	1	1	1	1	1	1	1
K00140	0	0	0	0	0	1	1	1	1	1
K00141	0	0	0	0	0	1	0	1	0	0
K00145	1	1	1	0	0	1	1	1	1	1
K00146	0	0	0	0	0	0	1	0	1	0
K00147	0	0	0	0	0	1	1	1	1	1
K00148	1	1	1	1	1	1	1	1	1	1
K00161	0	0	0	0	0	1	1	1	1	1
K00162	0	0	0	0	0	1	1	1	1	1
K00163	0	0	0	0	0	0	0	0	1	0
K00164	1	1	1	1	1	1	1	1	1	1
K00166	1	1	1	1	1	1	1	1	1	1
K00167	1	1	1	1	1	1	1	1	1	1
K00215	1	1	1	1	1	1	1	1	1	1
K00219	0	0	0	0	0	0	1	0	0	0
K00220	0	0	0	0	0	1	1	1	1	1
K00239	1	1	1	1	1	1	1	1	1	1
K00240	1	1	1	1	1	0	0	0	0	0
K00241	1	1	1	1	1	0	0	0	0	0
K00242	0	0	0	0	0	1	1	1	1	1
K00244	0	1	0	0	0	0	0	0	0	0
K00248	1	1	1	1	1	1	1	1	1	1
K00249	0	0	0	0	0	0	1	0	0	1
K00252	0	0	0	0	0	1	1	1	1	1
K00253	0	0	0	0	0	1	1	1	1	1
K00254	0	0	0	0	0	0	0	1	0	0
K00259	1	1	1	1	1	1	1	1	1	1
K00260	1	1	1	1	1	1	1	1	1	0
K00263	1	1	1	1	1	0	0	0	0	0
K00264	1	1	1	1	1	0	0	0	0	0
K00265	1	1	1	1	1	1	1	1	1	1
K00266	0	1	0	0	0	1	1	1	1	1
K00274	1	1	1	1	1	1	1	1	1	1
K00276	0	0	0	0	0	0	1	1	1	1
K00278	1	1	1	1	1	1	1	1	1	1
K00281	0	1	0	0	0	1	1	1	1	1
K00282	1	1	1	1	1	0	0	0	0	0
K00283	1	1	1	1	1	0	0	0	0	0
K00285	0	1	0	0	0	1	1	1	1	1
K00286	1	1	1	1	1	1	1	1	1	1
K00301	1	1	1	0	0	1	1	1	1	1
K00302	0	0	0	0	0	1	1	1	1	1
K00303	0	1	0	0	0	1	1	1	1	1
K00304	0	0	0	0	0	1	1	1	1	1
K00305	0	0	0	0	0	1	1	1	1	1
K00318	1	1	1	1	1	0	0	0	0	0
K00320	1	1	1	0	1	1	1	1	1	1
K00330	0	1	0	0	0	1	1	1	1	1
K00331	0	0	0	0	0	0	0	1	1	1
K00332	0	0	0	0	0	0	0	1	1	1
K00333	0	0	0	0	0	0	0	1	1	1
K00355	0	0	0	0	0	1	1	1	1	1
K00362	0	0	0	0	0	1	1	1	1	1
K00364	1	1	1	1	1	0	0	0	0	0
K00372	0	1	1	1	0	1	1	1	1	1
K00374	0	1	0	0	0	0	0	0	0	0
K00380	0	0	0	0	0	1	1	0	0	0
K00381	0	0	0	0	0	1	1	1	1	1
K00382	1	1	1	1	1	1	1	1	1	1
K00383	1	1	1	1	1	1	1	1	1	1
K00384	1	1	1	1	1	1	1	1	1	1
K00387	0	0	0	0	0	0	0	1	0	1
K00390	0	0	0	0	0	1	1	1	1	1
K00428	0	0	0	0	0	1	1	1	1	1
K00432	1	1	1	1	1	1	1	1	1	1
K00435	1	1	1	1	1	0	0	0	0	0
K00446	0	0	0	0	0	1	1	1	1	1
K00448	0	0	0	0	0	1	1	1	1	1
K00449	0	0	0	0	0	1	1	1	1	1
K00450	0	1	0	0	0	0	0	0	0	0
K00451	0	0	0	0	0	1	1	1	1	1
K00453	1	1	1	1	1	0	0	0	0	0
K00457	0	0	0	0	0	1	1	1	1	1
K00481	0	0	0	0	0	1	1	1	1	1
K00491	1	1	1	1	1	0	0	0	0	0
