	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001569.1_1	QGNH01001569.1	QGNH01001569.1	1	3	317	1	E																		0	False	F
QGNH01001569.1_2	QGNH01001569.1	QGNH01001569.1	2	277	534	-1	E																		0	False	F
QGNH01001569.1_3	QGNH01001569.1	QGNH01001569.1	3	575	775	-1	E																		0	False	F
QGNH01001569.1_4	QGNH01001569.1	QGNH01001569.1	4	839	1306	-1	E																		0	False	F
QGNH01001569.1_5	QGNH01001569.1	QGNH01001569.1	5	1325	1558	-1	E																		0	False	F
QGNH01001569.1_6	QGNH01001569.1	QGNH01001569.1	6	1596	2216	1	E	YP_008859640.1	YP_008859640.1 integrase [Zamilon virus]	False	0.394	143.0	1.652e-37									VOG06010	sp|Q3V4T7|Y241_ATV Putative integrase ORF241; Xr	Xr	0	False	VF
QGNH01001569.1_7	QGNH01001569.1	QGNH01001569.1	7	2226	2558	-1	E																		0	False	F
QGNH01001569.1_8	QGNH01001569.1	QGNH01001569.1	8	2599	3327	-1	E																		0	False	F
QGNH01001569.1_9	QGNH01001569.1	QGNH01001569.1	9	3391	3687	-1	E																		0	False	F
QGNH01001569.1_10	QGNH01001569.1	QGNH01001569.1	10	3728	4984	-1	E	YP_008859636.1	YP_008859636.1 hypothetical protein X812_gp07 [Zamilon virus]	False	0.396	274.0	4.545e-79									VOG05732	sp|Q5UQA5|YL544_MIMIV Uncharacterized protein L544; Xs	Xs	0	False	VF
QGNH01001569.1_11	QGNH01001569.1	QGNH01001569.1	11	5002	5544	-1	E	YP_004894715.1	YP_004894715.1 hypothetical protein MegaChil _gp0664 [Megavirus chiliensis]	False	0.4	88.0	6.783e-19									VOG10289	sp|Q5UR26|VF546_MIMIV Uncharacterized protein R546; Xu	Xu	0	False	
QGNH01001569.1_12	QGNH01001569.1	QGNH01001569.1	12	5607	6572	-1	E																		0	False	
QGNH01001569.1_13	QGNH01001569.1	QGNH01001569.1	13	6605	7354	-1	E																		0	False	
QGNH01001569.1_14	QGNH01001569.1	QGNH01001569.1	14	7705	7857	-1	E																		0	False	
QGNH01001569.1_15	QGNH01001569.1	QGNH01001569.1	15	7871	8179	-1	E																		0	False	
QGNH01001569.1_16	QGNH01001569.1	QGNH01001569.1	16	8218	8754	1	D	YP_002122370.1	YP_002122370.1 V9 [Sputnik virophage]	False	0.466	151.0	1.396e-40	MER1239413	C120	MER1239413 - mavirus processing peptidase () [C120.001]#C120#{peptidase unit: 1-189}~source YP_004300294~	False	82.0	1.254e-16	0.305		VOG16709	sp|B4YNE9|V9_SPTNK Uncharacterized protein V9; Xu	Xu	0	False	
QGNH01001569.1_17	QGNH01001569.1	QGNH01001569.1	17	8780	10147	1	E	YP_008859634.1	YP_008859634.1 minor virion protein [Zamilon virus]	False	0.235	130.0	2.073e-30									VOG03088	sp|B4YNF9|V19_SPTNK Structural protein V19; Xs	Xs	0	False	V
QGNH01001569.1_18	QGNH01001569.1	QGNH01001569.1	18	10164	12026	1	E	YP_008859635.1	YP_008859635.1 Capsid protein [Zamilon virus]	False	0.333	288.0	3.4379999999999996e-81									VOG05312	sp|B4YNG0|CAPSD_SPTNK Putative capsid protein V20; Xs	Xs	0	False	VF
QGNH01001569.1_19	QGNH01001569.1	QGNH01001569.1	19	12068	12841	1	E																		0	False	F
QGNH01001569.1_20	QGNH01001569.1	QGNH01001569.1	20	12875	13816	1	E																		0	False	F
QGNH01001569.1_21	QGNH01001569.1	QGNH01001569.1	21	13837	14085	1	E																		0	False	F
QGNH01001569.1_22	QGNH01001569.1	QGNH01001569.1	22	14109	14960	-1	E	YP_008859647.1	YP_008859647.1 DNA packaging protein [Zamilon virus]	False	0.445	175.0	2.7359999999999997e-47									VOG05703	sp|B4YNE3|V3_SPTNK Uncharacterized protein V3; Xu	Xu	0	False	F
QGNH01001569.1_23	QGNH01001569.1	QGNH01001569.1	23	15036	15356	1	E																		0	False	F
QGNH01001569.1_24	QGNH01001569.1	QGNH01001569.1	24	16231	16398	-1	E																		0	False	F
QGNH01001569.1_25	QGNH01001569.1	QGNH01001569.1	25	16407	16706	-1	E																		0	False	F
QGNH01001569.1_26	QGNH01001569.1	QGNH01001569.1	26	16785	16940	1	E																		0	False	F
