	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_027981_NC_027981_1	NC_027981	NC_027981	1	74	655	1	E															0
NC_027981_NC_027981_2	NC_027981	NC_027981	2	735	2444	1	D										Phage terminase large subunit gpA, ATPase domain [PF05876.15]; Terminase large subunit gpA, endonuclease domain [PF20454.1]					0
NC_027981_NC_027981_3	NC_027981	NC_027981	3	2452	2700	1	D										gpW [PF02831.18]					0
NC_027981_NC_027981_4	NC_027981	NC_027981	4	2700	4193	1	D										Phage portal protein, lambda family [PF05136.16]					0
NC_027981_NC_027981_5	NC_027981	NC_027981	5	4186	5457	1	D			MER0233201	S49B	MER0233201 - protein C (bacteriophage lambda) () [S49.003]#S49B#{peptidase unit: 101-267}~source CAX64986~	False	0.96	339.0	3.161e-101	Peptidase family S49 [PF01343.21]					0
NC_027981_NC_027981_6	NC_027981	NC_027981	6	5477	5791	1	D										Bacteriophage lambda head decoration protein D [PF02924.17]					0
NC_027981_NC_027981_7	NC_027981	NC_027981	7	5855	6877	1	D										Phage major capsid protein E [PF03864.18]					0
NC_027981_NC_027981_8	NC_027981	NC_027981	8	6888	7253	1	E															0
NC_027981_NC_027981_9	NC_027981	NC_027981	9	7255	7788	1	D										Prophage minor tail protein Z (GPZ) [PF06763.14]					0
NC_027981_NC_027981_10	NC_027981	NC_027981	10	7785	8333	1	E															0
NC_027981_NC_027981_11	NC_027981	NC_027981	11	8311	8913	1	D										Type VI secretion system/phage-baseplate injector OB domain [PF04717.15]					0
NC_027981_NC_027981_12	NC_027981	NC_027981	12	8915	9112	1	E															0
NC_027981_NC_027981_13	NC_027981	NC_027981	13	9120	9458	1	C	K06903	uncharacterized protein								Baseplate wedge protein gp25 [PF04965.17]					0
NC_027981_NC_027981_14	NC_027981	NC_027981	14	9460	10395	1	D										Baseplate J-like protein [PF04865.17]					0
NC_027981_NC_027981_15	NC_027981	NC_027981	15	10388	11131	1	D										Phage tail protein (Tail_P2_I) [PF09684.13]					0
NC_027981_NC_027981_16	NC_027981	NC_027981	16	11131	11667	1	D										Phage tail-collar fibre protein [PF12571.11]					0
NC_027981_NC_027981_17	NC_027981	NC_027981	17	11671	12903	1	D										Sulfatase-modifying factor enzyme 1 [PF03781.19]					0
NC_027981_NC_027981_18	NC_027981	NC_027981	18	13006	13320	1	D										23S rRNA-intervening sequence protein [PF05635.14]					0
NC_027981_NC_027981_19	NC_027981	NC_027981	19	13317	14594	1	C	K00986	RNA-directed DNA polymerase [EC:2.7.7.49]								Reverse transcriptase (RNA-dependent DNA polymerase) [PF00078.30]					0
NC_027981_NC_027981_20	NC_027981	NC_027981	20	14587	14862	1	E															0
NC_027981_NC_027981_21	NC_027981	NC_027981	21	14958	16118	1	C	K06907	uncharacterized protein								Phage tail sheath protein subtilisin-like domain [PF04984.17]; Phage tail sheath C-terminal domain [PF17482.5]					0
NC_027981_NC_027981_22	NC_027981	NC_027981	22	16120	16620	1	C	K06908	uncharacterized protein								Phage tail tube protein FII [PF04985.17]					0
NC_027981_NC_027981_23	NC_027981	NC_027981	23	16635	16820	1	E															0
