ID	FragGeneScan_GIC31	FragGeneScan_DJ	FragGeneScan_RW1	FragGeneScan_Rleg	FragGeneScan_RW2
COG0001	1.0	1.0	0.0	1.0	1.0
COG0002	1.0	1.0	0.0	1.0	1.0
COG0003	1.0	0.0	0.0	0.0	1.0
COG0004	1.0	1.0	0.0	1.0	1.0
COG0005	1.0	1.0	1.0	1.0	1.0
COG0006	1.0	1.0	0.0	1.0	1.0
COG0007	0.0	1.0	0.0	1.0	0.0
COG0008	1.0	1.0	1.0	1.0	1.0
COG0009	1.0	1.0	0.0	1.0	1.0
COG0010	1.0	0.0	0.0	1.0	1.0
COG0012	1.0	1.0	0.0	1.0	1.0
COG0013	1.0	1.0	0.0	1.0	1.0
COG0014	0.0	1.0	0.0	1.0	0.0
COG0015	1.0	1.0	0.0	1.0	1.0
COG0016	1.0	1.0	0.0	1.0	1.0
COG0017	1.0	0.0	0.0	1.0	1.0
COG0018	1.0	1.0	0.0	1.0	1.0
COG0019	1.0	1.0	0.0	1.0	1.0
COG0020	1.0	1.0	0.0	1.0	1.0
COG0021	1.0	1.0	0.0	1.0	1.0
COG0022	1.0	1.0	0.0	1.0	1.0
COG0023	0.0	1.0	0.0	0.0	0.0
COG0024	1.0	1.0	0.0	1.0	1.0
COG0025	0.0	1.0	0.0	1.0	0.0
COG0026	1.0	1.0	1.0	1.0	1.0
COG0027	0.0	1.0	0.0	0.0	0.0
COG0028	0.0	1.0	1.0	1.0	0.0
COG0029	1.0	1.0	0.0	1.0	1.0
COG0030	1.0	1.0	0.0	1.0	1.0
COG0031	1.0	1.0	1.0	1.0	1.0
COG0033	0.0	0.0	0.0	1.0	0.0
COG0034	1.0	1.0	0.0	1.0	1.0
COG0035	1.0	1.0	0.0	1.0	1.0
COG0036	1.0	1.0	0.0	1.0	1.0
COG0037	1.0	1.0	0.0	1.0	1.0
COG0038	0.0	0.0	0.0	1.0	0.0
COG0039	1.0	0.0	1.0	1.0	1.0
COG0040	1.0	1.0	0.0	1.0	1.0
COG0041	1.0	1.0	1.0	1.0	1.0
COG0042	1.0	1.0	0.0	1.0	1.0
COG0043	0.0	1.0	0.0	1.0	0.0
COG0044	1.0	1.0	0.0	1.0	1.0
COG0045	1.0	1.0	0.0	1.0	1.0
COG0046	1.0	0.0	0.0	1.0	1.0
COG0047	1.0	1.0	0.0	1.0	1.0
COG0048	1.0	1.0	0.0	1.0	1.0
COG0049	1.0	1.0	0.0	1.0	1.0
COG0050	1.0	1.0	0.0	1.0	1.0
COG0051	1.0	1.0	0.0	1.0	1.0
COG0052	1.0	1.0	0.0	1.0	1.0
COG0053	1.0	1.0	0.0	1.0	1.0
COG0054	1.0	1.0	1.0	1.0	1.0
COG0055	1.0	1.0	0.0	1.0	1.0
COG0056	1.0	1.0	0.0	1.0	1.0
COG0057	1.0	1.0	0.0	1.0	1.0
COG0058	1.0	1.0	0.0	1.0	1.0
COG0059	0.0	1.0	1.0	1.0	0.0
COG0060	1.0	1.0	0.0	1.0	1.0
COG0061	1.0	1.0	0.0	1.0	1.0
COG0062	0.0	0.0	0.0	1.0	0.0
COG0063	1.0	1.0	0.0	0.0	1.0
COG0064	1.0	1.0	0.0	1.0	1.0
COG0065	0.0	1.0	0.0	1.0	0.0
COG0066	0.0	1.0	0.0	1.0	0.0
COG0068	0.0	1.0	0.0	0.0	0.0
COG0069	1.0	1.0	0.0	1.0	1.0
COG0070	1.0	1.0	0.0	1.0	1.0
COG0071	1.0	1.0	0.0	1.0	1.0
COG0072	1.0	1.0	0.0	1.0	1.0
COG0073	0.0	0.0	0.0	1.0	0.0
COG0074	1.0	1.0	0.0	1.0	1.0
COG0075	1.0	0.0	0.0	1.0	0.0
COG0076	0.0	0.0	0.0	1.0	0.0
COG0077	0.0	1.0	0.0	1.0	0.0
COG0078	1.0	1.0	0.0	1.0	1.0
COG0079	1.0	1.0	0.0	1.0	1.0
COG0080	1.0	1.0	1.0	1.0	1.0
COG0081	1.0	1.0	1.0	1.0	1.0
COG0082	1.0	1.0	0.0	1.0	1.0
COG0084	1.0	1.0	0.0	1.0	1.0
COG0085	1.0	1.0	0.0	1.0	1.0
COG0086	1.0	1.0	0.0	1.0	1.0
COG0087	1.0	1.0	0.0	1.0	1.0
COG0088	1.0	1.0	0.0	1.0	1.0
COG0089	1.0	1.0	0.0	0.0	1.0
COG0090	1.0	1.0	0.0	1.0	1.0
