	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001595.1_1	QGNH01001595.1	QGNH01001595.1	1	3	464	-1	E					0	False	F
QGNH01001595.1_2	QGNH01001595.1	QGNH01001595.1	2	464	2494	-1	E					0	False	F
QGNH01001595.1_3	QGNH01001595.1	QGNH01001595.1	3	2464	2856	-1	E					0	False	F
QGNH01001595.1_4	QGNH01001595.1	QGNH01001595.1	4	2861	3484	-1	E					0	False	F
QGNH01001595.1_5	QGNH01001595.1	QGNH01001595.1	5	3494	3922	-1	E					0	False	F
QGNH01001595.1_6	QGNH01001595.1	QGNH01001595.1	6	3932	4363	-1	E					0	False	F
QGNH01001595.1_7	QGNH01001595.1	QGNH01001595.1	7	4373	4738	-1	E					0	False	F
QGNH01001595.1_8	QGNH01001595.1	QGNH01001595.1	8	4745	5515	-1	E					0	False	F
QGNH01001595.1_9	QGNH01001595.1	QGNH01001595.1	9	5519	5707	-1	E					0	False	
QGNH01001595.1_10	QGNH01001595.1	QGNH01001595.1	10	5716	6252	-1	E					0	False	
QGNH01001595.1_11	QGNH01001595.1	QGNH01001595.1	11	6255	6587	-1	E					0	False	
QGNH01001595.1_12	QGNH01001595.1	QGNH01001595.1	12	6597	7550	-1	E					0	False	
QGNH01001595.1_13	QGNH01001595.1	QGNH01001595.1	13	7578	8366	-1	E					0	False	
QGNH01001595.1_14	QGNH01001595.1	QGNH01001595.1	14	8372	9301	-1	E					0	False	
QGNH01001595.1_15	QGNH01001595.1	QGNH01001595.1	15	9301	10143	-1	E					0	False	
QGNH01001595.1_16	QGNH01001595.1	QGNH01001595.1	16	10338	12209	-1	E					0	False	F
QGNH01001595.1_17	QGNH01001595.1	QGNH01001595.1	17	12530	12868	-1	E					0	False	F
QGNH01001595.1_18	QGNH01001595.1	QGNH01001595.1	18	12893	13099	-1	E					0	False	F
QGNH01001595.1_19	QGNH01001595.1	QGNH01001595.1	19	13096	14946	-1	D	Phage terminase large subunit [PF04466.16]				0	False	F
QGNH01001595.1_20	QGNH01001595.1	QGNH01001595.1	20	14959	15222	-1	E					0	False	F
QGNH01001595.1_21	QGNH01001595.1	QGNH01001595.1	21	15206	15820	-1	E					0	False	F
