ID	DJ	GIC31	RW1	RW2	Rleg
AA1	1	1	0	1	1
AA12	1	0	0	0	0
AA2	1	0	0	0	1
AA3	1	0	0	0	1
AA4	1	1	0	1	1
AA6	1	1	0	1	1
AA7	1	0	1	0	1
CBM34	0	1	0	1	0
CBM4	0	1	0	1	0
CBM41	0	1	0	1	0
CBM48	1	1	0	1	1
CBM50	1	1	0	1	1
CBM56	0	1	0	1	0
CBM67	0	0	0	0	1
CBM91	0	1	0	1	1
CE1	1	1	0	1	1
CE11	1	0	0	0	1
CE14	1	1	1	1	0
CE19	1	0	0	0	1
CE3	1	1	0	1	1
CE4	1	1	0	1	1
CE6	0	0	0	0	1
CE7	1	1	0	1	1
CE9	1	1	1	1	1
GH1	1	1	0	1	1
GH10	0	0	0	0	1
GH102	0	0	0	0	1
GH103	1	0	0	0	1
GH105	0	0	0	0	1
GH106	0	0	0	0	1
GH109	1	1	0	1	1
GH114	0	1	0	1	0
GH117	0	0	0	0	1
GH12	0	0	0	0	1
GH127	0	0	0	0	1
GH13	1	1	0	1	1
GH130	0	0	0	0	1
GH136	0	0	0	0	1
GH141	0	0	0	0	1
GH144	0	0	0	0	1
GH15	1	0	0	0	1
GH154	0	0	0	0	1
GH16	0	1	0	1	1
GH166	0	1	0	1	0
GH17	1	0	0	0	1
GH170	0	1	0	1	0
GH171	0	1	0	1	0
GH19	0	0	0	0	1
GH2	0	0	0	0	1
GH20	0	0	0	0	1
GH23	1	1	0	1	1
GH25	0	0	0	0	1
GH26	0	0	0	0	1
GH28	0	1	0	1	1
GH29	0	0	0	0	1
GH3	1	1	0	1	1
GH31	0	1	0	1	0
GH32	1	1	0	1	1
GH33	0	0	0	0	1
GH36	1	0	0	1	0
GH38	0	0	0	1	1
GH39	0	0	0	0	1
GH4	1	1	0	1	1
GH42	0	0	0	1	1
GH43	0	0	0	1	1
GH46	0	0	0	0	1
GH5	0	0	0	1	1
GH50	1	0	0	0	0
GH51	0	0	0	1	1
GH55	1	1	0	1	0
GH57	0	1	0	1	1
GH63	0	0	0	0	1
GH65	0	1	0	1	0
GH73	1	1	0	1	0
GH74	0	1	0	1	0
GH77	1	0	0	0	1
GH78	1	0	0	0	1
GH8	1	0	0	0	1
GH88	0	0	0	0	1
GH94	0	0	0	0	1
GH97	1	0	0	0	0
GT1	1	1	0	1	1
GT102	0	0	0	0	1
GT104	1	0	0	0	0
GT19	1	1	0	1	1
GT20	1	0	0	0	1
GT21	1	1	1	1	1
GT25	1	0	0	0	1
GT26	0	0	0	0	1
GT27	1	1	0	1	1
GT28	1	1	0	1	1
GT30	1	0	0	0	1
GT35	1	1	0	1	1
GT4	1	1	1	1	1
GT41	1	1	0	1	1
GT45	0	0	0	0	1
GT5	1	1	0	1	1
GT51	1	1	1	1	1
GT66	0	0	0	0	1
GT8	1	0	0	0	1
GT81	1	1	0	1	1
GT83	0	0	0	0	1
GT84	0	0	0	0	1
GT9	1	0	0	0	0
GT94	0	0	1	0	0
PL1	0	1	0	1	1
PL12	0	1	0	1	1
PL17	1	0	0	0	0
PL22	1	0	0	0	1
PL29	1	0	0	0	0
PL31	0	0	0	0	1
PL33	0	0	0	0	1
PL39	1	0	0	0	0
PL5	1	0	0	0	0
PL7	1	0	0	0	0
PL9	1	0	0	0	1
