	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000100.1_1	QGNH01000100.1	QGNH01000100.1	1	1	318	1	E																				0	False	F
QGNH01000100.1_2	QGNH01000100.1	QGNH01000100.1	2	341	649	1	E																				0	False	F
QGNH01000100.1_3	QGNH01000100.1	QGNH01000100.1	3	662	937	1	E																				0	False	F
QGNH01000100.1_4	QGNH01000100.1	QGNH01000100.1	4	1065	1367	1	E																				0	False	F
QGNH01000100.1_5	QGNH01000100.1	QGNH01000100.1	5	1336	1644	1	E																				0	False	F
QGNH01000100.1_6	QGNH01000100.1	QGNH01000100.1	6	1814	2026	1	D																Histone H1-like protein Hc1 [PF07432.16]				0	False	F
QGNH01000100.1_7	QGNH01000100.1	QGNH01000100.1	7	2084	2980	1	E																				0	False	F
QGNH01000100.1_8	QGNH01000100.1	QGNH01000100.1	8	3014	3427	1	E																				0	False	F
QGNH01000100.1_9	QGNH01000100.1	QGNH01000100.1	9	3441	3593	1	E																				0	False	F
QGNH01000100.1_10	QGNH01000100.1	QGNH01000100.1	10	3607	3894	1	E																				0	False	F
QGNH01000100.1_11	QGNH01000100.1	QGNH01000100.1	11	3993	4613	1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	YP_009174282.1	YP_009174282.1 hypothetical protein AR677_gp065 [Yellowstone lake phycodnavirus 3]	False	0.436	144.0	6.448e-38	MER0360030	S14	MER0360030 - family S14 unassigned peptidases () [S14.UPW]#S14#{peptidase unit: 43-229}~source AEO97631~	False	0.384	124.0	1.407e-30	Clp protease [PF00574.26]	VOG07465	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xs;Xh	0	False	VPF
QGNH01000100.1_12	QGNH01000100.1	QGNH01000100.1	12	4625	5104	1	E																				0	False	F
QGNH01000100.1_13	QGNH01000100.1	QGNH01000100.1	13	5092	5328	1	E																				0	False	
QGNH01000100.1_14	QGNH01000100.1	QGNH01000100.1	14	5347	5523	1	E																				0	False	
QGNH01000100.1_15	QGNH01000100.1	QGNH01000100.1	15	5532	6266	1	E																				0	False	
QGNH01000100.1_16	QGNH01000100.1	QGNH01000100.1	16	6338	7204	1	E																				0	False	
QGNH01000100.1_17	QGNH01000100.1	QGNH01000100.1	17	7167	8096	1	E																				0	False	
QGNH01000100.1_18	QGNH01000100.1	QGNH01000100.1	18	8093	8623	1	E																				0	False	
QGNH01000100.1_19	QGNH01000100.1	QGNH01000100.1	19	8653	9240	-1	E																				1	False	
QGNH01000100.1_20	QGNH01000100.1	QGNH01000100.1	20	9370	12618	1	C	K21929	uracil-DNA glycosylase [EC:3.2.2.27]	NP_899330.1	NP_899330.1 DNA polymerase [Vibrio phage KVP40]	False	0.253	221.0	1.232e-56								DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]; Uracil DNA glycosylase superfamily [PF03167.22]; Divergent Family B DNA polymerase [PF20286.1]	VOG00345	sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase; XhXr	Xr;Xh	0	False	V
QGNH01000100.1_21	QGNH01000100.1	QGNH01000100.1	21	12918	13613	1	E																	VOG11337	sp|Q9ZCV2|QUEE_RICPR 7-carboxy-7-deazaguanine synthase; Xh	Xh	0	False	
QGNH01000100.1_22	QGNH01000100.1	QGNH01000100.1	22	13622	13849	1	E																				0	False	
QGNH01000100.1_23	QGNH01000100.1	QGNH01000100.1	23	13851	14114	1	C	K02970	small subunit ribosomal protein S21														Ribosomal protein S21 [PF01165.23]				0	False	M
QGNH01000100.1_24	QGNH01000100.1	QGNH01000100.1	24	14101	14373	1	C	K04078	chaperonin GroES														Chaperonin 10 Kd subunit [PF00166.24]	VOG00279	sp|P17313|VG31_BPT4 Capsid assembly protein Gp31; XhXs	Xs;Xh	0	False	V
QGNH01000100.1_25	QGNH01000100.1	QGNH01000100.1	25	14354	14584	1	E																				0	False	
QGNH01000100.1_26	QGNH01000100.1	QGNH01000100.1	26	14584	14817	1	E																				0	False	
QGNH01000100.1_27	QGNH01000100.1	QGNH01000100.1	27	14954	16327	1	E																				0	False	
QGNH01000100.1_28	QGNH01000100.1	QGNH01000100.1	28	16328	16597	1	E																				1	False	
QGNH01000100.1_29	QGNH01000100.1	QGNH01000100.1	29	16594	16974	1	E																				1	False	
QGNH01000100.1_30	QGNH01000100.1	QGNH01000100.1	30	16971	17198	1	E																				0	False	
QGNH01000100.1_31	QGNH01000100.1	QGNH01000100.1	31	17195	18754	1	D			YP_009664393.1	YP_009664393.1 DnaB-like replicative helicase [Bacillus phage PBS1]	False	0.194	87.0	1.588e-16								DnaB-like helicase C terminal domain [PF03796.18]	VOG04360	sp|P04530|HELIC_BPT4 DnaB-like replicative helicase; XhXr	Xr;Xh	0	False	V
QGNH01000100.1_32	QGNH01000100.1	QGNH01000100.1	32	18843	19958	1	E																				0	False	
QGNH01000100.1_33	QGNH01000100.1	QGNH01000100.1	33	20015	20353	1	E																				0	False	
QGNH01000100.1_34	QGNH01000100.1	QGNH01000100.1	34	20370	20609	1	E																				0	False	
QGNH01000100.1_35	QGNH01000100.1	QGNH01000100.1	35	20609	21055	1	E																				0	False	
QGNH01000100.1_36	QGNH01000100.1	QGNH01000100.1	36	21069	22016	1	E																				0	False	
QGNH01000100.1_37	QGNH01000100.1	QGNH01000100.1	37	22075	22617	1	E																				0	False	
QGNH01000100.1_38	QGNH01000100.1	QGNH01000100.1	38	22640	23257	1	E																				0	False	
QGNH01000100.1_39	QGNH01000100.1	QGNH01000100.1	39	23347	26403	1	D			YP_009664217.1	YP_009664217.1 virion structural protein [Bacillus phage PBS1]	False	0.209	111.0	4.606e-23	MER0194189	N10	MER0194189 - family N10 unassigned peptide lyases (Synechocystis sp. PCC6803) [N10.UPW]#N10#{peptidase unit: 437-618, 822-872}~source BAA17720~	False	0.397	128.0	5.875e-28	Intein splicing domain [PF14890.9]; Bacteriophage T4-like portal protein (Gp20) [PF07230.14]	VOG00778	sp|E1XTG6|PORTL_BPSAV Portal protein; XhXpXrXs	Xr;Xs;Xp;Xh	0	False	V
QGNH01000100.1_40	QGNH01000100.1	QGNH01000100.1	40	26459	27400	1	E																				0	False	
QGNH01000100.1_41	QGNH01000100.1	QGNH01000100.1	41	27471	27743	1	E																				0	False	
QGNH01000100.1_42	QGNH01000100.1	QGNH01000100.1	42	27766	28674	1	D																TnsA-like endonuclease N terminal [PF08722.14]				0	False	
QGNH01000100.1_43	QGNH01000100.1	QGNH01000100.1	43	28686	28808	1	E																				0	False	
QGNH01000100.1_44	QGNH01000100.1	QGNH01000100.1	44	28786	29367	1	D			YP_007517954.1	YP_007517954.1 prohead core scaffold and protease [Pelagibacter phage HTVC008M]	False	0.361	85.0	1.229e-17	MER1151973	S77	MER1151973 - family S77 (general) (Wuchereria bancrofti) [S77.UPW]#S77#{peptidase unit: 3-146}~source WBA_0000940501~	False	0.354	85.0	2.271e-17	Prohead core protein serine protease [PF03420.16]				0	False	P
QGNH01000100.1_45	QGNH01000100.1	QGNH01000100.1	45	29389	29823	1	E																				0	False	
QGNH01000100.1_46	QGNH01000100.1	QGNH01000100.1	46	29837	30139	1	E																				0	False	
QGNH01000100.1_47	QGNH01000100.1	QGNH01000100.1	47	30183	30485	1	E																				0	False	
QGNH01000100.1_48	QGNH01000100.1	QGNH01000100.1	48	30488	30901	1	E																				0	False	
QGNH01000100.1_49	QGNH01000100.1	QGNH01000100.1	49	31100	32533	1	D			YP_004934369.1	YP_004934369.1 major head protein [Yersinia phage phiR1-37]	False	0.219	118.0	3.278e-26								Major capsid protein Gp23 [PF07068.14]	VOG20128	REFSEQ major head protein; Xu	Xu	0	False	
QGNH01000100.1_50	QGNH01000100.1	QGNH01000100.1	50	32615	33112	-1	E																				0	False	
QGNH01000100.1_51	QGNH01000100.1	QGNH01000100.1	51	33230	33430	-1	E																				0	False	
QGNH01000100.1_52	QGNH01000100.1	QGNH01000100.1	52	33579	33845	-1	E																				0	False	
QGNH01000100.1_53	QGNH01000100.1	QGNH01000100.1	53	34274	34573	-1	E																				0	False	
