	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001539.1_1	QGNH01001539.1	QGNH01001539.1	1	53	502	-1	E											0	False	F
QGNH01001539.1_2	QGNH01001539.1	QGNH01001539.1	2	508	1626	-1	E	YP_009792668.1	YP_009792668.1 baseplate protein [Bordetella phage vB_BbrM_PHB04]	False	0.449	239.0	7.2859999999999986e-68					0	False	F
QGNH01001539.1_3	QGNH01001539.1	QGNH01001539.1	3	1623	2795	-1	D	YP_009792669.1	YP_009792669.1 baseplate J-like protein [Bordetella phage vB_BbrM_PHB04]	False	0.464	314.0	3.292e-93	Baseplate J-like protein [PF04865.17]	VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xs;Xh	0	False	VF
QGNH01001539.1_4	QGNH01001539.1	QGNH01001539.1	4	2796	3455	-1	D	YP_009792670.1	YP_009792670.1 baseplate protein [Bordetella phage vB_BbrM_PHB04]	False	0.396	136.0	7.492e-35	Protein of unknown function (DUF2634) [PF10934.11]	VOG00875	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25; XhXs	Xs;Xh	0	False	VF
QGNH01001539.1_5	QGNH01001539.1	QGNH01001539.1	5	3452	4618	-1	E	YP_009792671.1	YP_009792671.1 virion structural protein [Bordetella phage vB_BbrM_PHB04]	False	0.298	153.0	1.484e-38		VOG07395	REFSEQ virion structural protein; Xu	Xu	0	False	F
QGNH01001539.1_6	QGNH01001539.1	QGNH01001539.1	6	4634	5371	-1	E	YP_009792672.1	YP_009792672.1 hypothetical protein HOS14_gp006 [Bordetella phage vB_BbrM_PHB04]	False	0.275	89.0	1.271e-18					0	False	F
QGNH01001539.1_7	QGNH01001539.1	QGNH01001539.1	7	5368	6501	-1	E	YP_009792673.1	YP_009792673.1 hypothetical protein HOS14_gp007 [Bordetella phage vB_BbrM_PHB04]	False	0.285	156.0	1.33e-39					0	False	
QGNH01001539.1_8	QGNH01001539.1	QGNH01001539.1	8	6467	9493	-1	E	YP_009792674.1	YP_009792674.1 internal virion protein with endolysin domain [Bordetella phage vB_BbrM_PHB04]	False	0.216	105.0	2.165e-21					0	False	
QGNH01001539.1_9	QGNH01001539.1	QGNH01001539.1	9	9509	9754	-1	D							Superinfection immunity protein [PF14373.9]	VOG04694	sp|P08986|BIMM_BPT4 Immunity protein; Xh	Xh	0	False	
QGNH01001539.1_10	QGNH01001539.1	QGNH01001539.1	10	9754	9948	-1	E											0	False	
QGNH01001539.1_11	QGNH01001539.1	QGNH01001539.1	11	10289	10678	-1	E											0	False	
QGNH01001539.1_12	QGNH01001539.1	QGNH01001539.1	12	10945	11382	-1	E	YP_009792677.1	YP_009792677.1 virion structural protein [Bordetella phage vB_BbrM_PHB04]	False	0.529	136.0	2.941e-36		VOG07390	sp|P85229|VPN5_BPPHE Virion protein 5; Xs	Xs	0	False	V
QGNH01001539.1_13	QGNH01001539.1	QGNH01001539.1	13	11398	13170	-1	E	YP_009792678.1	YP_009792678.1 tail sheath [Bordetella phage vB_BbrM_PHB04]	True	0.492	522.0	1.791e-161		VOG01001	sp|P85225|VPN1_BPPHE Putative tail sheath protein; Xs	Xs	0	False	V
QGNH01001539.1_14	QGNH01001539.1	QGNH01001539.1	14	13252	14073	1	E											0	False	F
QGNH01001539.1_15	QGNH01001539.1	QGNH01001539.1	15	14060	14416	1	E											0	False	F
QGNH01001539.1_16	QGNH01001539.1	QGNH01001539.1	16	14424	15302	-1	E	YP_009792680.1	YP_009792680.1 hypothetical protein HOS14_gp014 [Bordetella phage vB_BbrM_PHB04]	False	0.353	149.0	4.107e-38					0	False	F
QGNH01001539.1_17	QGNH01001539.1	QGNH01001539.1	17	15299	16171	-1	E	YP_009792681.1	YP_009792681.1 hypothetical protein HOS14_gp015 [Bordetella phage vB_BbrM_PHB04]	False	0.304	134.0	3.5979999999999995e-33					0	False	F
QGNH01001539.1_18	QGNH01001539.1	QGNH01001539.1	18	16294	16941	-1	E	YP_009792682.1	YP_009792682.1 virion structural protein [Bordetella phage vB_BbrM_PHB04]	False	0.406	149.0	2.109e-39		VOG02665	REFSEQ virion structural protein; Xu	Xu	0	False	F
QGNH01001539.1_19	QGNH01001539.1	QGNH01001539.1	19	16943	18049	-1	E	YP_009792683.1	YP_009792683.1 tail fiber protein [Bordetella phage vB_BbrM_PHB04]	False	0.402	156.0	1.429e-39		VOG07388	REFSEQ tail fiber protein; Xu	Xu	0	False	F
QGNH01001539.1_20	QGNH01001539.1	QGNH01001539.1	20	18049	18462	-1	E											0	False	F
