	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
MK310226_MK310226.1_1	MK310226	MK310226.1	1	100	669	1	E											0
MK310226_MK310226.1_2	MK310226	MK310226.1	2	656	2302	1	E											0
MK310226_MK310226.1_3	MK310226	MK310226.1	3	2316	3944	1	E											0
MK310226_MK310226.1_4	MK310226	MK310226.1	4	3883	4083	1	E											0
MK310226_MK310226.1_5	MK310226	MK310226.1	5	4086	5273	1	D										Phage Mu protein F like protein [PF04233.17]	0
MK310226_MK310226.1_6	MK310226	MK310226.1	6	5384	7300	1	E											0
MK310226_MK310226.1_7	MK310226	MK310226.1	7	7303	7755	1	E											0
MK310226_MK310226.1_8	MK310226	MK310226.1	8	7801	8928	1	E											0
MK310226_MK310226.1_9	MK310226	MK310226.1	9	8944	9363	1	E											0
MK310226_MK310226.1_10	MK310226	MK310226.1	10	9398	9784	1	E											0
MK310226_MK310226.1_11	MK310226	MK310226.1	11	9781	10191	1	E											0
MK310226_MK310226.1_12	MK310226	MK310226.1	12	10188	10421	1	E											0
MK310226_MK310226.1_13	MK310226	MK310226.1	13	10414	10701	1	E											0
MK310226_MK310226.1_14	MK310226	MK310226.1	14	10703	11149	1	D										Phage virion morphogenesis family [PF05069.16]	0
MK310226_MK310226.1_15	MK310226	MK310226.1	15	11156	11746	1	E											0
MK310226_MK310226.1_16	MK310226	MK310226.1	16	11767	13071	1	E											0
MK310226_MK310226.1_17	MK310226	MK310226.1	17	13082	13480	1	E											0
MK310226_MK310226.1_18	MK310226	MK310226.1	18	13492	13932	1	E											0
MK310226_MK310226.1_19	MK310226	MK310226.1	19	13935	14144	1	E											0
MK310226_MK310226.1_20	MK310226	MK310226.1	20	14147	16891	1	D										Phage-related minor tail protein [PF10145.12]	0
MK310226_MK310226.1_21	MK310226	MK310226.1	21	16895	17422	1	E											0
