	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001811.1_1	QGNH01001811.1	QGNH01001811.1	1	191	607	-1	E											0	False	F
QGNH01001811.1_2	QGNH01001811.1	QGNH01001811.1	2	595	1005	-1	E											0	False	F
QGNH01001811.1_3	QGNH01001811.1	QGNH01001811.1	3	1002	1310	-1	E											0	False	F
QGNH01001811.1_4	QGNH01001811.1	QGNH01001811.1	4	1307	1630	-1	E											0	False	F
QGNH01001811.1_5	QGNH01001811.1	QGNH01001811.1	5	1631	2326	-1	E											0	False	F
QGNH01001811.1_6	QGNH01001811.1	QGNH01001811.1	6	2570	3979	-1	E											0	False	F
QGNH01001811.1_7	QGNH01001811.1	QGNH01001811.1	7	3980	4783	-1	E											0	False	F
QGNH01001811.1_8	QGNH01001811.1	QGNH01001811.1	8	4780	5418	-1	E											0	False	F
QGNH01001811.1_9	QGNH01001811.1	QGNH01001811.1	9	5418	6011	-1	E											0	False	F
QGNH01001811.1_10	QGNH01001811.1	QGNH01001811.1	10	6011	6256	-1	E											0	False	F
QGNH01001811.1_11	QGNH01001811.1	QGNH01001811.1	11	6256	6843	-1	D	YP_009324472.1	YP_009324472.1 HNH endonuclease [Gordonia phage GAL1]	False	70.0	8.693e-13	0.365	HNH endonuclease [PF14279.9]				1	False	F
QGNH01001811.1_12	QGNH01001811.1	QGNH01001811.1	12	6920	7972	-1	E											0	False	F
QGNH01001811.1_13	QGNH01001811.1	QGNH01001811.1	13	7976	8923	-1	E											0	False	F
QGNH01001811.1_14	QGNH01001811.1	QGNH01001811.1	14	9059	9505	-1	E											0	False	F
QGNH01001811.1_15	QGNH01001811.1	QGNH01001811.1	15	9520	9855	1	E											0	False	F
QGNH01001811.1_16	QGNH01001811.1	QGNH01001811.1	16	9918	10832	-1	E											0	False	F
