	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000988.1_1	QGNH01000988.1	QGNH01000988.1	1	2	214	-1	E																		0	False	F
QGNH01000988.1_2	QGNH01000988.1	QGNH01000988.1	2	463	1995	1	D	YP_009609693.1	YP_009609693.1 tail sheath [Acidovorax phage ACP17]	True	0.366	376.0	7.72e-113								Phage tail sheath protein subtilisin-like domain [PF04984.17]; Phage tail sheath C-terminal domain [PF17482.5]	VOG00168	sp|P13332|TSP_BPT4 Tail sheath protein; XpXrXs	Xp;Xs;Xr	0	False	VF
QGNH01000988.1_3	QGNH01000988.1	QGNH01000988.1	3	2017	2541	1	E	YP_007674508.1	YP_007674508.1 tail tube [Synechococcus phage S-SKS1]	False	0.374	109.0	1.861e-26									VOG00050	sp|P13333|TUBE_BPT4 Tail tube protein gp19; XhXpXrXs	Xh;Xp;Xs;Xr	0	False	VF
QGNH01000988.1_4	QGNH01000988.1	QGNH01000988.1	4	2591	4237	1	D	YP_009810938.1	YP_009810938.1 portal protein [Synechococcus phage S-T4]	True	0.496	459.0	1.035e-140								Bacteriophage T4-like portal protein (Gp20) [PF07230.14]	VOG00778	sp|E1XTG6|PORTL_BPSAV Portal protein; XhXpXrXs	Xh;Xp;Xs;Xr	0	False	VF
QGNH01000988.1_5	QGNH01000988.1	QGNH01000988.1	5	4255	4782	1	E																		0	False	F
QGNH01000988.1_6	QGNH01000988.1	QGNH01000988.1	6	4795	6354	1	E																		0	False	F
QGNH01000988.1_7	QGNH01000988.1	QGNH01000988.1	7	6296	7045	1	E																		0	False	
QGNH01000988.1_8	QGNH01000988.1	QGNH01000988.1	8	7046	7621	1	E															VOG00771	sp|P04538|GP68_BPT4 Prohead assembly protein gp68; Xs	Xs	0	False	VF
QGNH01000988.1_9	QGNH01000988.1	QGNH01000988.1	9	7762	8730	1	D	NP_899607.1	NP_899607.1 head maturation protease [Vibrio phage KVP40]	False	0.485	159.0	2.434e-41	MER0123956	S77	MER0123956 - prohead peptidase gp21 (bacteriophage T4) () [S77.001]#S77#{peptidase unit: 2-210}~source AAQ64430~	False	0.485	159.0	4.498e-41	Prohead core protein serine protease [PF03420.16]	VOG00647	sp|P06807|PCPP_BPT4 Prohead core protein protease; XhXs	Xh;Xs	0	False	VPF
QGNH01000988.1_10	QGNH01000988.1	QGNH01000988.1	10	8731	9057	1	E																		0	False	F
QGNH01000988.1_11	QGNH01000988.1	QGNH01000988.1	11	9058	9267	1	E																		0	False	F
QGNH01000988.1_12	QGNH01000988.1	QGNH01000988.1	12	9316	10053	1	D	YP_007517956.1	YP_007517956.1 head scaffolding protein [Pelagibacter phage HTVC008M]	False	0.361	128.0	6.839e-32	MER0006135	S77	MER0006135 - family S77 (general) () [S77.UPW]#S77#{peptidase unit: 1-213}~source Q9XJ89~	False	0.252	72.0	1.982e-12		VOG03635	sp|Q9ZXI1|SCAF_BPAR1 Capsid assembly scaffolding protein; Xs	Xs	0	False	VPF
QGNH01000988.1_13	QGNH01000988.1	QGNH01000988.1	13	10271	11653	1	D	YP_009098938.1	YP_009098938.1 major head protein [Caulobacter phage Cr30]	True	0.454	370.0	1.301e-111								Major capsid protein Gp23 [PF07068.14]	VOG00452	sp|P04535|CAPSH_BPT4 Major capsid protein; XhXs	Xh;Xs	0	False	VF
QGNH01000988.1_14	QGNH01000988.1	QGNH01000988.1	14	11823	12215	1	E																		0	False	F
QGNH01000988.1_15	QGNH01000988.1	QGNH01000988.1	15	12202	12474	1	D														Protein of unknown function (DUF559) [PF04480.15]				0	False	F
