	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001363.1_1	QGNH01001363.1	QGNH01001363.1	1	3	200	-1	E															0	False	F
QGNH01001363.1_2	QGNH01001363.1	QGNH01001363.1	2	438	659	-1	E															0	False	F
QGNH01001363.1_3	QGNH01001363.1	QGNH01001363.1	3	775	999	-1	E															0	False	F
QGNH01001363.1_4	QGNH01001363.1	QGNH01001363.1	4	1003	1215	-1	E															0	False	F
QGNH01001363.1_5	QGNH01001363.1	QGNH01001363.1	5	1218	1862	-1	E															0	False	F
QGNH01001363.1_6	QGNH01001363.1	QGNH01001363.1	6	1859	2068	-1	E															0	False	F
QGNH01001363.1_7	QGNH01001363.1	QGNH01001363.1	7	2061	2210	-1	E															0	False	F
QGNH01001363.1_8	QGNH01001363.1	QGNH01001363.1	8	2207	2416	-1	E															0	False	F
QGNH01001363.1_9	QGNH01001363.1	QGNH01001363.1	9	2409	2675	-1	E															0	False	F
QGNH01001363.1_10	QGNH01001363.1	QGNH01001363.1	10	2672	4261	-1	D							Bacteriophage head to tail connecting protein [PF12236.11]					VOG00516	sp|P03728|PORTL_BPT7 Portal protein; XpXrXs	Xp;Xr;Xs	0	False	VF
QGNH01001363.1_11	QGNH01001363.1	QGNH01001363.1	11	4264	4425	-1	E															0	False	F
QGNH01001363.1_12	QGNH01001363.1	QGNH01001363.1	12	4427	4879	-1	E															0	False	F
QGNH01001363.1_13	QGNH01001363.1	QGNH01001363.1	13	5006	5242	-1	E															0	False	
QGNH01001363.1_14	QGNH01001363.1	QGNH01001363.1	14	5387	5647	-1	E															0	False	
QGNH01001363.1_15	QGNH01001363.1	QGNH01001363.1	15	5652	5873	-1	E															0	False	
QGNH01001363.1_16	QGNH01001363.1	QGNH01001363.1	16	5870	5989	-1	E															0	False	
QGNH01001363.1_17	QGNH01001363.1	QGNH01001363.1	17	5986	6171	-1	E															0	False	
QGNH01001363.1_18	QGNH01001363.1	QGNH01001363.1	18	6171	6356	-1	E															0	False	
QGNH01001363.1_19	QGNH01001363.1	QGNH01001363.1	19	6369	6554	-1	E															0	False	
QGNH01001363.1_20	QGNH01001363.1	QGNH01001363.1	20	6547	7002	-1	E															0	False	
QGNH01001363.1_21	QGNH01001363.1	QGNH01001363.1	21	7195	7398	1	E															0	False	
QGNH01001363.1_22	QGNH01001363.1	QGNH01001363.1	22	7448	7651	1	E															0	False	
QGNH01001363.1_23	QGNH01001363.1	QGNH01001363.1	23	7844	8242	1	D							Large polyvalent protein associated domain 29 [PF18847.4]								0	False	
QGNH01001363.1_24	QGNH01001363.1	QGNH01001363.1	24	8339	8560	1	E															0	False	
QGNH01001363.1_25	QGNH01001363.1	QGNH01001363.1	25	8573	8701	1	E															0	False	
QGNH01001363.1_26	QGNH01001363.1	QGNH01001363.1	26	8685	8882	-1	E															0	False	
QGNH01001363.1_27	QGNH01001363.1	QGNH01001363.1	27	8921	9118	-1	E															0	False	
QGNH01001363.1_28	QGNH01001363.1	QGNH01001363.1	28	9121	9327	-1	E															0	False	
QGNH01001363.1_29	QGNH01001363.1	QGNH01001363.1	29	9347	9898	-1	D	YP_009009740.1	YP_009009740.1 endolysin [Vibrio phage PVA1]	False	0.301	65.0	3.452e-11	Glycosyl hydrolase 108 [PF05838.15]; Predicted Peptidoglycan domain [PF09374.13]	GH108	GH108 N-acetylmuramidase (EC 3.2.1.17)	3.2.1.17	GH108.hmm	VOG04462	REFSEQ endolysin; Xu	Xu	0	False	
QGNH01001363.1_30	QGNH01001363.1	QGNH01001363.1	30	9908	10144	-1	E															0	False	
QGNH01001363.1_31	QGNH01001363.1	QGNH01001363.1	31	10400	11257	1	E															0	False	
QGNH01001363.1_32	QGNH01001363.1	QGNH01001363.1	32	11815	11982	-1	E															0	False	
QGNH01001363.1_33	QGNH01001363.1	QGNH01001363.1	33	11984	12343	-1	E	YP_009601846.1	YP_009601846.1 hypothetical protein FDH51_gp59 [Pseudomonas phage LKO4]	False	0.749	88.0	7.05e-20									0	False	
QGNH01001363.1_34	QGNH01001363.1	QGNH01001363.1	34	12303	12503	-1	E															0	False	
QGNH01001363.1_35	QGNH01001363.1	QGNH01001363.1	35	12600	12788	-1	E															0	False	
QGNH01001363.1_36	QGNH01001363.1	QGNH01001363.1	36	12967	13140	-1	E															0	False	
QGNH01001363.1_37	QGNH01001363.1	QGNH01001363.1	37	13246	13416	-1	E															0	False	
QGNH01001363.1_38	QGNH01001363.1	QGNH01001363.1	38	13528	13731	-1	D							Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]								0	False	
QGNH01001363.1_39	QGNH01001363.1	QGNH01001363.1	39	13892	14143	1	E															0	False	
QGNH01001363.1_40	QGNH01001363.1	QGNH01001363.1	40	14267	15154	1	D	YP_010655257.1	YP_010655257.1 putative NTPase [Pseudoalteromonas phage vB_PspS-H40/1]	False	0.282	61.0	4.767e-09	AAA domain [PF13479.9]					VOG00709	sp|O31907|YORG_BACSU SPbeta prophage-derived uncharacterized protein YorG; Xu	Xu	0	False	
QGNH01001363.1_41	QGNH01001363.1	QGNH01001363.1	41	15141	15632	1	D	YP_007010952.1	YP_007010952.1 Mu Gam-like end protection [Deep-sea thermophilic phage D6E]	False	0.341	92.0	1.2150000000000002e-20	Siphovirus Gp157 [PF05565.14]					VOG09135	REFSEQ Mu Gam-like end protection; Xu	Xu	0	False	
QGNH01001363.1_42	QGNH01001363.1	QGNH01001363.1	42	15640	16158	1	E															0	False	
QGNH01001363.1_43	QGNH01001363.1	QGNH01001363.1	43	16370	17239	-1	E	YP_010684624.1	YP_010684624.1 tail fiber protein [Escherichia phage ZCEC13]	False	0.268	93.0	1.654e-19									0	False	
QGNH01001363.1_44	QGNH01001363.1	QGNH01001363.1	44	17254	17718	-1	E															0	False	
QGNH01001363.1_45	QGNH01001363.1	QGNH01001363.1	45	17733	18197	-1	E															0	False	
QGNH01001363.1_46	QGNH01001363.1	QGNH01001363.1	46	18200	18358	-1	E															0	False	
