	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000369.1_1	QGNH01000369.1	QGNH01000369.1	1	926	1078	1	E					0	False	F
QGNH01000369.1_2	QGNH01000369.1	QGNH01000369.1	2	1161	1400	1	E					0	False	F
QGNH01000369.1_3	QGNH01000369.1	QGNH01000369.1	3	1494	1922	1	E					0	False	F
QGNH01000369.1_4	QGNH01000369.1	QGNH01000369.1	4	1919	3841	1	E		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000369.1_5	QGNH01000369.1	QGNH01000369.1	5	3843	4082	1	E					0	False	F
QGNH01000369.1_6	QGNH01000369.1	QGNH01000369.1	6	4088	4426	1	E					0	False	F
QGNH01000369.1_7	QGNH01000369.1	QGNH01000369.1	7	4445	6349	1	E					0	False	F
QGNH01000369.1_8	QGNH01000369.1	QGNH01000369.1	8	6346	6603	1	E					0	False	F
QGNH01000369.1_9	QGNH01000369.1	QGNH01000369.1	9	6605	7888	1	E					0	False	F
QGNH01000369.1_10	QGNH01000369.1	QGNH01000369.1	10	8042	9046	1	E					0	False	F
QGNH01000369.1_11	QGNH01000369.1	QGNH01000369.1	11	9126	9317	1	E					0	False	F
QGNH01000369.1_12	QGNH01000369.1	QGNH01000369.1	12	9349	9858	1	E					0	False	F
QGNH01000369.1_13	QGNH01000369.1	QGNH01000369.1	13	9927	10247	1	E					0	False	F
QGNH01000369.1_14	QGNH01000369.1	QGNH01000369.1	14	10247	10624	1	E					0	False	F
