	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001845.1_1	QGNH01001845.1	QGNH01001845.1	1	3	95	1	E											0	False	F
QGNH01001845.1_2	QGNH01001845.1	QGNH01001845.1	2	390	749	1	E											0	False	F
QGNH01001845.1_3	QGNH01001845.1	QGNH01001845.1	3	746	3550	1	E	YP_007517711.1	YP_007517711.1 tail protein [Pelagibacter phage HTVC010P]	False	135.0	1.386e-30	0.173					0	False	F
QGNH01001845.1_4	QGNH01001845.1	QGNH01001845.1	4	3550	3954	1	E											0	False	F
QGNH01001845.1_5	QGNH01001845.1	QGNH01001845.1	5	3954	4475	1	E											0	False	F
QGNH01001845.1_6	QGNH01001845.1	QGNH01001845.1	6	4477	4878	1	E											0	False	F
QGNH01001845.1_7	QGNH01001845.1	QGNH01001845.1	7	4823	5911	1	E											0	False	F
QGNH01001845.1_8	QGNH01001845.1	QGNH01001845.1	8	5898	9281	1	E											0	False	F
QGNH01001845.1_9	QGNH01001845.1	QGNH01001845.1	9	9278	9406	1	E											0	False	F
QGNH01001845.1_10	QGNH01001845.1	QGNH01001845.1	10	9390	10265	1	E											0	False	F
