	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001827.1_1	QGNH01001827.1	QGNH01001827.1	1	301	498	-1	C	K07339	mRNA interferase HicA [EC:3.1.-.-]							HicA toxin of bacterial toxin-antitoxin, [PF07927.15]				0	False	F
QGNH01001827.1_2	QGNH01001827.1	QGNH01001827.1	2	498	764	-1	E													0	False	F
QGNH01001827.1_3	QGNH01001827.1	QGNH01001827.1	3	879	1307	-1	E													0	False	F
QGNH01001827.1_4	QGNH01001827.1	QGNH01001827.1	4	1315	1533	-1	E													0	False	F
QGNH01001827.1_5	QGNH01001827.1	QGNH01001827.1	5	1608	1979	-1	E													0	False	F
QGNH01001827.1_6	QGNH01001827.1	QGNH01001827.1	6	2127	2840	-1	E													0	False	F
QGNH01001827.1_7	QGNH01001827.1	QGNH01001827.1	7	2842	3702	-1	D			YP_009838369.1	YP_009838369.1 terminase large subunit [Vibrio phage YC]	False	78.0	1.383e-14	0.249	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xh;Xr	0	False	VF
QGNH01001827.1_8	QGNH01001827.1	QGNH01001827.1	8	3689	4195	-1	E													0	False	F
QGNH01001827.1_9	QGNH01001827.1	QGNH01001827.1	9	4206	4940	-1	E													0	False	F
QGNH01001827.1_10	QGNH01001827.1	QGNH01001827.1	10	4944	5072	-1	E													0	False	F
QGNH01001827.1_11	QGNH01001827.1	QGNH01001827.1	11	5092	5547	-1	E													0	False	F
QGNH01001827.1_12	QGNH01001827.1	QGNH01001827.1	12	5601	6194	-1	E													0	False	F
QGNH01001827.1_13	QGNH01001827.1	QGNH01001827.1	13	6213	6563	-1	E													0	False	F
QGNH01001827.1_14	QGNH01001827.1	QGNH01001827.1	14	6556	6699	-1	E													0	False	F
QGNH01001827.1_15	QGNH01001827.1	QGNH01001827.1	15	6855	7430	-1	E													0	False	F
QGNH01001827.1_16	QGNH01001827.1	QGNH01001827.1	16	7509	7757	-1	E													0	False	F
QGNH01001827.1_17	QGNH01001827.1	QGNH01001827.1	17	7759	9867	-1	E													0	False	F
QGNH01001827.1_18	QGNH01001827.1	QGNH01001827.1	18	9864	10223	-1	E													0	False	F
QGNH01001827.1_19	QGNH01001827.1	QGNH01001827.1	19	10333	10491	-1	E													0	False	F
