	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001532.1_1	QGNH01001532.1	QGNH01001532.1	1	477	902	1	E											0	False	F
QGNH01001532.1_2	QGNH01001532.1	QGNH01001532.1	2	928	1266	1	E											0	False	F
QGNH01001532.1_3	QGNH01001532.1	QGNH01001532.1	3	1343	1825	1	E											0	False	F
QGNH01001532.1_4	QGNH01001532.1	QGNH01001532.1	4	1834	1965	1	E											0	False	F
QGNH01001532.1_5	QGNH01001532.1	QGNH01001532.1	5	2150	2263	1	E											0	False	F
QGNH01001532.1_6	QGNH01001532.1	QGNH01001532.1	6	2287	2412	1	E											0	False	F
QGNH01001532.1_7	QGNH01001532.1	QGNH01001532.1	7	2440	3906	1	D	YP_010078665.1	YP_010078665.1 terminase large subunit [Ralstonia phage Gervaise]	False	0.192	89.0	3.282e-17	Hint module [PF01079.23]; Intein splicing domain [PF14890.9]				0	False	F
QGNH01001532.1_8	QGNH01001532.1	QGNH01001532.1	8	3929	5047	1	E											0	False	F
QGNH01001532.1_9	QGNH01001532.1	QGNH01001532.1	9	5054	5443	1	E											0	False	
QGNH01001532.1_10	QGNH01001532.1	QGNH01001532.1	10	5522	7609	1	E											0	False	
QGNH01001532.1_11	QGNH01001532.1	QGNH01001532.1	11	7628	7867	1	E											0	False	
QGNH01001532.1_12	QGNH01001532.1	QGNH01001532.1	12	8009	8116	1	E											0	False	
QGNH01001532.1_13	QGNH01001532.1	QGNH01001532.1	13	8121	8435	1	E											0	False	
QGNH01001532.1_14	QGNH01001532.1	QGNH01001532.1	14	8459	9478	1	E											0	False	
QGNH01001532.1_15	QGNH01001532.1	QGNH01001532.1	15	9642	10874	1	E											0	False	
QGNH01001532.1_16	QGNH01001532.1	QGNH01001532.1	16	10882	11430	1	E											0	False	
QGNH01001532.1_17	QGNH01001532.1	QGNH01001532.1	17	11430	12290	1	E											0	False	
QGNH01001532.1_18	QGNH01001532.1	QGNH01001532.1	18	12300	12662	1	E											0	False	
QGNH01001532.1_19	QGNH01001532.1	QGNH01001532.1	19	12704	13507	1	D							Ice-binding-like [PF11999.11]				0	False	
QGNH01001532.1_20	QGNH01001532.1	QGNH01001532.1	20	13792	14805	1	E											0	False	F
QGNH01001532.1_21	QGNH01001532.1	QGNH01001532.1	21	14802	15323	-1	E	YP_009223806.1	YP_009223806.1 HNH endonuclease [Geobacillus virus E3]	False	0.354	90.0	1.128e-19					0	False	F
QGNH01001532.1_22	QGNH01001532.1	QGNH01001532.1	22	15395	15772	1	E											0	False	F
QGNH01001532.1_23	QGNH01001532.1	QGNH01001532.1	23	15777	17303	1	E											0	False	F
QGNH01001532.1_24	QGNH01001532.1	QGNH01001532.1	24	17326	17601	1	E											0	False	F
QGNH01001532.1_25	QGNH01001532.1	QGNH01001532.1	25	17618	18667	1	E	YP_001950060.1	YP_001950060.1 tail fiber protein [Ralstonia phage phiRSL1]	False	0.273	65.0	4.362e-10					0	False	F
