	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_021343_1	NC_021343	NC_021343	1	1	75	-1	E																				0	False	F
NC_021343_2	NC_021343	NC_021343	2	282	1139	1	D			YP_008060476.1	YP_008060476.1 DUF550 domain-containing protein [Burkholderia phage ST79]	True	0.955	574.0	2.484e-185								dATP/dGTP pyrophosphohydrolase [PF04447.15]				0	False	F
NC_021343_3	NC_021343	NC_021343	3	1129	1449	1	E			YP_008060477.1	YP_008060477.1 hypothetical protein M190_gp03 [Burkholderia phage ST79]	False	0.908	203.0	2.314e-60												0	False	F
NC_021343_4	NC_021343	NC_021343	4	1654	1884	1	E			YP_008060479.1	YP_008060479.1 hypothetical protein M190_gp05 [Burkholderia phage ST79]	False	0.995	162.0	1.393e-46									VOG26493	REFSEQ gp21, hypothetical protein; Xu	Xu	0	False	F
NC_021343_5	NC_021343	NC_021343	5	1881	2786	1	C	K06223	DNA adenine methylase [EC:2.1.1.72]	YP_008060480.1	YP_008060480.1 DNA methyltransferase [Burkholderia phage ST79]	True	0.971	617.0	4.61e-200								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]	VOG03703	REFSEQ DNA methyltransferase; Xu	Xu	0	False	F
NC_021343_6	NC_021343	NC_021343	6	3019	3165	1	E			YP_008060482.1	YP_008060482.1 hypothetical protein M190_gp08 [Burkholderia phage ST79]	False	1.0	116.0	4.141e-31									VOG26494	REFSEQ gp19, hypothetical protein; Xu	Xu	0	False	F
NC_021343_7	NC_021343	NC_021343	7	3394	3678	-1	E																				0	False	F
NC_021343_8	NC_021343	NC_021343	8	3904	5910	1	D			YP_008060484.1	YP_008060484.1 nicking at origin of replication [Burkholderia phage ST79]	True	0.98	1382.0	0.0								Bacteriophage replication gene A protein (GPA) [PF05840.16]	VOG01486	sp|Q06419|VPA_BPP2 Replication gene A protein; XhXr	Xh;Xr	0	False	VF
NC_021343_9	NC_021343	NC_021343	9	5922	6200	1	D			YP_008060485.1	YP_008060485.1 transcriptional regulator [Burkholderia phage ST79]	False	1.0	198.0	9.735e-59								Ogr/Delta-like zinc finger [PF04606.15]	VOG04896	sp|P08711|VPB_BP186 Late control gene B protein; Xh	Xh	0	False	
NC_021343_10	NC_021343	NC_021343	10	6480	7406	1	C	K03497	ParB family transcriptional regulator, chromosome partitioning protein	YP_008060487.1	YP_008060487.1 ParB-like partition protein [Burkholderia phage ST79]	True	0.918	593.0	1.431e-191								ParB/Sulfiredoxin domain [PF02195.21]	VOG01350	REFSEQ ParB-like partition protein; Xu	Xu	0	False	
NC_021343_11	NC_021343	NC_021343	11	7403	7921	1	E			YP_008060488.1	YP_008060488.1 hypothetical protein M190_gp14 [Burkholderia phage ST79]	True	0.982	359.0	7.092e-113												0	False	
NC_021343_12	NC_021343	NC_021343	12	7921	8037	1	E																				0	False	
