	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000240.1_1	QGNH01000240.1	QGNH01000240.1	1	3	401	-1	E																				0	False	F
QGNH01000240.1_2	QGNH01000240.1	QGNH01000240.1	2	398	1648	-1	E																				0	False	F
QGNH01000240.1_3	QGNH01000240.1	QGNH01000240.1	3	1651	2502	-1	E																				0	False	F
QGNH01000240.1_4	QGNH01000240.1	QGNH01000240.1	4	2506	4977	-1	D			YP_009302777.1	YP_009302777.1 tail length tape measure protein [Gordonia phage BetterKatz]	False	0.352	141.0	1.566e-32								Prophage tail length tape measure protein [PF06791.16]	VOG02357	REFSEQ tail length tape measure protein; Xu	Xu	0	False	F
QGNH01000240.1_5	QGNH01000240.1	QGNH01000240.1	5	5149	5463	-1	E																				0	False	
QGNH01000240.1_6	QGNH01000240.1	QGNH01000240.1	6	5686	6897	1	C	K06926	uncharacterized protein	YP_009882679.1	YP_009882679.1 ATP-binding protein [Klebsiella phage ST13-OXA48phi12.1]	False	0.246	135.0	3.1280000000000003e-32								AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.9]; AAA ATPase domain [PF13175.9]; Golgi-body localisation protein domain [PF10351.12]				0	False	
QGNH01000240.1_7	QGNH01000240.1	QGNH01000240.1	7	6966	7442	1	D																RloB-like protein [PF13707.9]				0	False	
QGNH01000240.1_8	QGNH01000240.1	QGNH01000240.1	8	7459	7659	1	E																				0	False	
QGNH01000240.1_9	QGNH01000240.1	QGNH01000240.1	9	7744	8190	-1	D			YP_008857886.1	YP_008857886.1 tail length tape measure protein [Arthrobacter phage vB_ArS-ArV2]	False	0.362	73.0	2.415e-14	MER0238520	M23B	MER0238520 - subfamily M23B unassigned peptidases () [M23.UPB]#M23B#{peptidase unit: 85-229}~source EFD29974~	False	0.359	83.0	1.291e-17	Peptidase family M23 [PF01551.25]				0	False	P
QGNH01000240.1_10	QGNH01000240.1	QGNH01000240.1	10	8220	8453	-1	E																				0	False	
QGNH01000240.1_11	QGNH01000240.1	QGNH01000240.1	11	8490	8729	-1	E																				0	False	
QGNH01000240.1_12	QGNH01000240.1	QGNH01000240.1	12	8736	8954	-1	E																				0	False	
QGNH01000240.1_13	QGNH01000240.1	QGNH01000240.1	13	9042	10010	-1	D																Phage tail tube protein [PF18906.3]				0	False	
QGNH01000240.1_14	QGNH01000240.1	QGNH01000240.1	14	10014	10220	-1	E																				0	False	
QGNH01000240.1_15	QGNH01000240.1	QGNH01000240.1	15	10272	10709	-1	E																				0	False	
QGNH01000240.1_16	QGNH01000240.1	QGNH01000240.1	16	10711	11094	-1	E																				0	False	
QGNH01000240.1_17	QGNH01000240.1	QGNH01000240.1	17	11096	11710	-1	E																				0	False	
QGNH01000240.1_18	QGNH01000240.1	QGNH01000240.1	18	11779	12195	-1	E																	VOG03478	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000240.1_19	QGNH01000240.1	QGNH01000240.1	19	12192	12362	-1	E																				0	False	
QGNH01000240.1_20	QGNH01000240.1	QGNH01000240.1	20	12369	13556	-1	D			YP_009007674.1	YP_009007674.1 major head protein [Staphylococcus phage vB_SepS_SEP9]	False	0.231	73.0	2.039e-12								Phage capsid family [PF05065.16]	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	VF
QGNH01000240.1_21	QGNH01000240.1	QGNH01000240.1	21	13562	14383	-1	C	K06904	uncharacterized protein	YP_009599180.1	YP_009599180.1 major head protein [Providencia phage vB_PreS_PR1]	False	0.286	63.0	8.59e-10	MER1087442	S78	MER1087442 - family S78 unassigned peptidases (Devosia riboflavina) [S78.UPW]#S78#{peptidase unit: 23-144}~source A0A087M3M1~	False	0.328	65.0	3.655e-10	Caudovirus prohead serine protease [PF04586.20]	VOG02183	sp|D3WAC4|PRO_BPLP2 Probable capsid maturation protease; XhXs	Xs;Xh	0	False	VPF
QGNH01000240.1_22	QGNH01000240.1	QGNH01000240.1	22	14439	16523	-1	D			YP_009010474.1	YP_009010474.1 portal protein [Geobacillus phage GBK2]	False	0.224	163.0	1.421e-39								Phage portal protein [PF04860.15]; Phage Mu protein F like protein [PF04233.17]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xr;Xs;Xp;Xh	0	False	VF
QGNH01000240.1_23	QGNH01000240.1	QGNH01000240.1	23	16561	17931	-1	D			YP_010082718.1	YP_010082718.1 terminase large subunit [Arthrobacter phage Wheelbite]	False	0.323	239.0	1.541e-66								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000240.1_24	QGNH01000240.1	QGNH01000240.1	24	17897	18232	-1	E																				0	False	F
