	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001836.1_1	QGNH01001836.1	QGNH01001836.1	1	2	124	-1	E											0	False	F
QGNH01001836.1_2	QGNH01001836.1	QGNH01001836.1	2	111	1271	-1	D	YP_009876169.1	YP_009876169.1 HNH endonuclease [Vibrio phage vB_VspP_pVa5]	False	0.229	106.0	4.875e-23	Putative metallopeptidase domain [PF13203.9]; VWA-like domain (DUF2201) [PF09967.12]	VOG01084	REFSEQ HNH endonuclease; Xu	Xu	0	False	F
QGNH01001836.1_3	QGNH01001836.1	QGNH01001836.1	3	1261	1902	-1	E											0	False	F
QGNH01001836.1_4	QGNH01001836.1	QGNH01001836.1	4	2010	2381	-1	D	YP_950502.1	YP_950502.1 ATPase [Escherichia phage N4]	False	0.307	60.0	4.301e-10	AAA domain (dynein-related subfamily) [PF07728.17]				0	False	F
QGNH01001836.1_5	QGNH01001836.1	QGNH01001836.1	5	2452	2658	-1	E											0	False	F
QGNH01001836.1_6	QGNH01001836.1	QGNH01001836.1	6	2667	2864	-1	E											0	False	F
QGNH01001836.1_7	QGNH01001836.1	QGNH01001836.1	7	2932	3177	-1	E											0	False	F
QGNH01001836.1_8	QGNH01001836.1	QGNH01001836.1	8	3150	3524	-1	E											0	False	F
QGNH01001836.1_9	QGNH01001836.1	QGNH01001836.1	9	3521	4738	-1	D	YP_010645579.1	YP_010645579.1 IbrA [Streptococcus phage CHPC1148]	False	0.416	295.0	1.015e-86	Domain of unknown function (DUF3440) [PF11922.11]; Phosphoadenosine phosphosulfate reductase family [PF01507.22]	VOG01425	sp|P77216|YBDN_ECOLI Uncharacterized protein YbdN; Xu	Xu	0	False	F
QGNH01001836.1_10	QGNH01001836.1	QGNH01001836.1	10	4738	5856	-1	D	YP_009124846.1	YP_009124846.1 ParB-like partition protein [Mycobacterium phage Gaia]	False	0.475	159.0	1.371e-40	ParB/Sulfiredoxin domain [PF02195.21]	VOG02645	sp|P77174|YBDM_ECOLI Uncharacterized protein YbdM; Xu	Xu	0	False	F
QGNH01001836.1_11	QGNH01001836.1	QGNH01001836.1	11	5980	7092	-1	E											0	False	F
QGNH01001836.1_12	QGNH01001836.1	QGNH01001836.1	12	7145	7591	-1	D	YP_010678535.1	YP_010678535.1 endonuclease VII [Salmonella phage vB_STy-RN5i1]	False	0.641	100.0	1.295e-23	Recombination endonuclease VII [PF02945.18]	VOG00650	sp|O64250|VG59_BPMD2 Gene 59 protein; Xu	Xu	0	False	F
QGNH01001836.1_13	QGNH01001836.1	QGNH01001836.1	13	7760	7891	-1	E											0	False	F
QGNH01001836.1_14	QGNH01001836.1	QGNH01001836.1	14	8117	9157	-1	E											0	False	F
QGNH01001836.1_15	QGNH01001836.1	QGNH01001836.1	15	9170	9493	-1	E											0	False	F
QGNH01001836.1_16	QGNH01001836.1	QGNH01001836.1	16	9667	10416	-1	E											0	False	F
