	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001100.1_1	QGNH01001100.1	QGNH01001100.1	1	3	263	-1	E											0	False	F
QGNH01001100.1_2	QGNH01001100.1	QGNH01001100.1	2	263	481	-1	E											0	False	F
QGNH01001100.1_3	QGNH01001100.1	QGNH01001100.1	3	661	1092	-1	E											0	False	F
QGNH01001100.1_4	QGNH01001100.1	QGNH01001100.1	4	1094	1579	-1	D							Lambda phage tail tube protein, TTP [PF16461.8]; Phage tail tube protein, TTP [PF08813.14]				0	False	F
QGNH01001100.1_5	QGNH01001100.1	QGNH01001100.1	5	1612	2109	-1	E											0	False	F
QGNH01001100.1_6	QGNH01001100.1	QGNH01001100.1	6	2171	2590	-1	E											0	False	F
QGNH01001100.1_7	QGNH01001100.1	QGNH01001100.1	7	2593	2910	-1	E											0	False	F
QGNH01001100.1_8	QGNH01001100.1	QGNH01001100.1	8	2919	3380	-1	E											0	False	F
QGNH01001100.1_9	QGNH01001100.1	QGNH01001100.1	9	3380	3892	-1	E											0	False	F
QGNH01001100.1_10	QGNH01001100.1	QGNH01001100.1	10	4318	5673	-1	E	YP_010772352.1	YP_010772352.1 prophage Clp protease-like protein [Methanoculleus virus L4768]	False	0.222	97.0	1.124e-19					0	False	F
QGNH01001100.1_11	QGNH01001100.1	QGNH01001100.1	11	5696	6109	-1	E											0	False	F
QGNH01001100.1_12	QGNH01001100.1	QGNH01001100.1	12	6110	7783	-1	E	YP_010772350.1	YP_010772350.1 hypothetical protein QIT39_gp12 [Methanoculleus virus L4768]	False	0.287	141.0	2.909e-33		VOG03356	REFSEQ head maturation protease; Xu	Xu	0	False	F
QGNH01001100.1_13	QGNH01001100.1	QGNH01001100.1	13	8190	8525	1	E											0	False	F
QGNH01001100.1_14	QGNH01001100.1	QGNH01001100.1	14	8522	8962	-1	D							Bacteriophage HK97-gp10, putative tail-component [PF04883.15]	VOG00130	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	F
QGNH01001100.1_15	QGNH01001100.1	QGNH01001100.1	15	8959	10149	-1	D							Phage Mu protein F like protein [PF04233.17]; Histidine phosphatase superfamily (branch 1) [PF00300.25]				0	False	F
