	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000413.1_1	QGNH01000413.1	QGNH01000413.1	1	3	2915	-1	E	YP_009611845.1	YP_009611845.1 virion structural protein [Agrobacterium phage Atu_ph07]	True	0.377	630.0	1.321e-192												0	False	F
QGNH01000413.1_2	QGNH01000413.1	QGNH01000413.1	2	2982	6686	-1	E	YP_009611846.1	YP_009611846.1 baseplate wedge subunit [Agrobacterium phage Atu_ph07]	True	0.488	1104.0	0.0									VOG01398	sp|P19060|BP06_BPT4 Baseplate wedge protein gp6; Xs	Xs	0	False	VF
QGNH01000413.1_3	QGNH01000413.1	QGNH01000413.1	3	6690	7073	-1	D	YP_009611847.1	YP_009611847.1 hypothetical protein FDI40_gp182 [Agrobacterium phage Atu_ph07]	False	0.463	110.0	1.508e-27								Baseplate wedge protein gp25 [PF04965.17]	VOG00875	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25; XhXs	Xh;Xs	0	False	V
QGNH01000413.1_4	QGNH01000413.1	QGNH01000413.1	4	7134	9182	-1	D	YP_009612364.1	YP_009612364.1 baseplate hub subunit and tail lysozyme [Agrobacterium phage Atu_ph07]	True	0.369	366.0	7.577e-107								Type VI secretion system/phage-baseplate injector OB domain [PF04717.15]; Transglycosylase SLT domain [PF01464.23]				0	False	
QGNH01000413.1_5	QGNH01000413.1	QGNH01000413.1	5	9184	11382	-1	E	YP_009612363.1	YP_009612363.1 virion structural protein [Agrobacterium phage Atu_ph07]	False	0.276	263.0	6.98e-72									VOG11609	REFSEQ virion structural protein; Xu	Xu	0	False	
QGNH01000413.1_6	QGNH01000413.1	QGNH01000413.1	6	11390	11698	-1	D	YP_009612362.1	YP_009612362.1 baseplate wedge subunit [Agrobacterium phage Atu_ph07]	False	0.58	109.0	1.285e-27								Base plate wedge protein 53 [PF11246.11]				0	False	
QGNH01000413.1_7	QGNH01000413.1	QGNH01000413.1	7	11699	12526	-1	E	YP_009612361.1	YP_009612361.1 virion structural protein [Agrobacterium phage Atu_ph07]	False	0.447	209.0	5.893e-59									VOG11610	REFSEQ virion structural protein; Xu	Xu	0	False	
QGNH01000413.1_8	QGNH01000413.1	QGNH01000413.1	8	12684	13601	1	E	YP_009612359.1	YP_009612359.1 sigma factor for late transcription [Agrobacterium phage Atu_ph07]	False	0.417	198.0	1.1299999999999998e-54									VOG07256	sp|P04524|SIGML_BPT4 RNA polymerase sigma-like factor; XhXr	Xh;Xr	0	False	V
QGNH01000413.1_9	QGNH01000413.1	QGNH01000413.1	9	13594	14628	1	D	YP_009612358.1	YP_009612358.1 recombination-related endonuclease [Agrobacterium phage Atu_ph07]	False	0.511	329.0	3.606e-99								Calcineurin-like phosphoesterase superfamily domain [PF12850.10]; Calcineurin-like phosphoesterase [PF00149.31]	VOG00413	sp|P04521|EXO1_BPT4 Exonuclease subunit 1; Xp	Xp	0	False	
QGNH01000413.1_10	QGNH01000413.1	QGNH01000413.1	10	14630	16408	1	D	YP_010678870.1	YP_010678870.1 recombination endonuclease subunit [Pseudomonas phage vB_PaeM_PA5oct]	True	0.42	432.0	8.854000000000002e-131								AAA domain [PF13476.9]; RecF/RecN/SMC N terminal domain [PF02463.22]	VOG00264	sp|P04522|EXO2_BPT4 Exonuclease subunit 2; XhXp	Xp;Xh	0	False	
