locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
KC292020.1_2_244_+												Hypothetical
KC292020.1_394_945_-					phrog_19274	VOG23910	VOG:VOG23910	183	1e-114	373.3		REFSEQ HalOD1 domain-containing protein
KC292020.1_1305_2081_+					phrog_9231	VOG05559	PHROG:phrog_9231	258	2.1e-114	373.8		terminase small subunit
KC292020.1_2074_2337_+												Hypothetical
KC292020.1_2558_2752_+												Hypothetical
KC292020.1_2789_2995_+												Hypothetical
KC292020.1_3088_4785_+		K21523	COG4373		phrog_9	VOG07294	COG:COG4373	565	1.5e-45	147.4		; 
KC292020.1_4800_6239_+					phrog_9232	VOG00562	PHROG:phrog_9232	479	4.3e-216	711.0		portal protein
KC292020.1_6526_7287_+					phrog_15680	VOG14382	PHROG:phrog_15680	253	2.8e-153	501.3		head maturation protease
KC292020.1_7294_7725_+												Hypothetical
KC292020.1_7749_8264_+												Hypothetical
KC292020.1_8306_9262_+					phrog_3990	VOG01973	PHROG:phrog_3990	318	9.2e-92	300.2		major head protein
KC292020.1_9308_9748_+					phrog_12779	VOG14383	VOG:VOG14383	146	3.3e-75	243.6		REFSEQ hypothetical protein
KC292020.1_9748_10092_+												Hypothetical
KC292020.1_10095_13208_+					phrog_20771	VOG23916	VOG:VOG23916	1037	0	2314.4		REFSEQ hypothetical protein
KC292020.1_13210_13431_+												Hypothetical
KC292020.1_13468_13977_+					phrog_12281	VOG04913	PHROG:phrog_12281	169	8.7e-86	278.5		tail tube protein
KC292020.1_13987_15279_+			COG4386		phrog_10244	VOG01001	PHROG:phrog_10244	430	7.3e-204	670.3		tail sheath
KC292020.1_15308_15853_+					phrog_12452	VOG14384	PHROG:phrog_12452	181	5.5e-93	301.9		tail tube protein
KC292020.1_15908_16378_+					phrog_14268	VOG04953	PHROG:phrog_14268	156	1.6e-84	274.1		tail assembly chaperone
KC292020.1_16455_16691_+					phrog_12163	VOG04953	PHROG:phrog_12163	78	3.6e-42	136.1		tail assembly chaperone
KC292020.1_16694_18514_+					phrog_14901	VOG14385	PHROG:phrog_14901	606	0	1080.7		tail length tape measure protein
KC292020.1_18515_19078_+					phrog_14280	VOG14386	VOG:VOG14386	187	6.8e-97	315.4		REFSEQ hypothetical protein
KC292020.1_19075_20508_+					phrog_12403	VOG14388	VOG:VOG14388	477	1.1e-231	762.0		REFSEQ hypothetical protein
KC292020.1_20511_20951_+												Hypothetical
KC292020.1_20948_21310_+												Hypothetical
KC292020.1_21375_21701_+												Hypothetical
