	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_031072_1	NC_031072	NC_031072	1	2	397	1	E			YP_009287218.1	YP_009287218.1 terminase small subunit [Gordonia phage CaptainKirk2]	False	0.887	211.0	1.895e-62		VOG08207	REFSEQ terminase small subunit; Xu	Xu	0	False	F
NC_031072_2	NC_031072	NC_031072	2	360	1928	1	E			YP_009287219.1	YP_009287219.1 terminase large subunit [Gordonia phage CaptainKirk2]	True	0.968	1065.0	0.0		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
NC_031072_3	NC_031072	NC_031072	3	1940	3316	1	D			YP_009287220.1	YP_009287220.1 portal protein [Gordonia phage CaptainKirk2]	True	0.959	925.0	1.786e-303	Protein of unknown function (DUF935) [PF06074.15]	VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
NC_031072_4	NC_031072	NC_031072	4	3316	4728	1	D			YP_009287221.1	YP_009287221.1 head maturation protease [Gordonia phage CaptainKirk2]	True	0.936	924.0	8.029e-303	Mu-like prophage I protein [PF10123.12]	VOG03304	REFSEQ head maturation protease; Xu	Xu	0	False	F
NC_031072_5	NC_031072	NC_031072	5	4730	5182	1	E			YP_009287222.1	YP_009287222.1 head scaffolding protein [Gordonia phage CaptainKirk2]	False	0.906	286.0	4.117e-88		VOG00395	REFSEQ head scaffolding protein; Xu	Xu	0	False	F
NC_031072_6	NC_031072	NC_031072	6	5209	6138	1	E			YP_009287223.1	YP_009287223.1 major head protein [Gordonia phage CaptainKirk2]	True	0.959	625.0	1.228e-202		VOG08005	sp|A0A0H5AXT3|CAPSD_BPK21 Major capsid protein; Xs	Xs	0	False	V
NC_031072_7	NC_031072	NC_031072	7	6142	6570	1	E			YP_009287224.1	YP_009287224.1 head-tail connector protein [Gordonia phage CaptainKirk2]	False	0.899	269.0	3.03e-82		VOG00973	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_031072_8	NC_031072	NC_031072	8	6567	6959	1	D			YP_009287225.1	YP_009287225.1 head-to-tail adaptor [Gordonia phage CaptainKirk2]	False	0.952	262.0	2.662e-80	Phage protein Gp19/Gp15/Gp42 [PF09355.13]	VOG00419	sp|Q05225|VG19_BPML5 Gene 19 protein; Xu	Xu	0	False	
NC_031072_9	NC_031072	NC_031072	9	6959	7321	1	E			YP_009287226.1	YP_009287226.1 head closure Hc1 [Gordonia phage CaptainKirk2]	False	1.0	262.0	1.638e-80		VOG00125	REFSEQ head closure Hc1; Xu	Xu	0	False	
NC_031072_10	NC_031072	NC_031072	10	7330	7590	1	E			YP_009287227.1	YP_009287227.1 hypothetical protein BIZ76_gp10 [Gordonia phage CaptainKirk2]	False	1.0	184.0	4.6349999999999995e-54		VOG01636	REFSEQ hypothetical protein; Xu	Xu	0	False	
