	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001814.1_1	QGNH01001814.1	QGNH01001814.1	1	47	190	-1	E													0	False	F
QGNH01001814.1_2	QGNH01001814.1	QGNH01001814.1	2	336	590	1	E													0	False	F
QGNH01001814.1_3	QGNH01001814.1	QGNH01001814.1	3	689	1006	1	E													0	False	F
QGNH01001814.1_4	QGNH01001814.1	QGNH01001814.1	4	1103	1327	1	E													0	False	F
QGNH01001814.1_5	QGNH01001814.1	QGNH01001814.1	5	1332	1511	1	E													0	False	F
QGNH01001814.1_6	QGNH01001814.1	QGNH01001814.1	6	1489	1677	1	E													0	False	F
QGNH01001814.1_7	QGNH01001814.1	QGNH01001814.1	7	1674	2135	1	E													0	False	F
QGNH01001814.1_8	QGNH01001814.1	QGNH01001814.1	8	2138	2350	1	E													0	False	F
QGNH01001814.1_9	QGNH01001814.1	QGNH01001814.1	9	2354	2563	1	E													0	False	F
QGNH01001814.1_10	QGNH01001814.1	QGNH01001814.1	10	2854	3150	1	E													0	False	F
QGNH01001814.1_11	QGNH01001814.1	QGNH01001814.1	11	3152	3805	1	C	K07474	phage terminase small subunit							Terminase small subunit [PF03592.19]				0	False	F
QGNH01001814.1_12	QGNH01001814.1	QGNH01001814.1	12	3802	4110	1	E													0	False	F
QGNH01001814.1_13	QGNH01001814.1	QGNH01001814.1	13	4107	4376	1	E													0	False	F
QGNH01001814.1_14	QGNH01001814.1	QGNH01001814.1	14	4373	5809	1	C	K06909	phage terminase large subunit	YP_009800690.1	YP_009800690.1 TerL [Burkholderia phage vB_BmuP_KL4]	False	282.0	6.901999999999998e-81	0.381	Phage terminase large subunit [PF04466.16]	VOG00230	sp|O31952|YONF_BACSU SPbeta prophage-derived uncharacterized protein YonF; Xu	Xu	0	False	F
QGNH01001814.1_15	QGNH01001814.1	QGNH01001814.1	15	5812	6042	1	E													0	False	F
QGNH01001814.1_16	QGNH01001814.1	QGNH01001814.1	16	6039	6410	1	E													0	False	F
QGNH01001814.1_17	QGNH01001814.1	QGNH01001814.1	17	6407	6685	1	E													0	False	F
QGNH01001814.1_18	QGNH01001814.1	QGNH01001814.1	18	6676	6978	1	E													0	False	F
QGNH01001814.1_19	QGNH01001814.1	QGNH01001814.1	19	6975	7217	1	D									KTSC domain [PF13619.9]				0	False	F
QGNH01001814.1_20	QGNH01001814.1	QGNH01001814.1	20	7303	9825	1	E													0	False	F
QGNH01001814.1_21	QGNH01001814.1	QGNH01001814.1	21	9822	10133	1	E													0	False	F
QGNH01001814.1_22	QGNH01001814.1	QGNH01001814.1	22	10139	10558	1	D									Chaperonin 10 Kd subunit [PF00166.24]				0	False	F
QGNH01001814.1_23	QGNH01001814.1	QGNH01001814.1	23	10558	10743	1	E													0	False	F
