	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
NC_005879_NC_005879_1	NC_005879	NC_005879	1	536	1147	1	E				0
NC_005879_NC_005879_2	NC_005879	NC_005879	2	1134	2840	1	C	K06909	phage terminase large subunit		0
NC_005879_NC_005879_3	NC_005879	NC_005879	3	2851	4494	1	D			Bacteriophage head to tail connecting protein [PF12236.11]	0
NC_005879_NC_005879_4	NC_005879	NC_005879	4	4494	4721	1	E				0
NC_005879_NC_005879_5	NC_005879	NC_005879	5	4734	4991	1	E				0
NC_005879_NC_005879_6	NC_005879	NC_005879	6	4960	5838	1	E				0
NC_005879_NC_005879_7	NC_005879	NC_005879	7	6006	6974	1	D			Phage capsid protein [PF19821.2]	0
NC_005879_NC_005879_8	NC_005879	NC_005879	8	7041	7310	1	E				0
NC_005879_NC_005879_9	NC_005879	NC_005879	9	7325	8173	1	E				0
NC_005879_NC_005879_10	NC_005879	NC_005879	10	8170	8535	1	E				0
NC_005879_NC_005879_11	NC_005879	NC_005879	11	8537	9010	1	D			Peptidase M15 [PF08291.14]	0
NC_005879_NC_005879_12	NC_005879	NC_005879	12	9003	9305	1	E				0
NC_005879_NC_005879_13	NC_005879	NC_005879	13	9329	11554	1	D			Immunoglobulin domain [PF13895.9]; Immunoglobulin I-set domain [PF07679.19]; Immunoglobulin domain [PF13927.9]	0
NC_005879_NC_005879_14	NC_005879	NC_005879	14	11563	13347	1	E				0
NC_005879_NC_005879_15	NC_005879	NC_005879	15	13353	13757	1	E				0
NC_005879_NC_005879_16	NC_005879	NC_005879	16	13754	15838	1	E				0
NC_005879_NC_005879_17	NC_005879	NC_005879	17	15838	17010	1	E				0
NC_005879_NC_005879_18	NC_005879	NC_005879	18	17012	19360	1	E				0
NC_005879_NC_005879_19	NC_005879	NC_005879	19	19364	20437	1	E				0
NC_005879_NC_005879_20	NC_005879	NC_005879	20	20439	21821	1	D			BNR repeat-like domain [PF13088.9]; Photosynthesis system II assembly factor YCF48 [PF14870.9]; Sortilin, neurotensin receptor 3, [PF15902.8]	0
NC_005879_NC_005879_21	NC_005879	NC_005879	21	21846	22163	-1	E				0
NC_005879_NC_005879_22	NC_005879	NC_005879	22	22240	22677	-1	E				0
NC_005879_NC_005879_23	NC_005879	NC_005879	23	22667	22828	-1	E				0
NC_005879_NC_005879_24	NC_005879	NC_005879	24	23019	23336	-1	D			5'-deoxynucleotidase YfbR-like [PF12917.10]; HD domain [PF13023.9]	0
NC_005879_NC_005879_25	NC_005879	NC_005879	25	23338	23598	-1	E				0
NC_005879_NC_005879_26	NC_005879	NC_005879	26	23600	24631	-1	C	K24972	Vibrio phage 2-amino-2'-deoxyadenylo-succinate synthase [EC:6.3.4.25]	Adenylosuccinate synthetase [PF00709.24]	0
NC_005879_NC_005879_27	NC_005879	NC_005879	27	24673	26961	-1	C	K06919	putative DNA primase/helicase	Family of unknown function (DUF5906) [PF19263.2]; Bifunctional DNA primase/polymerase, N-terminal [PF09250.14]; Primase C terminal 2 (PriCT-2) [PF08707.14]	0
NC_005879_NC_005879_28	NC_005879	NC_005879	28	26951	28852	-1	D			DNA polymerase family A [PF00476.23]	0
NC_005879_NC_005879_29	NC_005879	NC_005879	29	28861	29337	-1	E				0
NC_005879_NC_005879_30	NC_005879	NC_005879	30	29403	30212	-1	E				0
NC_005879_NC_005879_31	NC_005879	NC_005879	31	30333	30800	-1	E				0
NC_005879_NC_005879_32	NC_005879	NC_005879	32	30863	32332	-1	D			SNF2-related domain [PF00176.26]; Type III restriction enzyme, res subunit [PF04851.18]	0
NC_005879_NC_005879_33	NC_005879	NC_005879	33	32397	32750	-1	E				0
NC_005879_NC_005879_34	NC_005879	NC_005879	34	32750	33442	-1	E				0
NC_005879_NC_005879_35	NC_005879	NC_005879	35	33575	34039	-1	E				0
NC_005879_NC_005879_36	NC_005879	NC_005879	36	34036	34446	-1	E				0
NC_005879_NC_005879_37	NC_005879	NC_005879	37	34448	34774	-1	E				0
NC_005879_NC_005879_38	NC_005879	NC_005879	38	34998	35624	-1	E				0
NC_005879_NC_005879_39	NC_005879	NC_005879	39	35933	36418	-1	E				0
NC_005879_NC_005879_40	NC_005879	NC_005879	40	36428	36904	-1	E				0
NC_005879_NC_005879_41	NC_005879	NC_005879	41	37036	37407	-1	E				0
NC_005879_NC_005879_42	NC_005879	NC_005879	42	37407	37631	-1	E				0
NC_005879_NC_005879_43	NC_005879	NC_005879	43	37709	37999	-1	E				0
NC_005879_NC_005879_44	NC_005879	NC_005879	44	38106	38345	-1	E				0
NC_005879_NC_005879_45	NC_005879	NC_005879	45	38356	38946	-1	E				0
NC_005879_NC_005879_46	NC_005879	NC_005879	46	39548	39817	-1	E				0
