NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	Gene3D	G3DSA:2.60.120.20	-	75	252	1.1E-20	T	24-06-2023	IPR029053	Viral coat protein subunit
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	Pfam	PF00844	Geminivirus coat protein/nuclear export factor BR1 family	22	259	6.4E-86	T	24-06-2023	IPR000263	Geminivirus AR1/BR1 coat protein
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	PRINTS	PR00223	Geminivirus AR1/BR1 coat protein signature	141	160	1.2E-27	T	24-06-2023	IPR000263	Geminivirus AR1/BR1 coat protein
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	PRINTS	PR00223	Geminivirus AR1/BR1 coat protein signature	221	236	1.2E-27	T	24-06-2023	IPR000263	Geminivirus AR1/BR1 coat protein
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	PRINTS	PR00223	Geminivirus AR1/BR1 coat protein signature	167	186	1.2E-27	T	24-06-2023	IPR000263	Geminivirus AR1/BR1 coat protein
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	PRINTS	PR00224	Geminivirus AR1 coat protein signature	66	86	3.5E-84	T	24-06-2023	IPR000650	Geminivirus AR1 coat protein
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	PRINTS	PR00224	Geminivirus AR1 coat protein signature	111	127	3.5E-84	T	24-06-2023	IPR000650	Geminivirus AR1 coat protein
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	PRINTS	PR00224	Geminivirus AR1 coat protein signature	168	186	3.5E-84	T	24-06-2023	IPR000650	Geminivirus AR1 coat protein
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	PRINTS	PR00224	Geminivirus AR1 coat protein signature	204	223	3.5E-84	T	24-06-2023	IPR000650	Geminivirus AR1 coat protein
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	PRINTS	PR00224	Geminivirus AR1 coat protein signature	91	110	3.5E-84	T	24-06-2023	IPR000650	Geminivirus AR1 coat protein
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	PRINTS	PR00224	Geminivirus AR1 coat protein signature	224	239	3.5E-84	T	24-06-2023	IPR000650	Geminivirus AR1 coat protein
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	PRINTS	PR00224	Geminivirus AR1 coat protein signature	240	256	3.5E-84	T	24-06-2023	IPR000650	Geminivirus AR1 coat protein
