KO Id	Name	Count
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	1
K00005	gldA; glycerol dehydrogenase	2
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase	1
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	4
K00013	hisD; histidinol dehydrogenase	1
K00014	aroE; shikimate dehydrogenase	1
K00015	gyaR, GOR1; glyoxylate reductase	1
K00016	LDH, ldh; L-lactate dehydrogenase	8
K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1
K00024	mdh; malate dehydrogenase	7
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)	2
K00030	IDH3; isocitrate dehydrogenase (NAD+)	1
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	2
K00034	gdh; glucose 1-dehydrogenase	1
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase	1
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)	1
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	4
K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase	4
K00060	tdh; threonine 3-dehydrogenase	1
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase	3
K00075	murB; UDP-N-acetylmuramate dehydrogenase	3
K00077	panE, apbA; 2-dehydropantoate 2-reductase	1
K00088	IMPDH, guaB; IMP dehydrogenase	3
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+]	1
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase	1
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase	1
K00116	mqo; malate dehydrogenase (quinone)	2
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)	2
K00133	asd; aspartate-semialdehyde dehydrogenase	4
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	9
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	5
K00138	aldB; aldehyde dehydrogenase	2
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase	2
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	2
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	2
K00208	fabI; enoyl-[acyl-carrier protein] reductase I	4
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase	2
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase	1
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	5
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	4
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	4
K00243	K00243; uncharacterized protein	1
K00248	ACADS, bcd; butyryl-CoA dehydrogenase	5
K00259	ald; alanine dehydrogenase	2
K00260	gudB, rocG; glutamate dehydrogenase	4
K00263	E1.4.1.9; leucine dehydrogenase	2
K00264	GLT1; glutamate synthase (NADH)	2
K00265	gltB; glutamate synthase (NADPH) large chain	3
K00274	MAO, aofH; monoamine oxidase	14
K00278	nadB; L-aspartate oxidase	2
K00282	gcvPA; glycine dehydrogenase subunit 1	2
K00283	gcvPB; glycine dehydrogenase subunit 2	2
K00286	proC; pyrroline-5-carboxylate reductase	1
K00287	DHFR, folA; dihydrofolate reductase	3
K00318	PRODH, fadM, putB; proline dehydrogenase	1
K00320	mer; 5,10-methylenetetrahydromethanopterin reductase	1
K00344	qor, CRYZ; NADPH:quinone reductase	1
K00364	E1.7.1.7, guaC; GMP reductase	1
K00375	K00375; GntR family transcriptional regulator / MocR family aminotransferase	1
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	10
K00383	GSR, gor; glutathione reductase (NADPH)	3
K00384	trxB, TRR; thioredoxin reductase (NADPH)	1
K00389	yidH; putative membrane protein	1
K00425	cydA; cytochrome bd ubiquinol oxidase subunit I	2
K00426	cydB; cytochrome bd ubiquinol oxidase subunit II	2
K00432	gpx, btuE, bsaA; glutathione peroxidase	6
K00433	cpo; non-heme chloroperoxidase	1
K00435	hemQ; hydrogen peroxide-dependent heme synthase	1
K00453	TDO2, kynA; tryptophan 2,3-dioxygenase	1
K00491	nos; nitric-oxide synthase, bacterial	2
K00500	phhA, PAH; phenylalanine-4-hydroxylase	3
K00520	merA; mercuric reductase	1
K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain	3
K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain	3
K00529	hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component	2
K00537	arsC; arsenate reductase (glutaredoxin)	1
K00540	fqr; F420H(2)-dependent quinone reductase	1
K00554	trmD; tRNA (guanine37-N1)-methyltransferase	1
K00556	trmH; tRNA (guanosine-2'-O-)-methyltransferase	1
K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1	6
K00560	thyA, TYMS; thymidylate synthase	3
