	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001008.1_1	QGNH01001008.1	QGNH01001008.1	1	3	134	-1	E													0	False	F
QGNH01001008.1_2	QGNH01001008.1	QGNH01001008.1	2	339	965	-1	E													0	False	F
QGNH01001008.1_3	QGNH01001008.1	QGNH01001008.1	3	1071	1244	-1	E													0	False	F
QGNH01001008.1_4	QGNH01001008.1	QGNH01001008.1	4	1246	1596	-1	E													0	False	F
QGNH01001008.1_5	QGNH01001008.1	QGNH01001008.1	5	1574	1822	-1	E													0	False	F
QGNH01001008.1_6	QGNH01001008.1	QGNH01001008.1	6	2165	2362	-1	E													0	False	F
QGNH01001008.1_7	QGNH01001008.1	QGNH01001008.1	7	2614	2835	1	E													0	False	F
QGNH01001008.1_8	QGNH01001008.1	QGNH01001008.1	8	2987	3502	1	E													0	False	F
QGNH01001008.1_9	QGNH01001008.1	QGNH01001008.1	9	3836	5422	1	E			YP_009600900.1	YP_009600900.1 terminase large subunit [Sphingobium phage Lacusarx]	False	187.0	1.693e-48	0.271		VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
QGNH01001008.1_10	QGNH01001008.1	QGNH01001008.1	10	5454	8075	1	E													0	False	F
QGNH01001008.1_11	QGNH01001008.1	QGNH01001008.1	11	8113	8322	1	E													0	False	F
QGNH01001008.1_12	QGNH01001008.1	QGNH01001008.1	12	8322	8834	1	C	K04078	chaperonin GroES							Chaperonin 10 Kd subunit [PF00166.24]				0	False	F
QGNH01001008.1_13	QGNH01001008.1	QGNH01001008.1	13	8831	9622	1	E													0	False	F
QGNH01001008.1_14	QGNH01001008.1	QGNH01001008.1	14	9679	9918	1	E													0	False	F
QGNH01001008.1_15	QGNH01001008.1	QGNH01001008.1	15	9931	10434	1	E													0	False	F
QGNH01001008.1_16	QGNH01001008.1	QGNH01001008.1	16	10460	11320	1	E													0	False	F
QGNH01001008.1_17	QGNH01001008.1	QGNH01001008.1	17	11349	11696	1	E													0	False	F
