	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000201.1_1	QGNH01000201.1	QGNH01000201.1	1	381	782	1	E																						0	False	F
QGNH01000201.1_2	QGNH01000201.1	QGNH01000201.1	2	788	1537	1	E																						0	False	F
QGNH01000201.1_3	QGNH01000201.1	QGNH01000201.1	3	1540	2874	1	D														Glycosyl transferase family 41 [PF13844.9]	GT41	GT41 UDP-GlcNAc: peptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.255); UDP-Glc: peptide N-beta-glucosyltransferase (EC 2.4.1.-); GDP-L-Fuc: protein O-alpha-L-fucosyltransferase (EC 2.4.1.221)	2.4.1.221,2.4.1.255,2.4.1.-	GT41.hmm				0	False	F
QGNH01000201.1_4	QGNH01000201.1	QGNH01000201.1	4	2876	3025	1	E																						0	False	F
QGNH01000201.1_5	QGNH01000201.1	QGNH01000201.1	5	3145	3582	1	D														ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF08241.15]								0	False	F
QGNH01000201.1_6	QGNH01000201.1	QGNH01000201.1	6	3579	5489	1	D														Glycosyltransferase family 92 [PF01697.30]; Glycosyl transferase family 2 [PF13704.9]; Glycosyltransferase like family 2 [PF10111.12]; Glycosyltransferase like family 2 [PF13641.9]					VOG33234	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000201.1_7	QGNH01000201.1	QGNH01000201.1	7	5489	5737	1	E																						0	False	
QGNH01000201.1_8	QGNH01000201.1	QGNH01000201.1	8	5969	6439	1	E																						0	False	
QGNH01000201.1_9	QGNH01000201.1	QGNH01000201.1	9	6436	8382	1	D	YP_009202208.1	YP_009202208.1 terminase large subunit [Bacteriophage Lily]	False	0.198	96.0	7.436e-19								Phage terminase large subunit gpA, ATPase domain [PF05876.15]; Terminase large subunit gpA, endonuclease domain [PF20454.1]					VOG00695	sp|P03708|TERL_LAMBD Terminase, large subunit; XhXr	Xh;Xr	0	False	V
QGNH01000201.1_10	QGNH01000201.1	QGNH01000201.1	10	8384	8593	1	E																						0	False	
QGNH01000201.1_11	QGNH01000201.1	QGNH01000201.1	11	8749	8952	1	E																						0	False	
QGNH01000201.1_12	QGNH01000201.1	QGNH01000201.1	12	8952	10487	1	D	YP_010106631.1	YP_010106631.1 portal protein [Xanthomonas phage FoX1]	False	0.224	129.0	1.054e-29								Phage portal protein, lambda family [PF05136.16]					VOG01401	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xs;Xr;Xp	0	False	V
QGNH01000201.1_13	QGNH01000201.1	QGNH01000201.1	13	10474	12552	1	D	YP_002321458.1	YP_002321458.1 major head and protease protein [Stenotrophomonas phage S1]	False	0.194	132.0	4.342e-30	MER0285598	S14	MER0285598 - family S14 non-peptidase homologues (Vibrio sp. EJY3) [S14.UNW]#S14#{peptidase unit: 40-680}~source YP_005023408~	False	113.0	5.612e-24	0.189									0	False	P
QGNH01000201.1_14	QGNH01000201.1	QGNH01000201.1	14	12647	13042	1	E																						0	False	
QGNH01000201.1_15	QGNH01000201.1	QGNH01000201.1	15	13049	13390	1	E																						0	False	
QGNH01000201.1_16	QGNH01000201.1	QGNH01000201.1	16	13387	14085	1	E																						0	False	
QGNH01000201.1_17	QGNH01000201.1	QGNH01000201.1	17	14087	14836	1	E																						0	False	
QGNH01000201.1_18	QGNH01000201.1	QGNH01000201.1	18	14842	15135	1	E																						0	False	
QGNH01000201.1_19	QGNH01000201.1	QGNH01000201.1	19	15166	16128	1	E																						0	False	
QGNH01000201.1_20	QGNH01000201.1	QGNH01000201.1	20	16157	16516	1	E																						0	False	
QGNH01000201.1_21	QGNH01000201.1	QGNH01000201.1	21	16892	18835	1	E	YP_009290922.1	YP_009290922.1 endolysin [Propionibacterium phage PFR2]	False	0.264	86.0	7.846e-16													VOG02508	sp|P51731|TMP_BPHC1 Probable tape measure protein; Xs	Xs	0	False	VF
QGNH01000201.1_22	QGNH01000201.1	QGNH01000201.1	22	18832	19719	1	E																						0	False	F
QGNH01000201.1_23	QGNH01000201.1	QGNH01000201.1	23	19721	23287	1	E																						0	False	F
QGNH01000201.1_24	QGNH01000201.1	QGNH01000201.1	24	23393	23737	1	E																						0	False	F
