	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000018.1_1	QGNH01000018.1	QGNH01000018.1	1	3	101	-1	E															0	False	F
QGNH01000018.1_2	QGNH01000018.1	QGNH01000018.1	2	193	678	1	D	YP_006989182.1	YP_006989182.1 DUF1643 protein [Caulobacter phage CcrRogue]	False	0.42	119.0	8.204000000000002e-30	Protein of unknown function (DUF1643) [PF07799.15]					VOG13506	REFSEQ DUF1643 domain-containing protein; Xu	Xu	0	False	F
QGNH01000018.1_3	QGNH01000018.1	QGNH01000018.1	3	689	928	1	E															0	False	F
QGNH01000018.1_4	QGNH01000018.1	QGNH01000018.1	4	996	1433	1	D							Response regulator receiver domain [PF00072.27]								0	False	F
QGNH01000018.1_5	QGNH01000018.1	QGNH01000018.1	5	1426	1530	1	E															0	False	F
QGNH01000018.1_6	QGNH01000018.1	QGNH01000018.1	6	1520	4210	1	D	YP_010765738.1	YP_010765738.1 hypothetical protein QGM55_gp48 [Pseudomonas phage PA8]	True	0.624	1066.0	0.0	DNA methylase [PF01555.21]					VOG00205	sp|Q9T1Q7|VP41_BPAPS Putative protein p41; Xu	Xu	0	False	F
QGNH01000018.1_7	QGNH01000018.1	QGNH01000018.1	7	4539	4820	1	E															0	False	F
QGNH01000018.1_8	QGNH01000018.1	QGNH01000018.1	8	4900	6579	-1	E	YP_008320314.1	YP_008320314.1 terminase large subunit [Puniceispirillum phage HMO-2011]	False	0.216	113.0	2.1e-24						VOG00705	REFSEQ terminase large subunit; Xu	Xu	0	False	F
QGNH01000018.1_9	QGNH01000018.1	QGNH01000018.1	9	6650	7396	-1	E															0	False	
QGNH01000018.1_10	QGNH01000018.1	QGNH01000018.1	10	7422	7658	-1	E															0	False	
QGNH01000018.1_11	QGNH01000018.1	QGNH01000018.1	11	7808	9979	-1	D	YP_001950135.1	YP_001950135.1 hypothetical protein RSL1_ORF257 [Ralstonia phage phiRSL1]	False	0.485	102.0	1.087e-20	2'-5' RNA ligase superfamily [PF13563.9]					VOG21425	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000018.1_12	QGNH01000018.1	QGNH01000018.1	12	10032	10313	1	E															0	False	
QGNH01000018.1_13	QGNH01000018.1	QGNH01000018.1	13	10337	13333	-1	E															0	False	
QGNH01000018.1_14	QGNH01000018.1	QGNH01000018.1	14	13336	15177	-1	E															0	False	
QGNH01000018.1_15	QGNH01000018.1	QGNH01000018.1	15	15164	16180	-1	D							Hom_end-associated Hint [PF05203.19]								0	False	
QGNH01000018.1_16	QGNH01000018.1	QGNH01000018.1	16	16194	16628	-1	E															0	False	
QGNH01000018.1_17	QGNH01000018.1	QGNH01000018.1	17	16625	16984	-1	E															0	False	
QGNH01000018.1_18	QGNH01000018.1	QGNH01000018.1	18	16998	18074	-1	E															0	False	
QGNH01000018.1_19	QGNH01000018.1	QGNH01000018.1	19	18074	21283	-1	E															0	False	
QGNH01000018.1_20	QGNH01000018.1	QGNH01000018.1	20	21387	21791	-1	E															0	False	
QGNH01000018.1_21	QGNH01000018.1	QGNH01000018.1	21	21856	22059	-1	E															0	False	
QGNH01000018.1_22	QGNH01000018.1	QGNH01000018.1	22	22123	22860	-1	E															0	False	
QGNH01000018.1_23	QGNH01000018.1	QGNH01000018.1	23	22903	24138	-1	E															0	False	
QGNH01000018.1_24	QGNH01000018.1	QGNH01000018.1	24	24234	24911	-1	E															0	False	
QGNH01000018.1_25	QGNH01000018.1	QGNH01000018.1	25	25003	26307	-1	E															0	False	
QGNH01000018.1_26	QGNH01000018.1	QGNH01000018.1	26	26608	28317	-1	E															0	False	
QGNH01000018.1_27	QGNH01000018.1	QGNH01000018.1	27	28444	29229	-1	E															0	False	
QGNH01000018.1_28	QGNH01000018.1	QGNH01000018.1	28	29281	31839	-1	E															0	False	F
QGNH01000018.1_29	QGNH01000018.1	QGNH01000018.1	29	31883	32284	-1	E															0	False	F
QGNH01000018.1_30	QGNH01000018.1	QGNH01000018.1	30	32357	32740	-1	E															0	False	F
QGNH01000018.1_31	QGNH01000018.1	QGNH01000018.1	31	32867	33346	-1	D	YP_003090277.1	YP_003090277.1 endolysin [Salmonella phage g341c]	False	0.558	167.0	1.532e-46		GH104	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-)	4.2.2.n1	GH104.hmm				0	False	F
QGNH01000018.1_32	QGNH01000018.1	QGNH01000018.1	32	33360	33548	-1	E															0	False	F
QGNH01000018.1_33	QGNH01000018.1	QGNH01000018.1	33	33716	33991	-1	E															0	False	F
QGNH01000018.1_34	QGNH01000018.1	QGNH01000018.1	34	33988	34257	-1	E															0	False	F
QGNH01000018.1_35	QGNH01000018.1	QGNH01000018.1	35	34254	34586	-1	D	YP_007675320.1	YP_007675320.1 membrane protein [Sulfitobacter phage pCB2047-C]	False	0.604	127.0	8.874e-34	Protein of unknown function (DUF3307) [PF11750.11]					VOG08049	REFSEQ membrane protein; Xu	Xu	0	False	F
