	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
OQ473816.1_1	GCA_030144935.1	OQ473816.1	1	1	159	-1	E											0	False	F
OQ473816.1_2	GCA_030144935.1	OQ473816.1	2	161	376	-1	E											0	False	F
OQ473816.1_3	GCA_030144935.1	OQ473816.1	3	389	1432	-1	E	YP_009408161.1	YP_009408161.1 virion structural protein [Metallosphaera turreted icosahedral virus]	False	0.276	132.0	7.601e-32					0	False	F
OQ473816.1_4	GCA_030144935.1	OQ473816.1	4	1374	1673	-1	E											0	False	F
OQ473816.1_5	GCA_030144935.1	OQ473816.1	5	1651	2334	-1	E											0	False	F
OQ473816.1_6	GCA_030144935.1	OQ473816.1	6	2368	2781	-1	E	YP_009408158.1	YP_009408158.1 structural protein c137 [Metallosphaera turreted icosahedral virus]	False	0.602	162.0	3.49e-45					0	False	F
OQ473816.1_7	GCA_030144935.1	OQ473816.1	7	2784	3110	-1	E											0	False	F
OQ473816.1_8	GCA_030144935.1	OQ473816.1	8	3107	3367	-1	E	YP_009408156.1	YP_009408156.1 virion structural protein [Metallosphaera turreted icosahedral virus]	False	0.42	64.0	4.194e-12					0	False	F
OQ473816.1_9	GCA_030144935.1	OQ473816.1	9	3371	3649	-1	E											0	False	F
OQ473816.1_10	GCA_030144935.1	OQ473816.1	10	3651	3803	-1	E											0	False	F
OQ473816.1_11	GCA_030144935.1	OQ473816.1	11	3818	4243	-1	E											0	False	F
OQ473816.1_12	GCA_030144935.1	OQ473816.1	12	4204	4488	-1	E											0	False	F
OQ473816.1_13	GCA_030144935.1	OQ473816.1	13	4452	4835	-1	E	YP_009408151.1	YP_009408151.1 hypothetical protein c109 [Metallosphaera turreted icosahedral virus]	False	0.445	84.0	1.671e-18					0	False	F
OQ473816.1_14	GCA_030144935.1	OQ473816.1	14	4832	5146	-1	E											0	False	F
OQ473816.1_15	GCA_030144935.1	OQ473816.1	15	5526	5768	-1	E											0	False	
OQ473816.1_16	GCA_030144935.1	OQ473816.1	16	5728	6096	-1	E											0	False	
OQ473816.1_17	GCA_030144935.1	OQ473816.1	17	6210	6644	1	E											0	False	
OQ473816.1_18	GCA_030144935.1	OQ473816.1	18	6641	7117	1	E											0	False	
OQ473816.1_19	GCA_030144935.1	OQ473816.1	19	7333	7521	-1	E											0	False	
OQ473816.1_20	GCA_030144935.1	OQ473816.1	20	7533	8759	-1	E											0	False	
OQ473816.1_21	GCA_030144935.1	OQ473816.1	21	8995	9987	-1	E											0	False	
OQ473816.1_22	GCA_030144935.1	OQ473816.1	22	9984	10592	-1	E											0	False	
OQ473816.1_23	GCA_030144935.1	OQ473816.1	23	10624	10935	-1	E											0	False	
OQ473816.1_24	GCA_030144935.1	OQ473816.1	24	10938	11087	-1	E											0	False	
OQ473816.1_25	GCA_030144935.1	OQ473816.1	25	11092	12096	-1	E											0	False	
OQ473816.1_26	GCA_030144935.1	OQ473816.1	26	12098	12766	-1	E											0	False	
OQ473816.1_27	GCA_030144935.1	OQ473816.1	27	12756	13058	-1	E											0	False	F
OQ473816.1_28	GCA_030144935.1	OQ473816.1	28	13055	13669	-1	E											0	False	F
OQ473816.1_29	GCA_030144935.1	OQ473816.1	29	13702	14118	-1	E	YP_009408158.1	YP_009408158.1 structural protein c137 [Metallosphaera turreted icosahedral virus]	False	0.645	174.0	1.494e-49					0	False	F
OQ473816.1_30	GCA_030144935.1	OQ473816.1	30	14124	14420	-1	E											0	False	F
OQ473816.1_31	GCA_030144935.1	OQ473816.1	31	14424	14702	-1	E											0	False	F
OQ473816.1_32	GCA_030144935.1	OQ473816.1	32	14683	15030	-1	E	YP_009408155.1	YP_009408155.1 virion structural protein [Metallosphaera turreted icosahedral virus]	False	0.618	84.0	1.405e-18					0	False	F
OQ473816.1_33	GCA_030144935.1	OQ473816.1	33	15027	15197	-1	E											0	False	F
OQ473816.1_34	GCA_030144935.1	OQ473816.1	34	15190	15597	-1	E											0	False	F
OQ473816.1_35	GCA_030144935.1	OQ473816.1	35	15555	15884	-1	E											0	False	F
OQ473816.1_36	GCA_030144935.1	OQ473816.1	36	15917	16405	-1	E	YP_009408151.1	YP_009408151.1 hypothetical protein c109 [Metallosphaera turreted icosahedral virus]	False	0.347	66.0	1.411e-11					0	False	F
OQ473816.1_37	GCA_030144935.1	OQ473816.1	37	16852	16992	-1	E											0	False	F
OQ473816.1_38	GCA_030144935.1	OQ473816.1	38	16993	17181	-1	E											0	False	F
OQ473816.1_39	GCA_030144935.1	OQ473816.1	39	17178	17399	-1	E											0	False	F
OQ473816.1_40	GCA_030144935.1	OQ473816.1	40	17392	17553	-1	E											0	False	F
OQ473816.1_41	GCA_030144935.1	OQ473816.1	41	17550	17813	-1	E											0	False	F
