	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_047910_1	NC_047910	NC_047910	1	26	1579	-1	C	K06400	site-specific DNA recombinase	YP_009797116.1	YP_009797116.1 integrase [Faecalibacterium phage FP_Epona]	True	0.965	1052.0	0.0								Resolvase, N terminal domain [PF00239.24]; Recombinase [PF07508.16]; Recombinase zinc beta ribbon domain [PF13408.9]					VOG00303	sp|P03014|PINE_ECOLI Serine recombinase PinE; Xr	Xr	0	False	VF
NC_047910_2	NC_047910	NC_047910	2	1617	2144	-1	D			YP_009797117.1	YP_009797117.1 DUF4236 domain-containing protein [Faecalibacterium phage FP_Epona]	False	0.922	340.0	3.096e-106								Protein of unknown function (DUF4236) [PF14020.9]								0	False	F
NC_047910_3	NC_047910	NC_047910	3	2911	3078	1	E			YP_009797119.1	YP_009797119.1 DNA binding domain-containing protein [Faecalibacterium phage FP_Epona]	False	0.886	104.0	8.079e-27																0	False	F
NC_047910_4	NC_047910	NC_047910	4	3096	3296	1	E			YP_009797120.1	YP_009797120.1 hypothetical protein HOS63_gp05 [Faecalibacterium phage FP_Epona]	False	0.942	133.0	1.261e-36																0	False	F
NC_047910_5	NC_047910	NC_047910	5	3313	3642	1	E			YP_009797121.1	YP_009797121.1 hypothetical protein HOS63_gp06 [Faecalibacterium phage FP_Epona]	False	0.965	224.0	2.678e-67																0	False	F
NC_047910_6	NC_047910	NC_047910	6	3645	3935	1	E			YP_009797122.1	YP_009797122.1 hypothetical protein HOS63_gp07 [Faecalibacterium phage FP_Epona]	False	0.976	200.0	2.441e-59													VOG06335	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_047910_7	NC_047910	NC_047910	7	3928	4146	1	E			YP_009797123.1	YP_009797123.1 hypothetical protein HOS63_gp08 [Faecalibacterium phage FP_Epona]	False	1.0	162.0	1.563e-46																0	False	F
NC_047910_8	NC_047910	NC_047910	8	4405	4896	1	E			YP_009797124.1	YP_009797124.1 hypothetical protein HOS63_gp09 [Faecalibacterium phage FP_Epona]	False	0.924	317.0	8.27e-99																0	False	F
NC_047910_9	NC_047910	NC_047910	9	4899	5258	1	E			YP_009797125.1	YP_009797125.1 hypothetical protein HOS63_gp10 [Faecalibacterium phage FP_Epona]	False	0.967	244.0	2.3270000000000002e-74																0	False	F
NC_047910_10	NC_047910	NC_047910	10	5255	5650	1	E			YP_009797126.1	YP_009797126.1 hypothetical protein HOS63_gp11 [Faecalibacterium phage FP_Epona]	False	1.0	289.0	9.614e-90																0	False	
NC_047910_11	NC_047910	NC_047910	11	5647	5916	1	E			YP_009797127.1	YP_009797127.1 hypothetical protein HOS63_gp12 [Faecalibacterium phage FP_Epona]	False	1.0	198.0	8.39e-59																0	False	
NC_047910_12	NC_047910	NC_047910	12	5886	6164	1	E			YP_009797128.1	YP_009797128.1 hypothetical protein HOS63_gp13 [Faecalibacterium phage FP_Epona]	False	1.0	180.0	2.022e-52																0	False	
NC_047910_13	NC_047910	NC_047910	13	6157	6486	1	E			YP_009797129.1	YP_009797129.1 hypothetical protein HOS63_gp14 [Faecalibacterium phage FP_Epona]	False	1.0	239.0	1.191e-72																0	False	
NC_047910_14	NC_047910	NC_047910	14	6479	7831	1	D			YP_009797130.1	YP_009797130.1 DNA helicase [Faecalibacterium phage FP_Epona]	True	0.946	895.0	3.073e-293								SNF2-related domain [PF00176.26]; Type III restriction enzyme, res subunit [PF04851.18]					VOG00107	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW; Xh	Xh	0	False	
NC_047910_15	NC_047910	NC_047910	15	7828	8052	1	E			YP_009797131.1	YP_009797131.1 hypothetical protein HOS63_gp16 [Faecalibacterium phage FP_Epona]	False	0.93	147.0	2.8949999999999996e-41																0	False	
NC_047910_16	NC_047910	NC_047910	16	8045	8458	1	E			YP_009797132.1	YP_009797132.1 polynucleotide kinase [Faecalibacterium phage FP_Epona]	False	1.0	302.0	7.216999999999999e-94													VOG01378	REFSEQ phosphoheptose isomerase; Xu	Xu	0	False	
NC_047910_17	NC_047910	NC_047910	17	8580	9023	1	E			YP_009797134.1	YP_009797134.1 DNA ends protection protein [Faecalibacterium phage FP_Epona]	False	0.934	290.0	1.518e-89													VOG01422	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_047910_18	NC_047910	NC_047910	18	9023	9490	1	E			YP_009797135.1	YP_009797135.1 hypothetical protein HOS63_gp20 [Faecalibacterium phage FP_Epona]	False	0.921	301.0	3.227e-93																0	False	
NC_047910_19	NC_047910	NC_047910	19	9508	10377	1	E			YP_009797136.1	YP_009797136.1 hypothetical protein HOS63_gp21 [Faecalibacterium phage FP_Epona]	True	0.966	589.0	1.374e-190													VOG04801	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_047910_20	NC_047910	NC_047910	20	10496	13252	1	D			YP_009797137.1	YP_009797137.1 DNA primase/helicase [Faecalibacterium phage FP_Epona]	True	0.984	1907.0	0.0								Domain of unknown function (DUF927) [PF06048.14]; Cch helix turn helix domain [PF18662.4]; CHC2 zinc finger [PF01807.23]					VOG00229	sp|P04520|PRIM_BPT4 DNA primase; XhXr	Xh;Xr	0	False	V
NC_047910_21	NC_047910	NC_047910	21	13580	13837	1	E			YP_009797139.1	YP_009797139.1 hypothetical protein HOS63_gp24 [Faecalibacterium phage FP_Epona]	False	1.0	190.0	3.838e-56																0	False	
NC_047910_22	NC_047910	NC_047910	22	13839	14531	1	E			YP_009797140.1	YP_009797140.1 hypothetical protein HOS63_gp25 [Faecalibacterium phage FP_Epona]	True	0.98	477.0	6.524e-153																0	False	
NC_047910_23	NC_047910	NC_047910	23	14537	15142	1	E			YP_009797141.1	YP_009797141.1 hypothetical protein HOS63_gp26 [Faecalibacterium phage FP_Epona]	True	1.0	428.0	2.175e-136																0	False	
NC_047910_24	NC_047910	NC_047910	24	15124	15882	1	E			YP_009797142.1	YP_009797142.1 HD domain-containing protein [Faecalibacterium phage FP_Epona]	True	0.98	523.0	3.299e-168													VOG02545	REFSEQ HD domain-containing protein; Xu	Xu	0	False	
NC_047910_25	NC_047910	NC_047910	25	15876	16124	1	E			YP_009797143.1	YP_009797143.1 hypothetical protein HOS63_gp28 [Faecalibacterium phage FP_Epona]	False	0.933	163.0	9.975999999999998e-47																0	False	
NC_047910_26	NC_047910	NC_047910	26	16121	16558	1	E			YP_009797144.1	YP_009797144.1 endonuclease [Faecalibacterium phage FP_Epona]	False	0.96	295.0	2.276e-91													VOG00231	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu	Xu	0	False	
NC_047910_27	NC_047910	NC_047910	27	16539	16814	1	E			YP_009797145.1	YP_009797145.1 hypothetical protein HOS63_gp30 [Faecalibacterium phage FP_Epona]	False	0.958	186.0	1.676e-54																0	False	
NC_047910_28	NC_047910	NC_047910	28	16811	17122	1	E																								0	False	
