	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001368.1_1	QGNH01001368.1	QGNH01001368.1	1	53	334	-1	E																	0	False	F
QGNH01001368.1_2	QGNH01001368.1	QGNH01001368.1	2	331	756	-1	E																	0	False	F
QGNH01001368.1_3	QGNH01001368.1	QGNH01001368.1	3	753	950	-1	E																	0	False	F
QGNH01001368.1_4	QGNH01001368.1	QGNH01001368.1	4	947	1219	-1	E																	0	False	F
QGNH01001368.1_5	QGNH01001368.1	QGNH01001368.1	5	1284	1862	-1	E																	0	False	F
QGNH01001368.1_6	QGNH01001368.1	QGNH01001368.1	6	2160	2354	1	E																	0	False	F
QGNH01001368.1_7	QGNH01001368.1	QGNH01001368.1	7	2406	2648	1	E																	0	False	F
QGNH01001368.1_8	QGNH01001368.1	QGNH01001368.1	8	2662	3168	1	D			YP_009204184.1	YP_009204184.1 anti-restriction protein [Mycobacterium phage Smeadley]	False	0.282	74.0	1.825e-14	Antirestriction protein (ArdA) [PF07275.14]					VOG01344	REFSEQ anti-restriction protein; Xu	Xu	0	False	F
QGNH01001368.1_9	QGNH01001368.1	QGNH01001368.1	9	3185	3394	1	E																	0	False	F
QGNH01001368.1_10	QGNH01001368.1	QGNH01001368.1	10	3423	3650	-1	E																	0	False	F
QGNH01001368.1_11	QGNH01001368.1	QGNH01001368.1	11	3647	4153	-1	E														VOG04164	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001368.1_12	QGNH01001368.1	QGNH01001368.1	12	4122	4697	-1	D			YP_009821652.1	YP_009821652.1 endolysin [Escherichia phage Lidtsur]	False	0.329	73.0	9.074e-14	Glycosyl hydrolase 108 [PF05838.15]; Predicted Peptidoglycan domain [PF09374.13]	GH108	GH108 N-acetylmuramidase (EC 3.2.1.17)	3.2.1.17	GH108.hmm	VOG04462	REFSEQ endolysin; Xu	Xu	0	False	F
QGNH01001368.1_13	QGNH01001368.1	QGNH01001368.1	13	4700	4936	-1	E																	0	False	F
QGNH01001368.1_14	QGNH01001368.1	QGNH01001368.1	14	4938	5393	-1	D			YP_009593367.1	YP_009593367.1 VRR-NUC domain-containing protein [Acinetobacter phage YMC11/11/R3177]	False	0.358	70.0	2.383e-13	VRR-NUC domain [PF08774.14]					VOG00231	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu	Xu	0	False	F
