	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001056.1_1	QGNH01001056.1	QGNH01001056.1	1	3	1532	-1	E													0	False	F
QGNH01001056.1_2	QGNH01001056.1	QGNH01001056.1	2	1510	1791	-1	E													0	False	F
QGNH01001056.1_3	QGNH01001056.1	QGNH01001056.1	3	2037	3707	-1	C	K06909	phage terminase large subunit	YP_009887268.1	YP_009887268.1 terminase large subunit [Arthrobacter phage Abba]	False	199.0	2.685e-52	0.305		VOG00705	REFSEQ terminase large subunit; Xu	Xu	0	False	F
QGNH01001056.1_4	QGNH01001056.1	QGNH01001056.1	4	3797	3982	-1	E													0	False	F
QGNH01001056.1_5	QGNH01001056.1	QGNH01001056.1	5	4078	4485	-1	E													0	False	F
QGNH01001056.1_6	QGNH01001056.1	QGNH01001056.1	6	5303	5749	-1	E													0	False	
QGNH01001056.1_7	QGNH01001056.1	QGNH01001056.1	7	5791	6159	-1	E													0	False	F
QGNH01001056.1_8	QGNH01001056.1	QGNH01001056.1	8	6926	7126	1	E													0	False	F
QGNH01001056.1_9	QGNH01001056.1	QGNH01001056.1	9	7200	8006	1	D									MOSC N-terminal beta barrel domain [PF03476.19]; MOSC domain [PF03473.20]				0	False	F
QGNH01001056.1_10	QGNH01001056.1	QGNH01001056.1	10	9294	9692	-1	E													0	False	F
QGNH01001056.1_11	QGNH01001056.1	QGNH01001056.1	11	9755	10096	-1	E													0	False	F
QGNH01001056.1_12	QGNH01001056.1	QGNH01001056.1	12	10189	10383	-1	E													0	False	F
QGNH01001056.1_13	QGNH01001056.1	QGNH01001056.1	13	10587	10880	1	E													0	False	F
